experiment,variant,variant_label,support_id,reduced_terms,catalogue_id,model_version,n_source_events,n_response_events,n_conditioning_events,response_exposure_kyr,history_kernel,history_initialization,history_tau_kyr,history_coefficient_domain,initial_unobserved_history,df,n_events,loglik_reduced,loglik_full,ll_gain_nats,gain_bits_per_event,LR_statistic,LR_p_value,delta_AIC_full_minus_reduced,nominal_LR_p,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,pre_phase_amplitude,beta_history,mis6_vs_ngrip_rate_ratio_full,all_models_converged,likelihood_nesting_ok,n_params_reduced,n_params_full,reduced_aic,full_aic,history_term,reference_variant,delta_AIC_full_vs_same_support_reference
climate,frozen_linear,Linear climate,exact_nominal,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment,ngrip_warming_plus_mis6,continuous_exponential_inhibition_2026-09-12,55,53,2,165.058,same_type_exponential_history,condition_on_exact_oldest_event,1.5,nonpositive,0.0,2,53,-111.2417975859055,-102.12285757375506,9.118940012150446,0.24822357610742252,18.237880024300893,0.00010957075947574939,-14.237880024300893,0.00010957075947574939,328.0836823478582,7.1828657310746395,0.9858492151604007,-0.9639612854887414,0.8107475304976235,True,True,5,7,232.483595171811,218.2457151475101,same_type_exponential_history,frozen_linear,0.0
climate,quadratic_lr04,+ LR04²,exact_nominal,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;lr04_squared,ngrip_warming_plus_mis6,continuous_exponential_inhibition_2026-09-12,55,53,2,165.058,same_type_exponential_history,condition_on_exact_oldest_event,1.5,nonpositive,0.0,2,53,-107.82718592037205,-98.73587706520155,9.091308855170496,0.24747143774612065,18.182617710340992,0.00011264054184296219,-14.182617710340992,0.00011264054184296219,318.17163173436273,7.182514603779398,0.9858247725569244,-1.1027895583874379,0.8183847215941507,True,True,6,8,227.6543718407441,213.4717541304031,same_type_exponential_history,frozen_linear,-4.773961017107013
climate,quadratic_co2,+ CO₂²,exact_nominal,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;co2_squared,ngrip_warming_plus_mis6,continuous_exponential_inhibition_2026-09-12,55,53,2,165.058,same_type_exponential_history,condition_on_exact_oldest_event,1.5,nonpositive,0.0,2,53,-110.64988983316563,-101.86189358544105,8.787996247724578,0.23921506803666165,17.575992495449157,0.0001525533407407784,-13.575992495449157,0.0001525533407407784,326.6220983569371,6.905941536164233,0.9661910666368662,-0.9374139586384194,0.7954543979479053,True,True,6,8,233.29977966633126,219.7237871708821,same_type_exponential_history,frozen_linear,1.4780720233719933
climate,quadratic_both,+ both squares,exact_nominal,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;lr04_squared;co2_squared,ngrip_warming_plus_mis6,continuous_exponential_inhibition_2026-09-12,55,53,2,165.058,same_type_exponential_history,condition_on_exact_oldest_event,1.5,nonpositive,0.0,2,53,-107.76550367521361,-98.5360126717811,9.229491003432514,0.251232847180781,18.45898200686503,9.810315768973896e-05,-14.458982006865028,9.810315768973896e-05,318.01035309583494,7.413302396456407,1.0016380037828456,-1.1474968610619214,0.8235925219850364,True,True,7,9,229.53100735042722,215.0720253435622,same_type_exponential_history,frozen_linear,-3.173689803947923
climate,quadratic_with_interaction,+ squares + interaction,exact_nominal,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;lr04_squared;co2_squared;lr04_co2,ngrip_warming_plus_mis6,continuous_exponential_inhibition_2026-09-12,55,53,2,165.058,same_type_exponential_history,condition_on_exact_oldest_event,1.5,nonpositive,0.0,2,53,-107.75877876464497,-98.51260342153455,9.246175343110423,0.2516870059376456,18.492350686220846,9.647995001131066e-05,-14.492350686220846,9.647995001131066e-05,318.30305079251855,7.4631975898748815,1.004991976865007,-1.1505223130447084,0.8312831598152693,True,True,8,10,231.51755752928995,217.0252068430691,same_type_exponential_history,frozen_linear,-1.2205083044410117
history,exponential,Exponential history (τ = 1.5 kyr),exact_nominal,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment,ngrip_warming_plus_mis6,continuous_exponential_inhibition_2026-09-12,55,53,2,165.058,same_type_exponential_history,condition_on_exact_oldest_event,1.5,nonpositive,0.0,2,53,-111.2417975859055,-102.12285757375506,9.118940012150446,0.24822357610742252,18.237880024300893,0.00010957075947574939,-14.237880024300893,0.00010957075947574939,328.0836823478582,7.1828657310746395,0.9858492151604007,-0.9639612854887414,0.8107475304976235,True,True,5,7,232.483595171811,218.2457151475101,same_type_exponential_history,exponential,0.0
history,count_matched_support,Count in previous 1.5 kyr,exact_nominal,rectangular_history_count;lr04_scaled;co2_scaled;mis6_segment,ngrip_warming_plus_mis6,continuous_exponential_inhibition_2026-09-12,55,53,2,165.058,rectangular_history_count,condition_on_exact_oldest_event,1.5,nonpositive,0.0,2,53,-111.2666462304859,-103.22513988527264,8.041506345213264,0.21889511934936431,16.08301269042653,0.00032182380706301044,-12.083012690426528,0.00032182380706301044,332.44521648140415,5.914845536846145,0.8887326916424193,-0.5539495209377532,0.8470481434769053,True,True,5,7,232.5332924609718,220.45027977054528,rectangular_history_count,exponential,2.204564623035168
history,elapsed_time,Time since last event,exact_nominal,time_since_last_event_kyr;lr04_scaled;co2_scaled;mis6_segment,ngrip_warming_plus_mis6,continuous_exponential_inhibition_2026-09-12,55,53,2,165.058,time_since_last_event_kyr,condition_on_exact_oldest_event,,unrestricted,0.0,2,53,-111.56902680089081,-104.15668787475884,7.412338926131966,0.2017687662286568,14.824677852263932,0.0006037568990094782,-10.824677852263932,0.0006037568990094782,331.7910020575361,5.464506393718109,0.8491368980901127,0.11691745970802175,0.7864661239682282,True,True,5,7,233.13805360178162,222.3133757495177,time_since_last_event_kyr,exponential,4.067660602007578
history,log_elapsed_time,log(1 + time / 1 kyr),exact_nominal,log_time_since_last_event;lr04_scaled;co2_scaled;mis6_segment,ngrip_warming_plus_mis6,continuous_exponential_inhibition_2026-09-12,55,53,2,165.058,log_time_since_last_event,condition_on_exact_oldest_event,,unrestricted,0.0,2,53,-111.44605258196648,-103.75154657190114,7.694506010065339,0.20944954080776584,15.389012020130679,0.000455321857455283,-11.389012020130679,0.000455321857455283,331.9726235833045,5.706348668374822,0.8707896782465537,0.5204207919838328,0.8004495731765723,True,True,5,7,232.89210516393297,221.5030931438023,log_time_since_last_event,exponential,3.2573779962921776
