experiment,variant,support_id,model_id,term,beta
history,exponential,exact_nominal,full,pre_phase_cos,0.8368096701366614
history,count_matched_support,exact_nominal,reduced,intercept,-0.9831242524971597
history,count_matched_support,exact_nominal,reduced,rectangular_history_count,-0.24546084791347966
history,count_matched_support,exact_nominal,reduced,lr04_scaled,1.0508045759692688
history,count_matched_support,exact_nominal,reduced,co2_scaled,-0.011547450524919772
history,count_matched_support,exact_nominal,reduced,mis6_segment,-0.17887729628960372
history,count_matched_support,exact_nominal,full,intercept,-0.94931330855794
history,count_matched_support,exact_nominal,full,rectangular_history_count,-0.5539495209377532
history,count_matched_support,exact_nominal,full,lr04_scaled,2.2606271923298884
history,count_matched_support,exact_nominal,full,co2_scaled,0.8312325503487853
history,count_matched_support,exact_nominal,full,mis6_segment,-0.16599774594906785
history,count_matched_support,exact_nominal,full,pre_phase_sin,-0.4111246502786294
history,count_matched_support,exact_nominal,full,pre_phase_cos,0.7879227875415549
history,elapsed_time,exact_nominal,reduced,intercept,-1.2117156318180828
history,elapsed_time,exact_nominal,reduced,time_since_last_event_kyr,0.04089858920209008
history,elapsed_time,exact_nominal,reduced,lr04_scaled,1.0218920360670263
history,elapsed_time,exact_nominal,reduced,co2_scaled,-0.11084470008274357
history,elapsed_time,exact_nominal,reduced,mis6_segment,-0.1905629062629853
history,elapsed_time,exact_nominal,full,intercept,-1.5130279566561846
history,elapsed_time,exact_nominal,full,time_since_last_event_kyr,0.11691745970802175
history,elapsed_time,exact_nominal,full,lr04_scaled,1.8758578588300916
history,elapsed_time,exact_nominal,full,co2_scaled,0.23947289770674846
history,elapsed_time,exact_nominal,full,mis6_segment,-0.24020562928907452
history,elapsed_time,exact_nominal,full,pre_phase_sin,-0.40137780896450487
history,elapsed_time,exact_nominal,full,pre_phase_cos,0.7482842549251935
history,log_elapsed_time,exact_nominal,reduced,intercept,-1.3243281279978973
history,log_elapsed_time,exact_nominal,reduced,log_time_since_last_event,0.20139284731474297
history,log_elapsed_time,exact_nominal,reduced,lr04_scaled,0.9927309992349779
history,log_elapsed_time,exact_nominal,reduced,co2_scaled,-0.12891150482647842
history,log_elapsed_time,exact_nominal,reduced,mis6_segment,-0.18988179557933335
history,log_elapsed_time,exact_nominal,full,intercept,-1.7812781065562149
history,log_elapsed_time,exact_nominal,full,log_time_since_last_event,0.5204207919838328
history,log_elapsed_time,exact_nominal,full,lr04_scaled,1.8962698512578415
history,log_elapsed_time,exact_nominal,full,co2_scaled,0.28615911351471396
history,log_elapsed_time,exact_nominal,full,mis6_segment,-0.2225817426875189
history,log_elapsed_time,exact_nominal,full,pre_phase_sin,-0.4091783131396992
history,log_elapsed_time,exact_nominal,full,pre_phase_cos,0.7686662291247657
