outer_id,source_row_index,age_realization_id,n_response_events,response_exposure_kyr,response_end_kyr_bp__Barker2011,beta__intercept,beta__same_type_exponential_history,beta__lr04_scaled,beta__co2_scaled,beta__pre_phase_sin,beta__pre_phase_cos
1,4605,Barker_MC_04606,69,396.0595070534294,396.0595070534294,-1.6437428706736288,-0.9490005617585584,3.3423868203792018,2.4991465085038693,-0.10532312527629303,0.5027452621635631
2,6865,Barker_MC_06866,69,397.6076765118483,397.6076765118483,-1.6257615921350532,-1.0474279697899433,3.3968686694668233,2.789423659829578,-0.20976665059102767,0.50396912556979
3,5977,Barker_MC_05978,69,396.43694219942876,396.43694219942876,-1.6246364516548197,-1.1112631544342275,3.5014509082117597,2.8124167537295883,-0.31823251660323015,0.5347564732026457
4,2068,Barker_MC_02069,69,396.06977363867657,396.06977363867657,-1.623963644977111,-1.0717473457871327,3.629918033445543,2.902131227578562,-0.16796415195631792,0.48312845901545437
5,3470,Barker_MC_03471,69,397.1165089161343,397.1165089161343,-1.6395842155610378,-0.9864831657077149,3.1865434498210443,2.591346763119872,-0.21581095452093624,0.5324153928678008
6,5197,Barker_MC_05198,69,395.6163754427934,395.6163754427934,-1.608221731771458,-1.054407586671228,3.2291420022508275,2.7290419848025813,-0.17156668161197133,0.46291787363544723
7,5590,Barker_MC_05591,69,397.5974177785637,397.5974177785637,-1.6152687268084975,-1.0147664031848358,2.646895699348371,2.1796917870826698,-0.20063837603094245,0.5235821729810266
8,2023,Barker_MC_02024,69,396.09598941413924,396.09598941413924,-1.6375173042700206,-0.8133461767331811,2.2358241847449114,1.6645794401380682,-0.21832154882107116,0.4763767372977448
9,4704,Barker_MC_04705,69,396.16225985495953,396.16225985495953,-1.6269446816902013,-1.0885551068877168,3.5604257929163614,2.788503219555485,-0.1993473444509304,0.525900123288024
10,3254,Barker_MC_03255,69,397.4076271953763,397.4076271953763,-1.6063951193736972,-0.9743200233668036,1.8501939892908401,1.2504239299474822,-0.24125953272466416,0.5134568217101663
11,271,Barker_MC_00272,69,395.4787889841412,395.4787889841412,-1.6330698126450942,-0.9973316366551965,2.9319807566414373,2.4637932639199738,-0.2389803769971667,0.5639072407869613
12,6795,Barker_MC_06796,69,395.4938815059929,395.4938815059929,-1.6344230719238009,-1.0207186485023898,3.1188525212046656,2.4694963002706056,-0.2378413947804551,0.5775093174856586
13,440,Barker_MC_00441,69,397.52069382418654,397.52069382418654,-1.6501728698341362,-0.8529567097601113,2.7686612851764063,2.2116425479851887,-0.19976129177406374,0.5063812355982876
14,2780,Barker_MC_02781,69,395.45197846773465,395.45197846773465,-1.5610795134925544,-1.3238510787358466,2.920281653120686,2.2995763079722216,-0.292270017195975,0.5094839078427168
15,9635,Barker_MC_09636,69,395.86421995811554,395.86421995811554,-1.6315587705772785,-0.8725575295599499,2.056904785759226,1.4511570529624838,-0.22391457933217648,0.5423019005461642
16,8166,Barker_MC_08167,69,395.9236688542476,395.9236688542476,-1.6068311061818419,-1.191722432593594,3.597320716865476,2.820276113712481,-0.20360547265269502,0.5444271864280201
17,894,Barker_MC_00895,69,397.44809204287935,397.44809204287935,-1.6019222260264885,-1.1344224181156715,2.3297604596523365,1.5580476091844941,-0.2750727284659631,0.5904209192376061
18,546,Barker_MC_00547,69,397.49489320003835,397.49489320003835,-1.6170821298933105,-0.9884642893678758,2.634049098708691,2.057010971026979,-0.18958013303977317,0.483582116100664
19,9441,Barker_MC_09442,69,396.7055543567721,396.7055543567721,-1.6331787798713875,-0.9948435380490054,2.6846213675049406,2.042561451897721,-0.24912385789974642,0.5779945019867456
20,3198,Barker_MC_03199,69,395.82114589740627,395.82114589740627,-1.6113437341850176,-1.1853902328377321,3.1438635012849914,2.4870474389551918,-0.20941587871499126,0.6471818569523257
21,5868,Barker_MC_05869,69,396.5146527637365,396.5146527637365,-1.6103113860638536,-1.0872716684403638,3.4311788180017,2.784788128376085,-0.13558823508640652,0.43720579182995273
22,2564,Barker_MC_02565,69,396.23845418842177,396.23845418842177,-1.6530005403797525,-0.9422366732198875,3.462884104455516,2.7915660048107163,-0.07798131559075341,0.5284476567453295
23,4141,Barker_MC_04142,69,397.53644995909616,397.53644995909616,-1.6394497197176328,-0.7889346675008042,1.8612271246988952,1.3076675368426458,-0.2204342077360117,0.48276062767067723
24,5890,Barker_MC_05891,69,397.04817074912194,397.04817074912194,-1.5987037439712173,-1.1347706034343976,2.748129881186793,2.133756519191857,-0.16855677965511248,0.553091029846893
25,1131,Barker_MC_01132,69,396.42174172784956,396.42174172784956,-1.6205894106755179,-1.2286388953753093,3.8779422283845935,3.291356282132279,-0.25550547989262573,0.5505971111785387
26,5143,Barker_MC_05144,69,395.95181247729784,395.95181247729784,-1.6125338749981508,-1.1255791907069794,3.4285098708229707,2.981096940334782,-0.21747511314416126,0.5208650770816304
27,7463,Barker_MC_07464,69,396.8836450499882,396.8836450499882,-1.616425730745982,-1.0635232003770339,2.991925434444741,2.4836867740771864,-0.21496562480139583,0.5252923725679437
28,5095,Barker_MC_05096,69,396.70394931722245,396.70394931722245,-1.5967038169343177,-1.128662278011028,2.7478580559100103,2.245821779907076,-0.246021995597148,0.5121302870287878
29,1929,Barker_MC_01930,69,396.6300819259356,396.6300819259356,-1.6848671564727606,-0.7900228593323072,3.3460919901996227,2.8176204034698054,-0.2161764238713744,0.5217345173962067
30,2108,Barker_MC_02109,69,396.8032300819626,396.8032300819626,-1.5860794183967766,-1.2212701883300028,3.266242194264251,2.5777608238654346,-0.2202208506512811,0.5198223046691794
31,898,Barker_MC_00899,69,395.6964466127334,395.6964466127334,-1.624846565803804,-0.9725258783978389,2.551065057533246,1.9885185173357105,-0.27571253389308076,0.5260208984255719
32,3631,Barker_MC_03632,69,397.1124045587666,397.1124045587666,-1.6210895180108071,-0.9428282970966356,2.4916106398023445,1.8840120581876536,-0.2482408435500643,0.47983642646643804
33,6725,Barker_MC_06726,69,396.44310614082247,396.44310614082247,-1.645592279483488,-0.9105763573219102,3.241663986899585,2.637198916027129,-0.16982236706017512,0.4798245244725942
34,2458,Barker_MC_02459,69,395.79507554609654,395.79507554609654,-1.614620812656841,-0.9089329903530282,2.2846530142616626,1.7531574223705373,-0.20789426023749016,0.4375087876948775
35,516,Barker_MC_00517,69,396.78395701658945,396.78395701658945,-1.6508263545392419,-0.8940394208931931,2.8044528899371364,2.1993571629294513,-0.24492885496153965,0.519577450106044
36,7617,Barker_MC_07618,69,396.7537473697351,396.7537473697351,-1.590865171119734,-0.9560434302835694,1.7835107559913692,0.9926175513807063,-0.23669088655621176,0.3950524247349278
37,6165,Barker_MC_06166,69,396.2579906693324,396.2579906693324,-1.598739111643723,-0.9928646455852776,2.0963526193153994,1.5255322286547626,-0.2104533527344036,0.47457052232485714
38,54,Barker_MC_00055,69,397.279999900175,397.279999900175,-1.597792031367226,-1.159255188927016,2.9647441999146418,2.3370678282269584,-0.34352572775103574,0.5068220000361957
39,7420,Barker_MC_07421,69,396.03932677764794,396.03932677764794,-1.5988589015339085,-1.018921569077273,1.9346148984139244,1.3385458072251806,-0.2360267779695566,0.5324243104426181
40,4780,Barker_MC_04781,69,396.61075984920126,396.61075984920126,-1.6502834142506024,-0.9820257576362005,3.4864495879677118,2.816247769410241,-0.22222989548641603,0.5127135803422802
41,1510,Barker_MC_01511,69,396.09257685739425,396.09257685739425,-1.5989764255485237,-0.9607024172313462,1.544908170272308,0.8458168588627549,-0.16755429142616807,0.5201477501250004
