phase_deg,point_multiplier,chronology_low,chronology_high,sampling_low,sampling_high,combined_low,combined_high
0,1.71736846944,1.51258836723,1.94987249916,1.06407667259,2.77174994603,1.06055234283,2.78096076988
1,1.7094217031,1.50631533149,1.93991423837,1.05960605573,2.75774429868,1.05624175766,2.7665281531
2,1.70123384391,1.49980516859,1.9297150405,1.05498005328,2.74336617328,1.05177484437,2.75172638626
3,1.69281119027,1.49306230312,1.91928342167,1.05020185265,2.72862756684,1.04715454173,2.73656811072
4,1.68416017035,1.48609133689,1.9086279618,1.04527474166,2.71354062844,1.04238389321,2.72106610421
5,1.67528733275,1.47889704398,1.89775729061,1.04020210431,2.69811764046,1.03746604325,2.70523326092
6,1.66619933717,1.47148436542,1.88668007383,1.03498741637,2.68237100014,1.0324042335,2.68908257163
7,1.65690294496,1.4638584037,1.8754049996,1.02963424096,2.66631320112,1.02720179884,2.67262710415
8,1.64740500971,1.45602441707,1.86394076515,1.02414622396,2.64995681528,1.02186216334,2.655879984
9,1.63771246784,1.44798781348,1.85229606378,1.01852708934,2.63331447479,1.01638883612,2.63885437541
10,1.62783232912,1.43975414444,1.84047957212,1.01278063442,2.61639885446,1.01078540706,2.62156346265
11,1.61777166732,1.43132909848,1.82849993783,1.0069107251,2.59922265435,1.00505554244,2.60402043178
12,1.60753761088,1.42271849447,1.81636576768,1.00092129093,2.58179858277,0.999202980516,2.58623845283
13,1.59713733364,1.4139282747,1.80408561606,0.994816320243,2.5641393397,0.993231526999,2.56823066241
14,1.58657804567,1.40496449767,1.79166797395,0.988599855141,2.54625760051,0.987145050443,2.55001014682
15,1.57586698423,1.39583333075,1.77912125844,0.98227598653,2.52816600021,0.98094747761,2.53158992571
16,1.56501140478,1.38654104248,1.7664538027,0.975848849089,2.50987711815,0.974642788762,2.51298293625
17,1.55401857228,1.37709399482,1.75367384658,0.969322616234,2.49140346316,0.968235012913,2.49420201789
18,1.54289575248,1.36749863506,1.74078952768,0.962701495084,2.47275745928,0.961728223042,2.47525989775
19,1.53165020349,1.35776148763,1.72780887308,0.955989721432,2.45395143197,0.955126531289,2.45616917655
20,1.52028916749,1.34788914564,1.71473979167,0.949191554723,2.43499759483,0.94843408412,2.43694231522
21,1.50881986266,1.33788826237,1.70159006697,0.942311273067,2.41590803701,0.941655057491,2.41759162218
22,1.49724947534,1.3277655425,1.68836735074,0.935353168279,2.39669471107,0.934793652013,2.39812924121
23,1.48558515232,1.31752773324,1.67507915705,0.928321540964,2.37736942147,0.927854088117,2.37856714008
24,1.4738339935,1.30718161541,1.661732857,0.921220695656,2.35794381371,0.920840601242,2.35891709972
25,1.46200304469,1.29673399433,1.64833567411,0.91405493601,2.33842936401,0.913757437048,2.33919070425
26,1.45009929071,1.28619169072,1.63489468022,0.906828560068,2.31883736961,0.906608846663,2.31939933153
27,1.43812964871,1.27556153154,1.62141679203,0.899545855603,2.29917893971,0.899399081967,2.29955414451
28,1.42610096183,1.26485034079,1.60790876813,0.892211095541,2.27946498703,0.892132390937,2.27966608318
29,1.41401999302,1.25406493034,1.5943772067,0.88482853348,2.25970621991,0.884813013042,2.25974585725
30,1.40189341928,1.24321209085,1.58082854365,0.877402399306,2.23991313515,0.877445174708,2.23980393952
31,1.38972782605,1.23229858268,1.56726905122,0.869936894917,2.22009601132,0.87003308486,2.21985055984
32,1.37752970198,1.22133112699,1.55370483721,0.862436190057,2.20026490275,0.862580930546,2.1998956998
33,1.36530543394,1.2103163969,1.54014184449,0.854904418273,2.18042963412,0.855092872647,2.17994908807
34,1.35306130233,1.1992610089,1.52658585102,0.847345672994,2.16059979559,0.847573041691,2.16002019627
35,1.34080347672,1.18817151437,1.51304247025,0.839764003739,2.14078473855,0.840025533767,2.1401182356
36,1.32853801172,1.17705439139,1.49951715188,0.832163412469,2.12099357187,0.832454406549,2.120252154
37,1.31627084321,1.16591603681,1.48601518289,0.824547850069,2.1012351588,0.824863675443,2.10043063388
38,1.30400778478,1.15476275855,1.47254168892,0.816921212979,2.08151811429,0.817257309853,2.08066209047
39,1.29175452457,1.14360076825,1.45910163589,0.809287339983,2.06185080294,0.809639229579,2.06095467067
40,1.2795166223,1.13243617426,1.44569983189,0.801650009133,2.04224133736,0.802013301346,2.04131625249
41,1.26729950663,1.12127497496,1.43234092919,0.794012934845,2.02269757712,0.794383335481,2.02175444496
42,1.2551084728,1.11012305248,1.41902942648,0.786379765144,2.00322712805,0.786753082725,2.00227658852
43,1.24294868053,1.09898616678,1.40576967128,0.778754079076,1.98383734215,0.779126231201,1.98288975593
44,1.23082515222,1.08786995017,1.3925658624,0.771139384274,1.96453531777,0.771506403535,1.96360075353
45,1.2187427714,1.07677990221,1.37942205253,0.763539114703,1.94532790035,0.763897154128,1.94441612305
46,1.20670628144,1.06572138511,1.36634215097,0.755956628553,1.92622168345,0.756301966593,1.92534214373
47,1.19472028451,1.05469961947,1.35332992625,0.74839520631,1.90722301024,0.748724251355,1.90638483479
48,1.18278924083,1.04371968051,1.34038900898,0.740858048992,1.8883379753,0.741167343409,1.88754995839
49,1.17091746808,1.03278649478,1.3275228946,0.733348276545,1.86957242678,0.733634500253,1.86884302276
50,1.15910914116,1.0219048372,1.31473494615,0.725868926412,1.85093196888,0.726128899981,1.85026928572
51,1.14736829206,1.01107932865,1.30202839709,0.718422952261,1.83242196463,0.718653639552,1.83183375852
52,1.13569881003,1.00031443391,1.28940635403,0.711013222877,1.81404753894,0.71121173322,1.81354120983
53,1.12410444196,0.989614460076,1.27687179948,0.703642521221,1.79581358192,0.703806111141,1.79539617009
54,1.11258879286,0.978983555334,1.26442759458,0.696313543642,1.77772475246,0.696439618141,1.77740293597
55,1.10115532673,0.968425708197,1.25207648178,0.689028899247,1.75978548201,0.68911501266,1.75956557513
56,1.08980736739,0.957944747083,1.23982108742,0.681791109431,1.74199997857,0.681834965855,1.74188793109
57,1.07854809968,0.94754434029,1.22766392439,0.674602607549,1.72437223087,0.67460206087,1.72437362825
58,1.06738057072,0.93722799632,1.2156073946,0.667465738745,1.70690601273,0.667418792274,1.7070260771
59,1.05630769136,0.926999064555,1.20365379156,0.660382759921,1.68960488756,0.660287565646,1.68984847948
60,1.04533223779,0.91686073625,1.19180530276,0.653355839845,1.67247221302,0.653210697332,1.67284383403
61,1.03445685328,0.90681604584,1.1800640121,0.646387059397,1.65551114574,0.646190414347,1.65601494163
62,1.02368405008,0.896867872533,1.16843190227,0.63947841195,1.63872464623,0.639228854426,1.63936441094
63,1.01301621142,0.887018942175,1.15691085704,0.632631803873,1.6221154838,0.632328066228,1.62289466404
64,1.00245559363,0.877271829365,1.14550266356,0.625849055158,1.60568624162,0.625490009674,1.60660794203
65,0.992004328375,0.867628959813,1.13420901456,0.619131900167,1.58943932182,0.61871655643,1.59050631067
66,0.98166442501,0.858092612898,1.12303151064,0.612481988492,1.57337695057,0.612009490516,1.57459166608
67,0.971437772993,0.848664924436,1.11197166234,0.605900885917,1.55750118333,0.605370509047,1.55886574039
68,0.961326144408,0.839347889619,1.10103089238,0.599390075488,1.54181391003,0.598801223092,1.54333010736
69,0.951331196553,0.830143366121,1.09021053769,0.592950958676,1.52631686026,0.592303158654,1.52798618801
70,0.941454474605,0.821053077337,1.07951185157,0.586584856634,1.51101160852,0.585877757759,1.51283525619
71,0.931697414339,0.812078615762,1.06893600575,0.580293011537,1.4958995794,0.579526379649,1.49787844414
72,0.922061344905,0.803221446469,1.05848409241,0.574076588006,1.4809820528,0.573250302081,1.48311674792
73,0.912547491656,0.794482910695,1.04815712625,0.5679366746,1.46626016908,0.567050722707,1.46855103288
74,0.903156979011,0.78586422949,1.03795604651,0.561874285387,1.45173493422,0.560928760558,1.45418203896
75,0.893890833353,0.777366507453,1.02788171897,0.555890361569,1.43740722487,0.554885457595,1.44001038596
76,0.884749985955,0.768990736499,1.01793493796,0.549985773171,1.42327779341,0.548921780343,1.42603657876
77,0.875735275929,0.760737799688,1.00811642832,0.54416132078,1.40934727299,0.543038621594,1.4122610124
