scenario,outer_id,inner_id,replicate_id,seed,fit_valid,invalid_reason,response_exposure_kyr,n_observation_events,effect_identified,n_response_events,beta__intercept,beta__same_type_exponential_history,beta__lr04_scaled,beta__co2_scaled,beta__pre_phase_sin,beta__pre_phase_cos,phase_deg,rate_ratio,full_log_likelihood,reduced_log_likelihood,ks_uniform,adjacent_dependence,residual_status
B_sampling,0,1,1,20260925,True,,396.464263878,63,True,62,-1.71697438321,-1.18006037183,3.26975331361,2.2727186996,-0.372530673509,0.366813328205,314.556940713,2.84516646353,-168.679443541,-172.325540569,0.0810780626825,0.0543504854876,ok
B_sampling,0,2,2,20260925,True,,396.464263878,76,True,75,-1.59536688453,-1.1594705231,5.55364537316,3.87393467877,-0.590358342119,0.562172981426,313.59910064,5.10598177335,-181.047292212,-191.269651778,0.0807940545326,0.0485234723973,ok
B_sampling,0,3,3,20260925,True,,396.464263878,78,True,77,-1.40452554145,-1.40271145669,3.85830023283,3.66800370606,-0.278309826962,0.474235255489,329.593020892,3.00337641473,-190.012525647,-194.955198999,0.0534304095459,0.0755252314619,ok
B_sampling,0,4,4,20260925,True,,396.464263878,67,True,66,-1.6977037202,-1.07606754865,3.29059300459,2.89153047002,-0.218855050654,0.678630692649,342.125744649,4.16241560126,-173.09138997,-180.230813125,0.100001949678,0.0611208653804,ok
B_sampling,0,5,5,20260925,True,,396.464263878,80,True,79,-1.41488465676,-1.42970049387,3.97408442792,3.01873635347,-0.191093530628,0.744363220547,345.601910804,4.65062407544,-188.925352187,-198.213835358,0.0709932563157,0.0540925542262,ok
B_sampling,0,6,6,20260925,True,,396.464263878,60,True,59,-1.69307146885,-1.68093427574,1.12662522488,0.862733869674,-0.125103932825,0.627177846015,348.719201845,3.59328532739,-162.258370067,-167.947125918,0.0595993815475,0.0729958229455,ok
B_sampling,0,7,7,20260925,True,,396.464263878,63,True,62,-1.68983531697,-1.23529515977,2.66612854434,2.05860465223,-0.409898684427,0.361489207264,311.409036077,2.98336929795,-169.58237102,-173.551266944,0.108187637937,0.121795665215,ok
B_sampling,0,8,8,20260925,True,,396.464263878,65,True,64,-1.67648162079,-0.946306057068,1.65206820388,2.25039255961,-0.246176538067,0.317380921339,322.201052715,2.23295746663,-175.531499272,-177.936303969,0.0760633180272,0.103928185979,ok
B_sampling,0,9,9,20260925,True,,396.464263878,63,True,62,-1.77486787397,-1.04723218072,3.96811224486,3.97221548612,-0.437474375989,0.432122504415,314.64738169,3.42061032352,-166.570168763,-171.652917973,0.0560058908592,0.0987129932622,ok
B_sampling,0,10,10,20260925,True,,396.464263878,67,True,66,-1.7189861625,-0.972919245083,4.24421334498,2.74569210485,-0.267863319699,0.479227596047,330.797078501,2.99821201013,-174.005707332,-178.320963275,0.0741624580647,0.0893216843749,ok
B_sampling,0,11,11,20260925,True,,396.464263878,82,True,81,-1.59363762944,-0.42323216365,3.25532790079,3.00841343902,0.072595385302,0.534503444003,7.73449252326,2.94121164145,-198.29450174,-203.552018667,0.0688144616868,0.0516537218475,ok
B_sampling,0,12,12,20260925,True,,396.464263878,67,True,66,-1.58559395873,-1.9077474416,4.85949359959,4.05963786486,-0.38379520588,0.604580362733,327.592106905,4.18800166558,-166.633371105,-174.077261664,0.060466454554,0.0213372101919,ok
B_sampling,0,13,13,20260925,True,,396.464263878,62,True,61,-1.73289019095,-2.2512634951,3.54463997159,2.22903022406,-0.937487700451,0.893087178092,313.610565527,13.3242437576,-154.10516111,-171.757209575,0.0689059072508,0.0084989269499,ok
B_sampling,0,14,14,20260925,True,,396.464263878,62,True,61,-1.60783865058,-2.08669865732,2.23169857549,1.08931407293,-0.184481174863,0.623284870355,343.512188425,3.66939451673,-163.498601786,-169.153638015,0.0867307037173,0.00529747022948,ok
B_sampling,0,15,15,20260925,True,,396.464263878,75,True,74,-1.49416352077,-1.36359200771,4.14015069549,3.26609902891,-0.492905004293,0.392564282384,308.534864173,3.52632837889,-183.086375743,-189.622177219,0.0641546115521,0.0193403332488,ok
B_sampling,0,16,16,20260925,True,,396.464263878,69,True,68,-1.7269941398,-0.684296856749,2.82844876983,2.13211377004,-0.215356569258,0.633640978812,341.228561821,3.81322681161,-178.413104767,-185.139810463,0.0913143992512,0.162972104758,ok
