model_id,phase_sector_center_deg,observed_events,fitted_events,observed_over_fitted
reduced,10,10,3.63496253641,2.75105999025
reduced,30,6,4.15183652417,1.44514360454
reduced,50,3,4.29352268023,0.698726948344
reduced,70,4,4.39353791235,0.910428014917
reduced,90,1,4.50095016564,0.222175310367
reduced,110,4,4.53944844742,0.881164319043
reduced,130,3,4.57136584428,0.6562590049
reduced,150,3,4.19380266391,0.715341240496
reduced,170,4,4.1131055857,0.972501171355
reduced,190,3,4.08026798288,0.735245825174
reduced,210,1,3.84804359143,0.259872315955
reduced,230,2,3.40484680891,0.58739793954
reduced,250,5,3.36897140143,1.48413251531
reduced,270,5,3.39848191618,1.47124513925
reduced,290,2,3.16818641897,0.631275984275
reduced,310,3,3.01345133172,0.995536237279
reduced,330,7,3.10619142873,2.25356361982
reduced,350,3,3.21902652234,0.931958770511
full,10,10,5.52077330613,1.81134044915
full,30,6,5.59163636877,1.07303114943
full,50,3,4.92444540374,0.609205657498
full,70,4,4.16823522269,0.95963874069
full,90,1,3.57547522967,0.279683101061
full,110,4,3.10145575958,1.28971692975
full,130,3,2.79809697242,1.07215726602
full,150,3,2.40206744486,1.24892413259
full,170,4,2.3151866157,1.7277224967
full,190,3,2.5102132625,1.19511758017
full,210,1,2.67593885603,0.37370061642
full,230,2,2.72503858364,0.733934562251
full,250,5,3.28122386633,1.52382166036
full,270,5,4.07957469285,1.22561795688
full,290,2,4.4031653179,0.454218693963
full,310,3,4.63974010743,0.646587940389
full,330,7,5.05557197371,1.38461088803
full,350,3,5.23216114149,0.573376835856
