event_age_ka,pick_value,source_row,source_excel_row,event_index,event_id,event_label,segment_id,event_age_kyr_bp,event_definition,source,event_role,included_in_response,dataset_id,age_column,pick_column,precession_index,pre_phase_unwrapped_rad,pre_phase_rad,pre_phase_deg,pre_phase_fraction,pre_phase_extrapolated,phase_rad,phase_deg,phase_extrapolated,orbital_value_at_event
71.615009927,1,16,26,17,Barker_S3_026,Barker event 17,Barker2011,71.615009927,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,0.0240882504963,40.8311458396,3.13203399652,179.452329292,0.498478692478,False,3.13203399652,179.452329292,False,0.0240882504963
75.8155294895,1,17,27,18,Barker_S3_027,Barker event 18,Barker2011,75.8155294895,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,0.00850395242042,41.9987927128,4.29968086974,246.353567089,0.684315464137,False,4.29968086974,246.353567089,False,0.00850395242042
83.5829149528,1,18,28,19,Barker_S3_028,Barker event 19,Barker2011,83.5829149528,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.0301049316174,44.1551981038,0.172900953583,9.90649491408,0.027518041428,False,0.172900953583,9.90649491408,False,-0.0301049316174
90.6661405442,1,19,29,20,Barker_S3_029,Barker event 20,Barker2011,90.6661405442,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,0.0195895138676,46.090207624,2.10791047371,120.774373735,0.335484371485,False,2.10791047371,120.774373735,False,0.0195895138676
103.354847951,1,20,30,21,Barker_S3_030,Barker event 21,Barker2011,103.354847951,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.0345527721513,49.6671084316,5.68481128135,325.71569375,0.904765815972,False,5.68481128135,325.71569375,False,-0.0345527721513
109.77761542,1,21,31,22,Barker_S3_031,Barker event 22,Barker2011,109.77761542,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.0123898157202,51.5480866849,1.28260422749,73.4878090211,0.204132802836,False,1.28260422749,73.4878090211,False,-0.0123898157202
125.327908207,1,22,32,23,Barker_S3_032,Barker event 23,Barker2011,125.327908207,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.0366656808391,56.0811492636,5.81566680615,333.213163047,0.925592119575,False,5.81566680615,333.213163047,False,-0.0366656808391
129.074525891,1,23,33,24,Barker_S3_033,Barker event 24,Barker2011,129.074525891,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.0342966373255,57.1290499325,0.580382167884,33.2534487244,0.0923706909011,False,0.580382167884,33.2534487244,False,-0.0342966373255
147.366344255,1,24,34,25,Barker_S3_034,Barker event 25,Barker2011,147.366344255,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.0191435471703,62.0052622039,5.4565944393,312.639831886,0.868443977462,False,5.4565944393,312.639831886,False,-0.0191435471703
149.083232074,1,25,35,26,Barker_S3_035,Barker event 26,Barker2011,149.083232074,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.0263003973174,62.4510276718,5.90235990716,338.180311848,0.939389755133,False,5.90235990716,338.180311848,False,-0.0263003973174
150.971808676,1,26,36,27,Barker_S3_036,Barker event 27,Barker2011,150.971808676,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.0281115530594,62.9353804966,0.103527424777,5.93168450358,0.0164769013988,False,0.103527424777,5.93168450358,False,-0.0281115530594
160.694357861,1,27,37,28,Barker_S3_037,Barker event 28,Barker2011,160.694357861,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,0.0236180617475,65.3216530822,2.48980001038,142.655032426,0.396263978962,False,2.48980001038,142.655032426,False,0.0236180617475
164.033523852,1,28,38,29,Barker_S3_038,Barker event 29,Barker2011,164.033523852,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,0.0294209475702,66.1494583083,3.31760523655,190.084778145,0.528013272624,False,3.31760523655,190.084778145,False,0.0294209475702
169.484266842,1,29,39,30,Barker_S3_039,Barker event 30,Barker2011,169.484266842,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.00135292549116,67.5530660243,4.72121295252,270.505576362,0.751404378783,False,4.72121295252,270.505576362,False,-0.00135292549116
173.182549081,1,30,40,31,Barker_S3_040,Barker event 31,Barker2011,173.182549081,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.0295267415074,68.5054017875,5.67354871568,325.07039627,0.902973322973,False,5.67354871568,325.07039627,False,-0.0295267415074
176.29481969,1,31,41,32,Barker_S3_041,Barker event 32,Barker2011,176.29481969,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.0354356714377,69.3221109513,0.207072572367,11.8643844495,0.0329566234709,False,0.207072572367,11.8643844495,False,-0.0354356714377
177.95905641,1,32,42,33,Barker_S3_042,Barker event 33,Barker2011,177.95905641,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.0284881295385,69.784797133,0.669758754031,38.3743498979,0.106595416383,False,0.669758754031,38.3743498979,False,-0.0284881295385
178.65,1,33,43,34,Barker_S3_043,Barker event 34,Barker2011,178.65,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.023583,69.9768912308,0.86185285187,49.3805309735,0.137168141593,False,0.86185285187,49.3805309735,False,-0.023583
189.979308092,1,34,44,35,Barker_S3_044,Barker event 35,Barker2011,189.979308092,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,0.0262968838266,73.1503593339,4.03532095488,231.206859695,0.642241276931,False,4.03532095488,231.206859695,False,0.0262968838266
192.67904271,1,35,45,36,Barker_S3_045,Barker event 36,Barker2011,192.67904271,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.0054775519904,73.9214017376,4.80636335862,275.384335255,0.76495648682,False,4.80636335862,275.384335255,False,-0.0054775519904
199.077123326,1,36,46,37,Barker_S3_046,Barker event 37,Barker2011,199.077123326,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.0436465203698,75.7424309741,0.344207287915,19.7216248752,0.05478229132,False,0.344207287915,19.7216248752,False,-0.0436465203698
216.848385107,1,37,47,38,Barker_S3_047,Barker event 38,Barker2011,216.848385107,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.0280813964366,80.7272582472,5.32903456101,305.331189225,0.848142192292,False,5.32903456101,305.331189225,False,-0.0280813964366
226.713909564,1,38,48,39,Barker_S3_048,Barker event 39,Barker2011,226.713909564,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,0.0128207791151,83.5616840674,1.88027507407,107.731826068,0.299255072411,False,1.88027507407,107.731826068,False,0.0128207791151
229.581578641,1,39,49,40,Barker_S3_049,Barker event 40,Barker2011,229.581578641,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,0.0423088930313,84.3958551883,2.71444619495,155.526310686,0.432017529683,False,2.71444619495,155.526310686,False,0.0423088930313
232.027219111,1,40,50,41,Barker_S3_050,Barker event 41,Barker2011,232.027219111,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,0.0443130347934,85.1126265883,3.43121759497,196.594286783,0.546095241063,False,3.43121759497,196.594286783,False,0.0443130347934
242.452279755,1,41,51,42,Barker_S3_051,Barker event 42,Barker2011,242.452279755,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.0380209358505,88.1837626645,0.219168363986,12.5574222592,0.0348817284977,False,0.219168363986,12.5574222592,False,-0.0380209358505
243.885981666,1,42,52,43,Barker_S3_052,Barker event 43,Barker2011,243.885981666,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.0317152314682,88.5754241768,0.610829876242,34.9979739092,0.0972165941921,False,0.610829876242,34.9979739092,False,-0.0317152314682
