segment_id,age_kyr_bp,lr04,co2,precession_index,pre_phase_deg,reduced_rate,full_rate
Barker2011,6.1,3.334,265.389506123,-0.0003525,268.285714286,0.133059247731,0.137514502366
Barker2011,6.2,3.338,264.305395415,-0.0008955,270,0.130809398542,0.137196288711
Barker2011,6.3,3.342,263.221284707,-0.0014385,271.714285714,0.128581197481,0.136822827423
Barker2011,6.4,3.346,261.229158851,-0.0019815,273.428571429,0.124195763833,0.133791033702
Barker2011,6.5,3.35,261.142264226,-0.002524,275.142857143,0.124398332552,0.136154762419
Barker2011,6.6,3.354,260.672764717,-0.0030655,276.857142857,0.123672575244,0.137373728815
Barker2011,6.7,3.358,259.941028326,-0.003606,278.571428571,0.122314937828,0.137763838319
Barker2011,6.8,3.362,262.319400096,-0.0041455,280.285714286,0.128371443517,0.147488575156
Barker2011,6.9,3.366,261.847089896,-0.0046835,282,0.127547438168,0.14855558546
Barker2011,7,3.37,257.880601879,-0.0052195,283.714285714,0.118504045019,0.138864115343
Barker2011,7.1,3.375,259.53678737,-0.0057535,285.428571429,0.122759402372,0.146393521769
Barker2011,7.2,3.38,262.39717032,-0.006285,287.142857143,0.130103265937,0.158214455238
Barker2011,7.3,3.385,262.544777535,-0.0068135,288.857142857,0.130875227329,0.161321075753
Barker2011,7.4,3.39,260.793248235,-0.007338,290.571428571,0.126917168823,0.157881505144
Barker2011,7.5,3.395,258.422194549,-0.007858,292.285714286,0.121593069666,0.152380726081
Barker2011,7.6,3.4,259.461943734,-0.008373,294,0.124315673704,0.15796888374
Barker2011,7.7,3.405,260.299056432,-0.0088815,295.714285714,0.126566060153,0.162920511977
Barker2011,7.8,3.41,259.999645132,-0.009383,297.428571429,0.126039913207,0.163880828074
Barker2011,7.9,3.415,259.399183266,-0.009877,299.142857143,0.124748363323,0.163644333782
Barker2011,8,3.42,260.593667947,-0.0103625,300.857142857,0.127736310703,0.169577894547
Barker2011,8.1,3.416,259.739151526,-0.010839,302.571428571,0.124150247645,0.165490769125
Barker2011,8.2,3.412,259.266887698,-0.011306,304.285714286,0.12149619776,0.162640233732
Barker2011,8.3,3.408,258.630261063,-0.0117625,306,0.118468007295,0.159102823594
