realization_id,fit_valid,invalid_reason
joint_00454,True,
joint_00455,True,
joint_00456,True,
joint_00457,True,
joint_00458,True,
joint_00459,True,
joint_00460,True,
joint_00461,True,
joint_00462,True,
joint_00463,True,
joint_00464,True,
joint_00465,True,
joint_00466,True,
joint_00467,True,
joint_00468,True,
joint_00469,True,
joint_00470,True,
joint_00471,True,
joint_00472,True,
joint_00473,True,
joint_00474,True,
joint_00475,True,
joint_00476,True,
joint_00477,True,
joint_00478,True,
joint_00479,True,
joint_00480,True,
joint_00481,True,
joint_00482,True,
joint_00483,True,
joint_00484,True,
joint_00485,True,
joint_00486,True,
joint_00487,True,
joint_00488,True,
joint_00489,True,
joint_00490,True,
joint_00491,True,
joint_00492,True,
joint_00493,True,
joint_00494,True,
joint_00495,True,
joint_00496,True,
joint_00497,True,
joint_00498,True,
joint_00499,True,
joint_00500,True,
joint_00501,True,
joint_00502,True,
joint_00503,True,
joint_00504,True,
joint_00505,True,
joint_00506,True,
joint_00507,True,
joint_00508,True,
joint_00509,True,
joint_00510,True,
joint_00511,True,
joint_00512,True,
joint_00513,True,
joint_00514,True,
joint_00515,True,
joint_00516,True,
joint_00517,True,
joint_00518,True,
joint_00519,True,
joint_00520,True,
joint_00521,True,
joint_00522,True,
joint_00523,True,
joint_00524,True,
joint_00525,True,
joint_00526,True,
joint_00527,True,
joint_00528,True,
joint_00529,True,
joint_00530,True,
joint_00531,True,
joint_00532,True,
joint_00533,True,
joint_00534,True,
joint_00535,True,
joint_00536,True,
joint_00537,True,
joint_00538,True,
joint_00539,True,
joint_00540,True,
joint_00541,True,
joint_00542,True,
joint_00543,True,
joint_00544,True,
joint_00545,True,
joint_00546,True,
joint_00547,True,
joint_00548,True,
joint_00549,True,
joint_00550,True,
joint_00551,True,
joint_00552,True,
joint_00553,True,
joint_00554,True,
joint_00555,True,
joint_00556,True,
joint_00557,True,
joint_00558,True,
joint_00559,True,
joint_00560,True,
joint_00561,True,
joint_00562,True,
joint_00563,True,
joint_00564,True,
joint_00565,True,
joint_00566,True,
joint_00567,True,
joint_00568,True,
joint_00569,True,
joint_00570,True,
joint_00571,True,
joint_00572,True,
joint_00573,True,
joint_00574,True,
joint_00575,True,
joint_00576,True,
joint_00577,True,
joint_00578,True,
joint_00579,True,
joint_00580,True,
joint_00581,True,
joint_00582,True,
joint_00583,True,
joint_00584,True,
joint_00585,True,
joint_00586,True,
joint_00587,True,
joint_00588,True,
joint_00589,True,
joint_00590,True,
joint_00591,True,
joint_00592,True,
joint_00593,True,
joint_00594,True,
joint_00595,True,
joint_00596,True,
joint_00597,True,
joint_00598,True,
joint_00599,True,
joint_00600,True,
joint_00601,True,
joint_00602,True,
joint_00603,True,
joint_00604,True,
joint_00605,True,
joint_00606,True,
joint_00607,True,
joint_00608,True,
joint_00609,True,
joint_00610,True,
joint_00611,True,
joint_00612,True,
joint_00613,True,
joint_00614,True,
joint_00615,True,
joint_00616,True,
joint_00617,True,
joint_00618,True,
joint_00619,True,
joint_00620,True,
joint_00621,True,
joint_00622,True,
joint_00623,True,
joint_00624,True,
joint_00625,True,
joint_00626,True,
joint_00627,True,
joint_00628,True,
joint_00629,True,
joint_00630,True,
joint_00631,True,
joint_00632,True,
joint_00633,True,
joint_00634,True,
joint_00635,True,
joint_00636,True,
joint_00637,True,
joint_00638,True,
joint_00639,True,
joint_00640,True,
joint_00641,True,
joint_00642,True,
joint_00643,True,
joint_00644,True,
joint_00645,True,
joint_00646,True,
joint_00647,True,
joint_00648,True,
joint_00649,True,
joint_00650,True,
joint_00651,True,
joint_00652,True,
joint_00653,True,
joint_00654,True,
joint_00655,True,
joint_00656,True,
joint_00657,True,
joint_00658,True,
joint_00659,True,
joint_00660,True,
joint_00661,True,
joint_00662,True,
joint_00663,True,
joint_00664,True,
joint_00665,True,
joint_00666,True,
joint_00667,True,
joint_00668,True,
joint_00669,True,
joint_00670,True,
joint_00671,True,
joint_00672,True,
joint_00673,True,
joint_00674,True,
joint_00675,True,
joint_00676,True,
joint_00677,True,
joint_00678,True,
joint_00679,True,
joint_00680,True,
joint_00681,True,
joint_00682,True,
joint_00683,True,
joint_00684,True,
joint_00685,True,
joint_00686,True,
joint_00687,True,
joint_00688,True,
joint_00689,True,
joint_00690,True,
joint_00691,True,
joint_00692,True,
joint_00693,True,
joint_00694,True,
joint_00695,True,
joint_00696,True,
joint_00697,True,
joint_00698,True,
joint_00699,True,
joint_00700,True,
joint_00701,True,
joint_00702,True,
joint_00703,True,
joint_00704,True,
joint_00705,True,
joint_00706,True,
joint_00707,True,
joint_00708,True,
joint_00709,True,
joint_00710,True,
joint_00711,True,
joint_00712,True,
joint_00713,True,
joint_00714,True,
joint_00715,True,
joint_00716,True,
joint_00717,True,
joint_00718,True,
joint_00719,True,
joint_00720,True,
joint_00721,True,
joint_00722,True,
joint_00723,True,
joint_00724,True,
joint_00725,True,
joint_00726,True,
joint_00727,True,
joint_00728,True,
joint_00729,True,
joint_00730,True,
joint_00731,True,
joint_00732,True,
joint_00733,True,
joint_00734,True,
joint_00735,True,
joint_00736,True,
joint_00737,True,
joint_00738,True,
joint_00739,True,
joint_00740,True,
joint_00741,True,
joint_00742,True,
joint_00743,True,
joint_00744,True,
joint_00745,True,
joint_00746,True,
joint_00747,True,
joint_00748,True,
joint_00749,True,
joint_00750,True,
joint_00751,True,
joint_00752,True,
joint_00753,True,
joint_00754,True,
joint_00755,True,
joint_00756,True,
joint_00757,True,
joint_00758,True,
joint_00759,True,
joint_00760,True,
joint_00761,True,
joint_00762,True,
joint_00763,True,
joint_00764,True,
joint_00765,True,
joint_00766,True,
joint_00767,True,
joint_00768,True,
joint_00769,True,
joint_00770,True,
joint_00771,True,
joint_00772,True,
joint_00773,True,
joint_00774,True,
joint_00775,True,
joint_00776,True,
joint_00777,True,
joint_00778,True,
joint_00779,True,
joint_00780,True,
joint_00781,True,
joint_00782,True,
joint_00783,True,
joint_00784,True,
joint_00785,True,
joint_00786,True,
joint_00787,True,
joint_00788,True,
joint_00789,True,
joint_00790,True,
joint_00791,True,
joint_00792,True,
joint_00793,True,
joint_00794,True,
joint_00795,True,
joint_00796,True,
joint_00797,True,
joint_00798,True,
joint_00799,True,
joint_00800,True,
joint_00801,True,
joint_00802,True,
joint_00803,True,
joint_00804,True,
joint_00805,True,
joint_00806,True,
joint_00807,True,
joint_00808,True,
joint_00809,True,
joint_00810,True,
joint_00811,True,
joint_00812,True,
joint_00813,True,
joint_00814,True,
joint_00815,True,
joint_00816,True,
joint_00817,True,
joint_00818,True,
joint_00819,True,
joint_00820,True,
joint_00821,True,
joint_00822,True,
joint_00823,True,
joint_00824,True,
joint_00825,True,
joint_00826,True,
joint_00827,True,
joint_00828,True,
joint_00829,True,
joint_00830,True,
joint_00831,True,
joint_00832,True,
joint_00833,True,
joint_00834,True,
joint_00835,True,
joint_00836,True,
joint_00837,True,
joint_00838,True,
joint_00839,True,
joint_00840,True,
joint_00841,True,
joint_00842,True,
joint_00843,True,
joint_00844,True,
joint_00845,True,
joint_00846,True,
joint_00847,True,
joint_00848,True,
joint_00849,True,
joint_00850,True,
joint_00851,True,
joint_00852,True,
joint_00853,True,
joint_00854,True,
joint_00855,True,
joint_00856,True,
joint_00857,True,
joint_00858,True,
joint_00859,True,
joint_00860,True,
joint_00861,True,
joint_00862,True,
joint_00863,True,
joint_00864,True,
joint_00865,True,
joint_00866,True,
joint_00867,True,
joint_00868,True,
joint_00869,True,
joint_00870,True,
joint_00871,True,
joint_00872,True,
joint_00873,True,
joint_00874,True,
joint_00875,True,
joint_00876,True,
joint_00877,True,
joint_00878,True,
joint_00879,True,
joint_00880,True,
joint_00881,True,
joint_00882,True,
joint_00883,True,
joint_00884,True,
joint_00885,True,
joint_00886,True,
joint_00887,True,
joint_00888,True,
joint_00889,True,
joint_00890,True,
joint_00891,True,
joint_00892,True,
joint_00893,True,
joint_00894,True,
joint_00895,True,
joint_00896,True,
joint_00897,True,
joint_00898,True,
joint_00899,True,
joint_00900,True,
joint_00901,True,
joint_00902,True,
joint_00903,True,
joint_00904,True,
joint_00905,True,
joint_00906,True,
joint_00907,True,
joint_00908,True,
joint_00909,True,
joint_00910,True,
joint_00911,True,
joint_00912,True,
joint_00913,True,
joint_00914,True,
joint_00915,True,
joint_00916,True,
joint_00917,True,
