scenario,outer_id,inner_id,seed,fit_valid,invalid_reason,n_observation_events,n_response_events,beta__intercept,beta__same_type_history_count,beta__lr04_scaled,beta__co2_scaled,beta__mis6_segment,beta__pre_phase_sin,beta__pre_phase_cos,phase_deg,rate_ratio,full_log_likelihood,reduced_log_likelihood
B_sampling,0,1,20260908,True,,52,52,-1.28464551972,-0.536118362928,3.43099175945,0.885146414619,0.0795680646913,-0.492988891978,0.807853576106,328.606564612,6.63787619769,-190.815983813,-199.816794791
B_sampling,0,2,20260908,True,,58,58,-1.23290298944,-0.604219090935,8.52514639386,4.60629066072,-0.0651362098675,-0.384435190986,0.710932775284,331.597800366,5.03510998921,-199.138341221,-207.417256706
B_sampling,0,3,20260908,True,,53,53,-1.06747485957,-0.386042744034,1.98701903401,0.664741403051,-0.314171672497,-0.61898789207,0.482639866668,307.944406376,4.80580476978,-196.762283776,-203.48482172
B_sampling,0,4,20260908,True,,48,47,-1.15613614512,-0.491278563862,3.20636030168,0.551643429977,-0.57667967218,-0.398888564362,0.810533337071,333.796772279,6.09055320342,-174.853967272,-182.576599971
B_sampling,0,5,20260908,True,,51,51,-1.45301617712,-0.463546161166,5.94341082822,2.01042889742,-0.446673496963,-1.08451092454,1.23822405708,318.786179068,26.8973672144,-172.629244798,-193.481911667
B_sampling,0,6,20260908,True,,70,70,-0.646063024621,-0.591890846165,3.23907618781,2.21392671459,-0.4325338013,-0.398425857526,0.883114992051,335.717024204,6.94251293083,-234.68751078,-247.52218754
B_sampling,0,7,20260908,True,,57,57,-1.28067779859,-0.0934340405638,3.32251551963,1.10192188603,0.0565120837763,-0.427248558254,0.496702993314,319.29890048,3.70747626915,-207.038633659,-212.306048649
B_sampling,0,8,20260908,True,,54,53,-1.0752063457,-0.42534317727,5.80959945049,2.16607980488,-0.681938123365,-0.542341292695,0.581073203187,316.974601856,4.90223869218,-188.248460051,-195.365586541
B_sampling,0,9,20260908,True,,56,56,-1.06168504388,-0.574855837933,4.55493093329,1.48526136435,-0.237844179766,-0.516842878385,0.591560565734,318.856485014,4.81182608186,-199.906307563,-207.130559197
B_sampling,0,10,20260908,True,,49,49,-1.04613263888,-0.645578658964,1.57016265863,0.0958290921736,-0.40785736575,-0.453111202041,0.582928983211,322.142045968,4.3782074162,-186.217784825,-191.703757602
B_sampling,0,11,20260908,True,,54,54,-1.01427029153,-0.897765764679,1.16972833189,-1.64335432138,-0.507229303761,-0.909656256174,0.987100931746,317.338090388,14.653141206,-186.211797827,-203.705402642
B_sampling,0,12,20260908,True,,56,56,-0.899299457373,-0.875902282812,5.37701593217,2.33444150491,-0.595784036556,-1.06867219187,0.438227003951,292.296906475,10.0751064203,-193.043620322,-207.645897063
B_sampling,0,13,20260908,True,,62,62,-0.969781219876,-0.850234795893,4.34974754786,0.638728678748,-0.050751684086,-0.695619910758,0.75824961953,317.466659278,7.83020639008,-208.175419348,-221.226311364
B_sampling,0,14,20260908,True,,47,47,-0.851200802037,-1.11522001283,4.50816709153,1.31906077632,-1.02257591832,-0.323089091591,0.562864226698,330.143791287,3.66197499343,-171.23604414,-175.43617223
B_sampling,0,15,20260908,True,,52,52,-1.26709799292,-0.85764607533,6.55043845227,2.63353766174,-0.240521471698,-0.227198334187,1.21330150772,349.393834859,11.8080414405,-178.708122248,-194.695364777
B_sampling,0,16,20260908,True,,54,54,-1.16466191782,-0.334828854624,0.878162032611,-1.72887517305,-0.208688280676,-0.382563539255,0.609935793426,327.903267031,4.22055825623,-196.500893369,-202.207506878
