replicate_id,scenario,fit_valid,invalid_reason,n_response_events,ks_uniform,adjacent_dependence,residual_status
88,B_sampling,True,,49,0.0893645324707,0.0664026085176,ok
89,B_sampling,True,,52,0.0911723142615,0.136903184902,ok
90,B_sampling,True,,61,0.0773010194803,0.0428561091225,ok
91,B_sampling,True,,52,0.0674682508629,0.103582834374,ok
92,B_sampling,True,,59,0.0739379094873,0.00984421609666,ok
93,B_sampling,True,,53,0.0620176290376,0.0810143883682,ok
94,B_sampling,True,,51,0.0667390161182,0.0104235530007,ok
95,B_sampling,True,,60,0.0797552094982,0.160214646261,ok
96,B_sampling,True,,54,0.059248995364,0.0924171117715,ok
97,B_sampling,True,,52,0.0804468536985,0.0152443592665,ok
98,B_sampling,True,,61,0.0560022753519,0.0686915167229,ok
99,B_sampling,True,,44,0.0761227369921,0.0574236045562,ok
100,B_sampling,True,,50,0.0660787093597,0.0581820515163,ok
101,B_sampling,True,,60,0.0696323180898,0.0496326189986,ok
102,B_sampling,True,,65,0.0595373336886,0.0759884541904,ok
103,B_sampling,True,,53,0.0819032649842,0.0331630630317,ok
104,B_sampling,True,,51,0.118801989113,0.126983547526,ok
105,B_sampling,True,,58,0.0485257769619,0.0101391750069,ok
106,B_sampling,True,,57,0.0590792230059,0.0103399484931,ok
107,B_sampling,True,,53,0.0812485721779,0.0740539605369,ok
108,B_sampling,True,,63,0.0890863006773,0.131340269773,ok
109,B_sampling,True,,59,0.0621405457545,0.0259154825468,ok
110,B_sampling,True,,54,0.0802383617348,0.0911198134718,ok
111,B_sampling,True,,52,0.080334633932,0.1339793329,ok
112,B_sampling,True,,57,0.0876784383699,0.0718726067009,ok
113,B_sampling,True,,44,0.112173914828,0.0236812986208,ok
114,B_sampling,True,,53,0.0994632773151,0.0565311462605,ok
115,B_sampling,True,,51,0.0810741983884,0.0259218542064,ok
116,B_sampling,True,,56,0.0764864115551,0.198021632514,ok
117,B_sampling,True,,54,0.112447410113,0.0595165646567,ok
