inner_id,error_quadratic
1,0.42467877003014093
2,0.013098930084276015
3,2.0374852955138727
4,0.2836141689068262
5,14.830406472818181
6,0.735062248509921
7,0.7922148838848104
8,0.7268030847293317
9,0.5291630909145285
10,0.3150976099000143
11,6.830126808844565
12,11.32044133297364
13,1.896381082922528
14,0.42476903245913317
15,6.347506100112161
16,0.13489436537270377
17,0.5905206707553163
18,0.6947374588526174
19,7.057869461571795
20,0.7510219649043993
21,5.049246948805924
22,2.5324132243574393
23,1.0671679340342928
24,0.41592847433946634
25,1.1129183480867453
26,6.335290204593975
27,0.9617377210800586
28,0.7320758496698987
29,0.005515662310955861
30,2.9593991871847174
31,0.36453059557456535
32,1.4662383017384568
33,0.6854221531082213
34,2.293446634966951
35,1.355111002478584
36,1.4976841135553
37,2.0719208430496057
38,0.7328184336554484
39,1.4518273568682514
40,0.20681881496846907
41,0.13179688906164783
42,4.923787723340142
43,1.155428654312401
44,4.0095442516632005
45,0.5868957269498574
46,1.302166718089433
47,0.677228337012396
48,4.581165704544349
49,2.3925384375397267
50,6.676420121775703
51,1.8489854997199566
52,1.1549233612221346
53,1.6439618168351386
54,0.7006053346069824
55,2.724542493558239
56,5.3301674776202095
57,0.28679849931524065
58,1.0420295572101492
59,4.646327126850786
60,0.13043335724326385
61,1.132996869688925
62,0.3473198630799911
63,2.0474439634558035
64,2.3808058799183205
65,1.7681347439241177
66,0.9753403792428765
67,3.1563618871131043
68,1.8334045405196042
69,1.2913090721506566
70,0.397955691564672
71,0.029528510017524802
72,3.484637423195118
73,0.9608272475819994
74,5.923800896709475
75,3.991771527778942
76,1.5430650295545882
77,0.05394777724303496
78,1.8008072203800516
79,1.8031026568654265
80,5.227094811670677
81,1.6310324374632599
82,1.1477401105267495
83,0.6635509416490273
84,0.3354152905835598
85,5.5524112501868395
86,1.611684062619729
87,1.2588081980669077
88,0.8245245385841466
89,2.1446017567117197
90,2.962755233046962
91,2.1827922443966816
92,1.4107364090128856
93,0.21753147174699544
94,1.396832862167371
95,0.45515492066472046
96,4.29698818621275
97,1.867809883746068
98,3.8068089339409625
99,0.5207573956898989
100,0.08547863273197735
101,0.9944376923802237
102,1.0002713077628078
103,2.5895546833884695
104,1.2044220754567974
105,4.695358716718442
106,0.8233223283026933
107,0.6730697316041668
108,2.2920595856109207
109,2.1888709350561792
110,0.7919702920483573
111,1.1124782139041625
112,1.0083308634758017
113,0.4298971516350901
114,0.4549735839102901
115,2.953881174101867
116,4.254919565277877
117,5.302282228837399
118,2.689256849063334
119,4.124130808877614
120,1.1164779600749735
121,4.938686769672633
122,1.2773343058181774
123,5.8186285072407715
124,0.15990745788274363
125,1.3451854316640626
126,0.6382905693507551
127,0.41854810911042767
128,2.5805763099919017
129,4.56838787472454
130,3.2074563594430727
131,1.1295390563218148
132,2.728416547361838
133,3.151137062225786
134,0.6868394073832735
135,0.6341245433781549
136,6.937004652880045
137,5.569153846465319
138,1.8233609034384657
139,2.3120614397605177
140,0.7678546343975954
141,2.090285032024493
142,1.2081046539880342
143,0.6294330704142729
144,0.8928803082164386
145,0.30278345268666285
146,5.309386417570189
147,2.3800129207201928
148,0.16712868965810979
149,0.1359877991368978
150,3.8204024301062693
151,1.7569689574047525
152,0.96219958819212
153,0.33626249997151547
154,5.744722243771218
155,0.8094247561126532
156,0.4819926216528276
157,0.7253375510043151
158,2.992652121641498
159,0.6821343368178133
160,3.2658480894535162
161,0.7358796361758365
162,4.425213166713842
163,2.7162430610737616
164,4.083812142295186
165,0.03703240738488334
166,14.554757994826224
167,2.276635625564712
168,0.05488725491534932
169,0.3508109982741967
170,3.665165136442584
171,1.77352994651081
172,5.352441611056738
173,0.2523822519466789
174,0.009075405058909967
175,2.5186372713752245
176,1.2789776974799876
177,1.8221956480992074
178,1.2539991944635376
179,1.8568600169338942
180,5.525139243235032
181,0.373400693426217
182,3.8947922716273484
183,0.28510737228070554
184,0.3801632391440902
185,0.0715292319344736
