experiment,variant,variant_label,support_id,reduced_terms,n_predictive_events,n_predictive_bins,response_exposure_kyr,n_params_reduced,n_params_full,loglik_reduced,loglik_full,LR_statistic,nominal_LR_p,info_bits_per_event,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,reduced_aic,reduced_aicc,full_aic,full_aicc,delta_AICc_full_minus_reduced,all_models_converged,likelihood_nesting_ok,eta_clipping_used,coefficient_bound_reached,full_design_rank,full_design_condition_number,reference_variant,delta_AICc_full_vs_same_support_reference
climate,frozen_linear,Linear climate,main,same_type_history_count;lr04_scaled;co2_scaled;mis6_segment,55,901,180.0,5,7,-205.83562150012648,-198.99902076355,13.673201473152972,0.001073747152514686,0.1793296359853951,329.99851179797105,4.938027096057828,421.67124300025296,421.73828210639823,411.9980415271,412.12346145991074,-9.614820646487487,True,True,False,False,7,16.82574001942891,frozen_linear,0.0
climate,quadratic_lr04,+ LR04²,main,same_type_history_count;lr04_scaled;co2_scaled;mis6_segment;lr04_squared,55,901,180.0,6,8,-202.51262096067768,-196.01233594184154,13.000570037672276,0.0015030107455492805,0.17050779929163123,322.2483614267941,4.699275255693904,417.02524192135536,417.119201652899,408.0246718836831,408.1861068612616,-8.933094791637416,True,True,False,False,8,23.921161421558143,frozen_linear,-3.937354598649165
climate,quadratic_co2,+ CO₂²,main,same_type_history_count;lr04_scaled;co2_scaled;mis6_segment;co2_squared,55,901,180.0,6,8,-205.45867145549238,-198.93682771263482,13.043687485715111,0.0014709545387197734,0.17107330227769657,328.9685294310025,4.814744376569239,422.91734291098476,423.0113026425284,413.87365542526965,414.03509040284814,-8.976212239680251,True,True,False,False,8,21.306658495657228,frozen_linear,1.9116289429373978
climate,quadratic_both,+ both squares,main,same_type_history_count;lr04_scaled;co2_scaled;mis6_segment;lr04_squared;co2_squared,55,901,180.0,7,9,-202.17128617449416,-195.31617516425976,13.710222020468791,0.0010540546182496232,0.17981517562197263,322.6140404068174,5.000166635038655,418.3425723489883,418.46799228179907,408.6323503285195,408.83437053053973,-9.63362175125934,True,True,False,False,9,37.288757210539444,frozen_linear,-3.2890909293710138
climate,quadratic_with_interaction,+ squares + interaction,main,same_type_history_count;lr04_scaled;co2_scaled;mis6_segment;lr04_squared;co2_squared;lr04_co2,55,901,180.0,8,10,-202.14227735946747,-195.31393103150575,13.65669265592345,0.0010826469811388898,0.17911311608768626,322.7560984325757,5.0094525405602495,420.28455471893494,420.44598969651344,410.6278620630115,410.87505307424743,-9.570936622266004,True,True,False,False,10,194.61181030691168,frozen_linear,-1.2484083856633106
history,count_matched_support,Count in previous 1.5 kyr,after_initial_event,same_type_history_count;lr04_scaled;co2_scaled;mis6_segment,53,824,164.8,5,7,-196.8392806254351,-189.63437315906978,14.409814932730626,0.0007429309390424982,0.1961223447507378,333.1827024158775,5.276897056840099,403.6785612508702,403.751910884122,393.26874631813956,393.40600122010034,-10.34590966402169,True,True,False,False,7,17.28428494512554,count_matched_support,0.0
history,elapsed_time,Time since last event,after_initial_event,time_since_event_kyr;lr04_scaled;co2_scaled;mis6_segment,53,824,164.8,5,7,-196.95012294902307,-190.03201651524319,13.836212867559766,0.0009897022340342645,0.18831543102558998,332.4268587479728,5.1035268897537955,403.90024589804614,403.973595531298,394.06403303048637,394.20128793244714,-9.77230759885083,True,True,False,False,7,57.737787824121746,count_matched_support,0.7952867123468081
history,log_elapsed_time,log(1 + time / 1 kyr),after_initial_event,log1p_time_since_event;lr04_scaled;co2_scaled;mis6_segment,53,824,164.8,5,7,-196.91965776556984,-189.86792107034503,14.103473390449608,0.0008659038396565128,0.1919529350916142,332.68548811141073,5.2259981095450465,403.8393155311397,403.9126651643915,393.73584214069007,393.87309704265084,-10.039568121740672,True,True,False,False,7,23.45449295594052,count_matched_support,0.46709582255050464
