event_id,event_label,event_age_kyr_bp,segment_id,source_record,source_event_label,data_source,label_source,timing_method,source_table,bin_center_kyr_bp,is_history_anchor,in_main_response,in_history_comparison
NGRIP:GI-15.1,GI-15.1,54.95,NGRIP,NGRIP,GI-15.1,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,54.9,False,True,True
NGRIP:GI-15.2,GI-15.2,55.75,NGRIP,NGRIP,GI-15.2,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,55.7,False,True,True
NGRIP:GI-16.1,GI-16.1,57.99,NGRIP,NGRIP,GI-16.1c,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,57.9,False,True,True
NGRIP:GI-16.2,GI-16.2,58.23,NGRIP,NGRIP,GI-16.2,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,58.3,False,True,True
NGRIP:GI-17.1,GI-17.1,59.03,NGRIP,NGRIP,GI-17.1c,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,59.1,False,True,True
NGRIP:GI-17.2,GI-17.2,59.39,NGRIP,NGRIP,GI-17.2,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,59.3,False,True,True
NGRIP:GI-18,GI-18,64.05,NGRIP,NGRIP,GI-18,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,64.1,False,True,True
NGRIP:GI-19.1,GI-19.1,69.57,NGRIP,NGRIP,GI-19.1,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,69.5,False,True,True
NGRIP:GI-19.2,GI-19.2,72.29,NGRIP,NGRIP,GI-19.2,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,72.30000000000001,False,True,True
NGRIP:GI-20,GI-20,76.39,NGRIP,NGRIP,GI-20c,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,76.30000000000001,False,True,True
NGRIP:GI-21.1,GI-21.1,84.71,NGRIP,NGRIP,GI-21.1e,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,84.69999999999999,False,True,True
NGRIP:GI-21.2,GI-21.2,85.01,NGRIP,NGRIP,GI-21.2,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,85.1,False,True,True
NGRIP:GI-22,GI-22,89.99,NGRIP,NGRIP,GI-22g,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,89.9,False,True,True
NGRIP:GI-23.1,GI-23.1,103.99,NGRIP,NGRIP,GI-23.1,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,103.9,False,True,True
NGRIP:GI-23.2,GI-23.2,104.47,NGRIP,NGRIP,GI-23.2,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,104.5,False,True,True
NGRIP:GI-24.1,GI-24.1,106.7,NGRIP,NGRIP,GI-24.1c,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,106.69999999999999,False,True,True
NGRIP:GI-24.2,GI-24.2,108.23,NGRIP,NGRIP,GI-24.2,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,108.30000000000001,False,True,True
NGRIP:GI-25,GI-25,115.32,NGRIP,NGRIP,GI-25c,Rasmussen et al. (2014),Rasmussen et al. (2014),published event-start age,ngrip_warming_cooling_starts.csv,115.30000000000001,True,True,False
MIS6:MIS6_DO_01,MIS 6.1,134.976,MIS6,MF,MF 6.1,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv,135.0,False,True,True
MIS6:MIS6_DO_02,MIS 6.2,138.393,MIS6,MF,MF 6.2,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv,138.4,False,True,True
MIS6:MIS6_DO_03,MIS 6.3,146.251,MIS6,MF,MF 6.3,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv,146.2,False,True,True
