experiment,variant,support_id,model_id,term,beta
history,elapsed_time,after_initial_event,full,mis6_segment,-0.2378392836154808
history,elapsed_time,after_initial_event,full,pre_phase_sin,-0.37723187947270465
history,elapsed_time,after_initial_event,full,pre_phase_cos,0.7224026343892733
history,log_elapsed_time,after_initial_event,reduced,intercept,-1.31221399656365
history,log_elapsed_time,after_initial_event,reduced,log1p_time_since_event,0.14349662172256003
history,log_elapsed_time,after_initial_event,reduced,lr04_scaled,1.1730469748766033
history,log_elapsed_time,after_initial_event,reduced,co2_scaled,-0.2513450547647769
history,log_elapsed_time,after_initial_event,reduced,mis6_segment,-0.1898393221942816
history,log_elapsed_time,after_initial_event,full,intercept,-1.7888191588114584
history,log_elapsed_time,after_initial_event,full,log1p_time_since_event,0.4537239081641009
history,log_elapsed_time,after_initial_event,full,lr04_scaled,2.3019635716405276
history,log_elapsed_time,after_initial_event,full,co2_scaled,0.1414777922109101
history,log_elapsed_time,after_initial_event,full,mis6_segment,-0.2212662682984956
history,log_elapsed_time,after_initial_event,full,pre_phase_sin,-0.3794080361405689
history,log_elapsed_time,after_initial_event,full,pre_phase_cos,0.7346330066819122
