experiment,variant,phase_deg,relative_rate
climate,frozen_linear,0.0,1.9967006424989162
climate,frozen_linear,1.0,1.9826271001582911
climate,frozen_linear,2.0,1.9682423682471568
climate,frozen_linear,3.0,1.9535590133157605
climate,frozen_linear,4.0,1.9385897190197334
climate,frozen_linear,5.0,1.923347265886438
climate,frozen_linear,6.0,1.907844511267206
climate,frozen_linear,7.0,1.8920943695221786
climate,frozen_linear,8.0,1.8761097924827073
climate,frozen_linear,9.0,1.8599037502344142
climate,frozen_linear,10.0,1.8434892122620274
climate,frozen_linear,11.0,1.8268791289950004
climate,frozen_linear,12.0,1.8100864137907646
climate,frozen_linear,13.0,1.793123925390187
climate,frozen_linear,14.0,1.776004450877476
climate,frozen_linear,15.0,1.7587406891744009
climate,frozen_linear,16.0,1.741345235096247
climate,frozen_linear,17.0,1.7238305639944804
climate,frozen_linear,18.0,1.7062090170086046
climate,frozen_linear,19.0,1.6884927869471995
climate,frozen_linear,20.0,1.6706939048156588
climate,frozen_linear,21.0,1.6528242270056461
climate,frozen_linear,22.0,1.6348954231588542
climate,frozen_linear,23.0,1.616918964715227
climate,frozen_linear,24.0,1.5989061141534262
climate,frozen_linear,25.0,1.580867914929006
climate,frozen_linear,26.0,1.5628151821134808
climate,frozen_linear,27.0,1.5447584937352925
climate,frozen_linear,28.0,1.5267081828215352
climate,frozen_linear,29.0,1.5086743301372714
climate,frozen_linear,30.0,1.4906667576173016
climate,frozen_linear,31.0,1.4726950224833848
climate,frozen_linear,32.0,1.454768412038142
climate,frozen_linear,33.0,1.4368959391251805
climate,frozen_linear,34.0,1.419086338243434
climate,frozen_linear,35.0,1.4013480623022143
climate,frozen_linear,36.0,1.3836892800021334
climate,frozen_linear,37.0,1.3661178738257862
climate,frozen_linear,38.0,1.34864143862094
climate,frozen_linear,39.0,1.3312672807579442
climate,frozen_linear,40.0,1.3140024178421301
climate,frozen_linear,41.0,1.2968535789611657
climate,frozen_linear,42.0,1.279827205446586
climate,frozen_linear,43.0,1.26292945212813
climate,frozen_linear,44.0,1.2461661890589788
climate,frozen_linear,45.0,1.2295430036895876
climate,frozen_linear,46.0,1.2130652034674776
climate,frozen_linear,47.0,1.1967378188401276
