event_age_ka,pick_value,source_row,source_excel_row,event_index,event_id,event_label,segment_id,event_age_kyr_bp,event_definition,source,event_role,included_in_response
259.518362264,1,46,56,39,Barker_S3_056,Barker event 39,Barker2011,259.518362264,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
261.985106372,1,47,57,40,Barker_S3_057,Barker event 40,Barker2011,261.985106372,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
264.304938871,1,48,58,41,Barker_S3_058,Barker event 41,Barker2011,264.304938871,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
276.908817737,1,49,59,42,Barker_S3_059,Barker event 42,Barker2011,276.908817737,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
278.805517955,1,50,60,43,Barker_S3_060,Barker event 43,Barker2011,278.805517955,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
281.47721396,1,51,61,44,Barker_S3_061,Barker event 44,Barker2011,281.47721396,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
291.429791447,1,52,62,45,Barker_S3_062,Barker event 45,Barker2011,291.429791447,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
297.52778462,1,53,63,46,Barker_S3_063,Barker event 46,Barker2011,297.52778462,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
301.831050705,1,54,64,47,Barker_S3_064,Barker event 47,Barker2011,301.831050705,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
306.888917952,1,55,65,48,Barker_S3_065,Barker event 48,Barker2011,306.888917952,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
317.780158488,1,56,66,49,Barker_S3_066,Barker event 49,Barker2011,317.780158488,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
327.901346184,1,57,67,50,Barker_S3_067,Barker event 50,Barker2011,327.901346184,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
334.860945836,1,58,68,51,Barker_S3_068,Barker event 51,Barker2011,334.860945836,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
335.209952309,1,59,69,52,Barker_S3_069,Barker event 52,Barker2011,335.209952309,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
336.252534653,1,61,71,53,Barker_S3_071,Barker event 53,Barker2011,336.252534653,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
351.123122905,1,63,73,54,Barker_S3_073,Barker event 54,Barker2011,351.123122905,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
366.804973984,1,64,74,55,Barker_S3_074,Barker event 55,Barker2011,366.804973984,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
372.804462592,1,65,75,56,Barker_S3_075,Barker event 56,Barker2011,372.804462592,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
378.190563154,1,66,76,57,Barker_S3_076,Barker event 57,Barker2011,378.190563154,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
387.378117458,1,67,77,58,Barker_S3_077,Barker event 58,Barker2011,387.378117458,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True
392.245695897,1,68,78,59,Barker_S3_078,Barker event 59,Barker2011,392.245695897,fixed_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,conditioning,False
