bootstrap_id,n_events_observation_support,n_events_response,fit_valid,status,solver_attempts,failure_reason,n_events_response_Barker2011,loglik_reduced,loglik_full,ll_gain_nats,LR_statistic,gain_bits_per_event,reduced_converged,full_converged,likelihood_nesting_ok,quadrature_order
43,66,65,True,finite_mle,1,,65,-170.657967854,-170.20002032,0.457947534113,0.915895068226,0.0101642867146,True,True,True,4
44,50,49,True,finite_mle,1,,49,-149.361166384,-146.516521541,2.84464484289,5.68928968579,0.0837541838354,True,True,True,4
45,65,64,True,finite_mle,1,,64,-171.701425319,-171.542344949,0.159080369992,0.318160739984,0.00358600720141,True,True,True,4
46,66,65,True,finite_mle,1,,65,-179.27726222,-178.717258909,0.560003310381,1.12000662076,0.0124294461349,True,True,True,4
47,54,53,True,finite_mle,1,,53,-153.090864174,-152.5199821,0.570882074763,1.14176414953,0.0155397875131,True,True,True,4
48,57,56,True,finite_mle,1,,56,-158.336191106,-155.794354688,2.54183641824,5.08367283649,0.0654838356313,True,True,True,4
49,61,60,True,finite_mle,1,,60,-167.039245713,-166.973971236,0.0652744768821,0.130548953764,0.00156951940157,True,True,True,4
50,52,51,True,finite_mle,1,,51,-148.657185598,-147.58609611,1.07108948795,2.1421789759,0.0302991273062,True,True,True,4
51,56,55,True,finite_mle,1,,55,-158.936779999,-158.555979994,0.380800004699,0.761600009398,0.00998869597,True,True,True,4
52,62,61,True,finite_mle,1,,61,-170.410900679,-170.006833347,0.404067332025,0.808134664049,0.00955649075569,True,True,True,4
53,54,53,True,finite_mle,1,,53,-157.162982188,-155.960570998,1.20241119074,2.40482238147,0.0327304275846,True,True,True,4
54,65,64,True,finite_mle,1,,64,-167.516443396,-167.377052468,0.139390928071,0.278781856142,0.00314216563551,True,True,True,4
55,49,48,True,finite_mle,1,,48,-145.615620821,-144.862047907,0.753572914132,1.50714582826,0.0226494980451,True,True,True,4
56,46,45,True,finite_mle,1,,45,-138.509470787,-138.508232563,0.00123822397921,0.00247644795843,3.96973243183e-05,True,True,True,4
57,47,46,True,finite_mle,1,,46,-136.599536296,-136.296794973,0.302741323059,0.605482646118,0.00949485664021,True,True,True,4
58,50,49,True,finite_mle,1,,49,-143.721210482,-142.68275584,1.038454642,2.076909284,0.0305749665755,True,True,True,4
59,65,64,True,finite_mle,1,,64,-178.070179293,-177.840726269,0.229453024415,0.45890604883,0.00517235531938,True,True,True,4
60,62,61,True,finite_mle,1,,61,-171.166003248,-169.261881794,1.90412145412,3.80824290824,0.0450338783461,True,True,True,4
61,56,55,True,finite_mle,1,,55,-161.344638571,-161.278750809,0.0658877622594,0.131775524519,0.00172828996122,True,True,True,4
62,61,60,True,finite_mle,1,,60,-168.366921183,-167.040800291,1.32612089206,2.65224178411,0.0318864672431,True,True,True,4
63,58,57,True,finite_mle,1,,57,-165.119842315,-161.830519389,3.28932292545,6.57864585091,0.0832542082883,True,True,True,4
64,64,63,True,finite_mle,1,,63,-174.946095716,-174.091711801,0.854383914794,1.70876782959,0.0195653243951,True,True,True,4
65,53,52,True,finite_mle,1,,52,-152.543249641,-151.733905757,0.809343883236,1.61868776647,0.0224545462831,True,True,True,4
66,58,57,True,finite_mle,1,,57,-162.039493493,-161.11848285,0.921010643203,1.84202128641,0.0233111839922,True,True,True,4
67,63,62,True,finite_mle,1,,62,-166.810473153,-166.755844581,0.0546285722722,0.109257144544,0.00127116726303,True,True,True,4
68,49,48,True,finite_mle,1,,48,-144.780932282,-143.952876799,0.828055483301,1.6561109666,0.0248881570696,True,True,True,4
69,61,60,True,finite_mle,1,,60,-163.542708606,-163.085801991,0.456906615444,0.913813230889,0.0109862818042,True,True,True,4
70,44,43,True,finite_mle,1,,43,-133.180066426,-132.267315249,0.912751177479,1.82550235496,0.0306237580771,True,True,True,4
71,69,68,True,finite_mle,1,,68,-180.689872283,-180.18480021,0.505072073454,1.01014414691,0.0107156614068,True,True,True,4
72,59,58,True,finite_mle,1,,58,-165.524280483,-164.77297394,0.751306543214,1.50261308643,0.0186880383462,True,True,True,4
73,58,57,True,finite_mle,1,,57,-165.258492345,-164.77062671,0.487865634792,0.975731269584,0.0123480935427,True,True,True,4
74,51,50,True,finite_mle,1,,50,-150.89145511,-150.359790389,0.531664720938,1.06332944188,0.0153406011262,True,True,True,4
75,61,60,True,finite_mle,1,,60,-169.598379035,-169.505831175,0.0925478595125,0.185095719025,0.00222530563273,True,True,True,4
76,67,66,True,finite_mle,1,,66,-179.222195003,-177.780313978,1.44188102444,2.88376204888,0.0315181000532,True,True,True,4
77,48,47,True,finite_mle,1,,47,-138.011467169,-136.280902556,1.73056461308,3.46112922616,0.0531207869197,True,True,True,4
78,55,54,True,finite_mle,1,,54,-152.95675012,-152.623665079,0.333085041184,0.666170082369,0.00889889142798,True,True,True,4
79,54,53,True,finite_mle,1,,53,-155.46447996,-154.862798851,0.601681108588,1.20336221718,0.0163781575765,True,True,True,4
80,56,55,True,finite_mle,1,,55,-157.53235038,-156.360430943,1.17191943726,2.34383887452,0.0307404065538,True,True,True,4
81,59,58,True,finite_mle,1,,58,-160.637362938,-159.491600682,1.14576225614,2.29152451228,0.0284997504305,True,True,True,4
82,68,67,True,finite_mle,1,,67,-180.948549008,-180.757490534,0.191058473793,0.382116947586,0.00411401660688,True,True,True,4
83,50,49,True,finite_mle,1,,49,-146.977578963,-144.575139584,2.40243937871,4.80487875741,0.0707344362795,True,True,True,4
84,48,47,True,finite_mle,1,,47,-142.397673031,-141.807248502,0.59042452839,1.18084905678,0.0181234582793,True,True,True,4
85,70,69,True,finite_mle,1,,69,-185.498163082,-184.211321659,1.28684142271,2.57368284542,0.0269060831732,True,True,True,4
86,43,42,True,finite_mle,1,,42,-133.182821274,-128.840449901,4.34237137268,8.68474274537,0.14915994393,True,True,True,4
87,61,60,True,finite_mle,1,,60,-168.104686094,-166.468728381,1.63595771355,3.27191542709,0.0393364680073,True,True,True,4
88,57,56,True,finite_mle,1,,56,-158.878710816,-157.799950741,1.07876007462,2.15752014923,0.0277914608921,True,True,True,4
89,59,58,True,finite_mle,1,,58,-160.334266259,-159.676077039,0.658189219361,1.31637843872,0.0163718331507,True,True,True,4
90,56,55,True,finite_mle,1,,55,-159.408524183,-158.605535658,0.802988525006,1.60597705001,0.0210630465985,True,True,True,4
91,66,65,True,finite_mle,1,,65,-178.624298291,-178.554621349,0.069676941994,0.139353883988,0.00154650121045,True,True,True,4
92,58,57,True,finite_mle,1,,57,-164.911774304,-164.719503389,0.192270914995,0.38454182999,0.0048664613258,True,True,True,4
93,54,53,True,finite_mle,1,,53,-153.637182845,-152.495034913,1.14214793198,2.28429586396,0.0310900218383,True,True,True,4
94,57,56,True,finite_mle,1,,56,-160.225966263,-156.819600983,3.40636527932,6.81273055864,0.087756183856,True,True,True,4
95,63,62,True,finite_mle,1,,62,-172.070847869,-171.004117831,1.06673003783,2.13346007566,0.0248220344443,True,True,True,4
96,51,50,True,finite_mle,1,,50,-146.452686434,-144.720376543,1.73230989129,3.46461978258,0.0499838977889,True,True,True,4
97,56,55,True,finite_mle,1,,55,-160.446173445,-157.153242109,3.29293133514,6.58586267027,0.0863762855852,True,True,True,4
