experiment,catalogue_id,model_version,n_source_events,n_response_events,n_conditioning_events,response_exposure_kyr,history_kernel,history_initialization,history_tau_kyr,history_coefficient_domain,initial_unobserved_history,df,n_events,loglik_reduced,loglik_full,ll_gain_nats,gain_bits_per_event,LR_statistic,LR_p_value,delta_AIC_full_minus_reduced,nominal_LR_p,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,pre_phase_amplitude,beta_history,mis6_vs_ngrip_rate_ratio_full,all_models_converged,likelihood_nesting_ok,beta_pre_phase_sin,beta_pre_phase_cos,reduced_aic,full_aic,is_primary_design
initial_history,ngrip_warming_plus_mis6,continuous_exponential_inhibition_2026-09-12,55,53,2,165.058,exponential,condition_on_exact_oldest_event,1.5,nonpositive,0.0,2,53,-111.2417975859055,-102.12285757375506,9.118940012150446,0.24822357610742252,18.237880024300893,0.00010957075947574939,-14.237880024300893,0.00010957075947574939,328.0836823478582,7.1828657310746395,0.9858492151604007,-0.9639612854887414,0.8107475304976235,True,True,-0.5211988593599853,0.8368096701366614,232.483595171811,218.2457151475101,True
initial_history,ngrip_warming_plus_mis6,continuous_exponential_inhibition_2026-09-12,55,53,2,165.058,exponential,condition_on_exact_oldest_event,1.5,nonpositive,0.5,2,53,-111.1609115216854,-102.00628681435785,9.154624707327557,0.24919493710303858,18.309249414655113,0.00010572970140751268,-14.309249414655113,0.00010572970140751268,327.89273189546094,7.183233191656522,0.9858747934738968,-0.9735572186040385,0.8186269685418157,True,True,-0.5239984021432994,0.8350896855778234,232.3218230433708,218.0125736287157,False
initial_history,ngrip_warming_plus_mis6,continuous_exponential_inhibition_2026-09-12,55,53,2,165.058,exponential,condition_on_exact_oldest_event,1.5,nonpositive,1.0,2,53,-111.0841614623007,-101.91833225897653,9.165829203324165,0.2494999308919059,18.33165840664833,0.00010455166536569307,-14.33165840664833,0.00010455166536569307,327.7555130928349,7.163961576302354,0.9845315603710998,-0.9772847168569624,0.8255084625325787,True,True,-0.5252802110363112,0.8326962791200648,232.1683229246014,217.83666451795307,False
