dataset_id,event_definition,age_scale,analysis_end_ka,n_rayleigh_events,n_pi_events,rayleigh_p,phase_LR,phase_nominal_p,phase_delta_AICc,phase_bits_per_event,phase_preferred_deg,phase_rate_ratio_max_min
barker_variable_threshold_edc3_0_640,variable_threshold,EDC3,640.0,104,103,0.14901968553495704,8.017718823878113,0.018154089770638114,-4.001287542907221,0.056151083429374006,328.5958213450593,2.2918148907533444
barker_variable_threshold_edc3_0_800,variable_threshold,EDC3,800.0,126,125,0.21227785820941214,6.850847206413164,0.03253549592920842,-2.8377314427843885,0.039534733162321124,330.8560875069576,1.9924541350892615
barker_variable_threshold_speleo_0_400,variable_threshold,SpeleoAge,400.0,70,69,0.07945594147638424,7.790004540370319,0.020343328265986286,-3.7635373595661576,0.08143913709344035,333.3907001986753,2.861778913815393
barker_fixed_threshold_edc3_0_640,fixed_threshold,EDC3,640.0,75,75,0.15492609489058506,5.26306346909621,0.0719681416804556,-1.246632188125318,0.050619970444993105,337.7119077115131,2.2090247499233957
barker_fixed_threshold_edc3_0_800,fixed_threshold,EDC3,800.0,78,78,0.1515009571568282,3.918993485555802,0.14092932677911305,0.0941222780732005,0.03624302863389429,346.1917668560753,1.9431692574373174
barker_fixed_threshold_speleo_0_400,fixed_threshold,SpeleoAge,400.0,59,59,0.04705128406608059,6.295121291568876,0.04295678598178809,-2.2686541107647145,0.07696559550119443,349.690853557579,2.73288430697931
