source_row,event_age_ka,pick_value,event_index,dataset_id,event_type,event_label,event_definition,age_column,pick_column,analysis_start_ka,analysis_end_ka,source
35,192.16,1.0,36,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
36,201.42,1.0,37,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
37,215.22,1.0,38,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
38,226.2,1.0,39,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
39,229.76,1.0,40,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
40,232.12,1.0,41,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
41,242.18,1.0,42,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
42,243.62,1.0,43,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
43,248.02,1.0,44,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
44,251.3,1.0,45,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
45,256.72,1.0,46,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
46,258.48,1.0,47,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
47,261.16,1.0,48,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
48,263.68,1.0,49,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
49,276.04,1.0,50,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
50,277.9,1.0,51,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
51,280.52,1.0,52,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
52,290.28,1.0,53,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
53,296.26,1.0,54,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
54,300.48,1.0,55,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
55,305.44,1.0,56,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
56,316.12,1.0,57,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
57,325.98,1.0,58,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
