realization_id,ngrip_realization_id,mis6_realization_id,fit_valid,invalid_reason,n_predictive_events,LR_statistic,nominal_LR_p,info_bits_per_event,delta_AICc_full_minus_reduced,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,all_models_converged,likelihood_nesting_ok,eta_clipping_used
joint_08523,NGRIP_05253,7081,True,,55,11.8493649,0.00267265625,0.155409273,-7.79098407,324.96908,4.32501097,True,True,False
joint_08524,NGRIP_03701,2488,True,,55,5.97077887,0.0505198255,0.0783092097,-1.91239804,327.498359,2.77620209,True,True,False
joint_08525,NGRIP_01919,8283,True,,55,11.7033801,0.00287503604,0.153494623,-7.64499931,335.546035,4.30871988,True,True,False
joint_08526,NGRIP_04923,557,True,,55,11.949846,0.00254169774,0.156727124,-7.89146521,328.232534,4.4231056,True,True,False
joint_08527,NGRIP_00167,907,True,,55,14.1637359,0.000840202221,0.185763196,-10.1053551,324.114546,5.15688748,True,True,False
joint_08528,NGRIP_02162,7756,True,,55,13.702221,0.00105827985,0.179710238,-9.64384012,332.928292,5.01670867,True,True,False
joint_08529,NGRIP_08135,7057,True,,55,10.7353753,0.00466490578,0.140798843,-6.67699446,340.78725,4.01992376,True,True,False
joint_08530,NGRIP_07716,7233,True,,55,12.1868902,0.00225761782,0.159836055,-8.12850934,328.038753,4.44120229,True,True,False
joint_08531,NGRIP_01752,284,True,,55,6.05680347,0.0483929209,0.0794374576,-1.99842265,344.936203,2.78576896,True,True,False
joint_08532,NGRIP_06626,215,True,,55,13.1715096,0.00137988545,0.172749741,-9.11312876,311.392879,4.77910147,True,True,False
joint_08533,NGRIP_02581,2336,True,,55,11.2074922,0.00368403701,0.14699085,-7.1491114,331.470125,4.19327363,True,True,False
joint_08534,NGRIP_02621,6331,True,,55,14.576871,0.000683396376,0.191181632,-10.5184902,326.215105,5.33008617,True,True,False
joint_08535,NGRIP_07240,1331,True,,55,10.7948633,0.00452819591,0.141579053,-6.73648252,327.085518,4.06507975,True,True,False
joint_08536,NGRIP_00652,6990,True,,55,13.0002207,0.00150327326,0.170503218,-8.94183992,320.942616,4.7043544,True,True,False
joint_08537,NGRIP_02501,8107,True,,55,15.1991874,0.000500654797,0.199343567,-11.1408066,328.816655,5.49480212,True,True,False
joint_08538,NGRIP_07063,8554,True,,55,7.90466954,0.0192097989,0.103672978,-3.84628871,340.489609,3.26055092,True,True,False
joint_08539,NGRIP_08799,4736,True,,55,13.9910441,0.00091597449,0.183498272,-9.93266326,330.641305,5.04840223,True,True,False
joint_08540,NGRIP_01820,1879,True,,55,14.3979498,0.000747351511,0.188835008,-10.339569,330.273543,5.04447403,True,True,False
joint_08541,NGRIP_03229,3106,True,,55,10.061128,0.00653512384,0.131955813,-6.00274714,337.085428,3.86542276,True,True,False
joint_08542,NGRIP_07309,4162,True,,55,13.4994089,0.00117122573,0.177050275,-9.44102806,328.300677,4.776503,True,True,False
joint_08543,NGRIP_03239,1955,True,,55,10.7618607,0.00460353714,0.141146209,-6.70347983,327.919925,4.05342787,True,True,False
joint_08544,NGRIP_00056,704,True,,55,11.1662847,0.00376072932,0.146450397,-7.10790392,332.797461,4.19182681,True,True,False
joint_08545,NGRIP_05063,4977,True,,55,10.246394,0.00595694819,0.134385652,-6.18801313,342.000307,3.94581073,True,True,False
joint_08546,NGRIP_06897,6733,True,,55,11.0576806,0.00397059114,0.145026009,-6.99929976,339.38378,4.15924592,True,True,False
joint_08547,NGRIP_00225,9490,True,,55,16.9366522,0.000210016152,0.222131129,-12.8782714,322.212631,6.18904764,True,True,False
joint_08548,NGRIP_08522,3358,True,,55,12.9998595,0.00150354481,0.17049848,-8.94147868,327.674565,4.71039558,True,True,False
joint_08549,NGRIP_01584,8352,True,,55,5.94739193,0.0511140451,0.0780024804,-1.8890111,328.472745,2.77384168,True,True,False
joint_08550,NGRIP_06123,3319,True,,55,13.5044822,0.0011682585,0.177116814,-9.44610138,329.318349,4.97730188,True,True,False
joint_08551,NGRIP_05861,7124,True,,55,15.3121371,0.000473163976,0.200824948,-11.2537563,314.161562,5.46265999,True,True,False
joint_08552,NGRIP_06710,1079,True,,55,13.10871,0.00142390097,0.1719261,-9.0503292,329.293914,4.71301431,True,True,False
