realization_id,ngrip_realization_id,mis6_realization_id,age_kyr_bp__NGRIP:GI-1,age_kyr_bp__NGRIP:GI-2.1,age_kyr_bp__NGRIP:GI-2.2,age_kyr_bp__NGRIP:GI-3,age_kyr_bp__NGRIP:GI-4,age_kyr_bp__NGRIP:GI-5.1,age_kyr_bp__NGRIP:GI-5.2,age_kyr_bp__NGRIP:GI-6,age_kyr_bp__NGRIP:GI-7,age_kyr_bp__NGRIP:GI-8,age_kyr_bp__NGRIP:GI-9,age_kyr_bp__NGRIP:GI-10,age_kyr_bp__NGRIP:GI-11,age_kyr_bp__NGRIP:GI-12,age_kyr_bp__NGRIP:GI-13,age_kyr_bp__NGRIP:GI-14,age_kyr_bp__NGRIP:GI-15.1,age_kyr_bp__NGRIP:GI-15.2,age_kyr_bp__NGRIP:GI-16.1,age_kyr_bp__NGRIP:GI-16.2,age_kyr_bp__NGRIP:GI-17.1,age_kyr_bp__NGRIP:GI-17.2,age_kyr_bp__NGRIP:GI-18,age_kyr_bp__NGRIP:GI-19.1,age_kyr_bp__NGRIP:GI-19.2,age_kyr_bp__NGRIP:GI-20,age_kyr_bp__NGRIP:GI-21.1,age_kyr_bp__NGRIP:GI-21.2,age_kyr_bp__NGRIP:GI-22,age_kyr_bp__NGRIP:GI-23.1,age_kyr_bp__NGRIP:GI-23.2,age_kyr_bp__NGRIP:GI-24.1,age_kyr_bp__NGRIP:GI-24.2,age_kyr_bp__NGRIP:GI-25,age_kyr_bp__MIS6:MIS6_DO_01,age_kyr_bp__MIS6:MIS6_DO_02,age_kyr_bp__MIS6:MIS6_DO_03,age_kyr_bp__MIS6:MIS6_DO_04,age_kyr_bp__MIS6:MIS6_DO_05,age_kyr_bp__MIS6:MIS6_DO_06,age_kyr_bp__MIS6:MIS6_DO_07,age_kyr_bp__MIS6:MIS6_DO_08,age_kyr_bp__MIS6:MIS6_DO_09,age_kyr_bp__MIS6:MIS6_DO_10,age_kyr_bp__MIS6:MIS6_DO_11,age_kyr_bp__MIS6:MIS6_DO_12,age_kyr_bp__MIS6:MIS6_DO_13,age_kyr_bp__MIS6:MIS6_DO_14,age_kyr_bp__MIS6:MIS6_DO_15,age_kyr_bp__MIS6:MIS6_DO_16,age_kyr_bp__MIS6:MIS6_DO_17,age_kyr_bp__MIS6:MIS6_DO_18,age_kyr_bp__MIS6:MIS6_DO_19,age_kyr_bp__MIS6:MIS6_DO_20,age_kyr_bp__MIS6:MIS6_DO_21
joint_06512,NGRIP_09369,9991,14.590949,23.021407,23.329826,27.546062,28.549600,30.390274,32.014154,33.282123,35.011966,37.742589,39.660697,40.824057,42.463919,45.957057,48.673236,53.289076,54.033372,54.774347,56.836890,57.071669,57.838941,58.168182,62.609068,68.289018,71.143631,75.222759,83.444977,83.712332,88.547034,102.864231,103.348271,105.645859,107.211104,114.205222,134.557118,138.139326,146.043982,146.594280,148.115845,149.041955,150.143191,150.854144,159.156596,160.435516,164.751755,167.442264,168.840197,170.887902,171.905563,173.818492,177.078407,180.051411,180.811851,190.814910,194.267165
joint_06513,NGRIP_03793,433,14.482006,22.847898,23.153085,27.548990,28.741659,30.549045,32.065556,33.152845,34.716347,37.283889,39.132376,40.615026,42.762300,46.597509,49.146013,54.023416,54.759948,55.671075,58.092893,58.362578,59.220584,59.595674,63.899813,70.303588,72.969983,77.070328,85.416710,85.711266,90.524868,104.431057,104.902527,107.407582,109.197970,117.024663,135.060808,138.439346,146.313658,146.902633,148.503953,149.518635,150.502505,151.172119,159.580480,160.717570,165.053633,168.776035,169.826334,171.597636,172.450121,174.921367,176.838184,179.864190,180.179952,191.490611,194.868399
joint_06514,NGRIP_07036,379,14.759287,22.608070,22.945632,27.410478,28.487771,30.520148,32.219063,33.476886,35.354312,38.434493,40.580641,41.840407,43.601161,46.836489,49.118001,54.042006,54.841429,55.552874,57.500519,57.727093,58.410530,58.778044,63.043201,68.348488,70.766418,74.749754,84.248807,84.590449,89.810643,104.207898,104.747624,107.532197,109.552044,116.723162,135.384103,138.631914,146.486751,147.100551,148.753062,149.824594,150.733133,151.376213,159.852551,160.898608,165.247394,169.632121,170.459290,172.053182,172.799647,175.629251,177.172910,179.382329,180.025662,191.141714,194.266816
joint_06515,NGRIP_06707,4577,14.621828,23.055040,23.366433,27.888163,29.052202,31.084984,32.720268,34.016857,35.788010,38.462195,40.286649,41.589709,43.403269,46.842312,49.180637,54.238164,55.003486,55.727504,57.777337,57.996089,58.608249,58.983863,64.330567,69.231951,71.553561,75.279473,82.819113,83.056823,88.091540,100.486891,100.863157,102.785850,104.223922,110.591640,135.436788,138.663296,146.514958,147.132804,148.793657,149.874454,150.770716,151.409473,159.896888,160.928110,165.278970,169.771631,170.562438,172.127419,172.856607,175.744610,176.558566,179.825289,180.365038,190.592093,193.803581
joint_06516,NGRIP_02513,3273,14.521438,22.192318,22.566008,27.120935,28.330671,30.267312,31.715614,32.849470,34.415829,37.172679,39.011571,40.386333,42.336162,45.615629,47.639501,52.456809,53.256654,54.072883,56.300343,56.549611,57.374943,57.756656,62.554596,68.620101,70.659058,73.859407,82.561391,82.900486,87.885328,103.993477,104.667802,107.522858,109.486386,116.819777,134.252912,137.961244,145.864539,146.404116,147.882424,148.776660,149.947879,150.657683,158.915666,160.607124,164.571238,166.690529,168.256224,170.491687,171.580580,173.164243,176.747500,180.052787,180.341897,190.726896,193.716762
joint_06517,NGRIP_00091,9777,14.553213,22.762660,23.100303,27.613441,28.825441,30.690686,32.127556,33.267066,34.784438,37.309760,39.126829,40.603328,42.662489,46.732985,49.626187,53.728319,54.354799,55.110020,57.425670,57.687348,58.474270,58.813750,63.309974,68.842453,71.984786,76.453651,85.456297,85.821872,90.928377,103.884688,104.289966,106.692082,108.275605,115.385725,134.509405,138.114396,146.001624,146.561215,148.079852,149.018344,150.130247,150.819902,159.130744,160.703564,164.725456,167.355795,168.759491,170.851483,171.858474,173.727451,177.173642,179.730954,180.311872,190.902989,194.013495
joint_06518,NGRIP_07091,5673,14.587123,22.819779,23.160978,27.972026,29.215565,31.255479,32.771273,33.952169,35.552934,37.947221,39.636480,40.886391,42.694217,46.263487,48.888267,54.652448,55.573709,56.482093,58.950767,59.254398,60.115374,60.510568,65.093066,71.522786,74.583668,78.950090,86.130300,86.354023,91.248336,107.016108,107.593314,109.600454,110.793024,117.492760,134.959565,138.394727,146.231419,146.829610,148.426978,149.461214,150.447545,151.104384,159.518257,160.881041,164.971061,168.526262,169.659509,171.126082,172.347680,174.730030,176.551024,180.263330,180.517910,190.700926,193.636318
joint_06519,NGRIP_09685,1166,14.709955,23.002297,23.357534,27.645831,28.705469,30.689667,32.211150,33.440853,35.110015,37.925392,39.909961,41.208760,43.050900,46.631625,49.087856,54.128817,54.888084,55.659962,57.777371,58.002463,58.720373,59.154333,62.990883,68.484211,71.181695,75.269151,83.429132,83.731292,87.951858,102.393663,102.824414,104.830208,106.315859,112.887083,134.643612,138.204788,146.062446,146.636136,148.184083,149.164912,150.221822,150.904063,159.253525,160.761155,164.760973,167.777220,169.039075,170.674373,172.004918,174.034533,176.614027,179.603779,180.507771,190.856723,194.378194
joint_06520,NGRIP_07007,1901,14.719271,23.346018,23.676294,27.953804,28.982032,30.791942,32.541671,33.861087,35.528547,37.954591,39.613078,40.690657,42.329385,45.634314,48.287225,53.938315,54.858525,55.834758,58.582677,58.869008,59.866127,60.301617,64.428866,70.131026,72.487103,76.419198,84.488951,84.720517,90.793706,103.112542,103.532054,105.409517,106.653996,112.672669,135.254381,138.571959,146.389089,147.010141,148.653623,149.737694,150.658167,151.291304,159.765278,160.992905,165.167095,169.225193,170.238437,171.547571,172.667511,175.378999,177.206200,179.497570,180.419002,190.909257,194.246278
joint_06521,NGRIP_03222,5597,14.589325,23.049907,23.421537,27.887674,29.047521,31.083090,33.013288,34.404123,36.323400,39.064102,41.037467,42.293692,44.210744,47.561510,49.893578,54.540823,55.312760,56.002626,58.060722,58.254834,59.023734,59.267795,63.424815,67.939367,70.265512,73.986076,81.754094,81.980044,86.424046,100.313236,100.722230,102.878870,104.394964,111.585839,135.146793,138.507281,146.331550,146.944259,148.570913,149.636797,150.581304,151.223091,159.675132,160.952082,165.095556,168.970130,170.027167,171.393756,172.550794,175.142169,176.260447,179.946073,180.436668,190.410221,193.575574
