realization_id,ngrip_realization_id,mis6_realization_id,fit_valid,invalid_reason,n_response_events,n_conditioning_events,response_exposure_kyr,gain_bits_per_event,LR_statistic,nominal_LR_p,delta_AIC_full_minus_reduced,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,pre_phase_amplitude,beta_history,beta_pre_phase_sin,beta_pre_phase_cos,all_models_converged,likelihood_nesting_ok
joint_00001,NGRIP_08883,7164,True,,53.0,2.0,166.349234,0.1875328023436008,13.77871031993908,0.0010185704442669,-9.77871031993908,328.1574122261669,5.116836699604983,0.8162682080030544,-0.7561731065162357,-0.430652799076343,0.6934204742032273,True,True
joint_00002,NGRIP_07918,4635,True,,53.0,2.0,164.766753,0.1955453411128269,14.367420397582803,0.0007588471389639,-10.367420397582803,321.46589785627134,5.472119673656708,0.8498330251334512,-0.8380576605057194,-0.5294292589222452,0.6647712617167767,True,True
joint_00003,NGRIP_06780,8570,True,,53.0,2.0,168.75172300000003,0.1819649978247763,13.369623671501074,0.001249749889922,-9.369623671501074,333.7673902400524,5.179261467656661,0.8223312361476621,-0.917354048092862,-0.363483936830221,0.7376368277211666,True,True
joint_00004,NGRIP_01851,572,True,,53.0,2.0,162.058819,0.2398298952846995,17.621166067441095,0.0001491462732777,-13.621166067441097,319.20233997310686,6.942752891588955,0.96884918306182,-0.9717586364627632,-0.6330360650417429,0.7334398952034324,True,True
joint_00005,NGRIP_07225,890,True,,53.0,2.0,165.805966,0.2291574869910543,16.837025797277477,0.0002207426756015,-12.837025797277477,333.3075287164249,6.59603298950625,0.94323420306303,-0.9655089388349594,-0.4237023178517584,0.8427141316454807,True,True
joint_00006,NGRIP_09194,7596,True,,53.0,2.0,165.64430800000002,0.1951765992307799,14.340327603617908,0.0007691967250923,-10.340327603617908,327.4529601256066,5.516417333567527,0.8538643079007034,-0.879176009332091,-0.4593720404879513,0.7197649510254603,True,True
joint_00007,NGRIP_08323,3185,True,,53.0,2.0,164.70945,0.2500255494660362,18.37027749611542,0.0001025521869418,-14.37027749611542,328.4963033780743,7.150707652542984,0.9836056620960536,-0.9019977502872384,-0.5139866545848136,0.8386285336286426,True,True
joint_00008,NGRIP_07443,6835,True,,53.0,2.0,167.437331,0.194825839278494,14.314556006787996,0.0007791725743895,-10.314556006787996,333.71833588137156,5.349293377766831,0.8384822366313193,-0.7556844622659263,-0.3712667477442288,0.7518067990951417,True,True
joint_00009,NGRIP_05806,1501,True,,53.0,2.0,165.24075399999998,0.1891801216918385,13.899744804680635,0.0009587574811002,-9.899744804680635,331.52299650917195,5.4612169991381565,0.8488358292673848,-1.1232512289387702,-0.4047300126573447,0.7461339570763647,True,True
joint_00010,NGRIP_06364,6455,True,,53.0,2.0,163.594113,0.2462035177060121,18.089459059037463,0.0001180113762179,-14.089459059037466,321.25987699292637,7.005139981588341,0.9733220813427168,-0.9166691907710794,-0.6090942730644464,0.7591837989244845,True,True
