realization_id,age_ka_bp__Barker_S3_010,age_ka_bp__Barker_S3_011,age_ka_bp__Barker_S3_012,age_ka_bp__Barker_S3_013,age_ka_bp__Barker_S3_014,age_ka_bp__Barker_S3_015,age_ka_bp__Barker_S3_016,age_ka_bp__Barker_S3_017,age_ka_bp__Barker_S3_018,age_ka_bp__Barker_S3_019,age_ka_bp__Barker_S3_020,age_ka_bp__Barker_S3_021,age_ka_bp__Barker_S3_022,age_ka_bp__Barker_S3_023,age_ka_bp__Barker_S3_024,age_ka_bp__Barker_S3_025,age_ka_bp__Barker_S3_026,age_ka_bp__Barker_S3_027,age_ka_bp__Barker_S3_028,age_ka_bp__Barker_S3_029,age_ka_bp__Barker_S3_030,age_ka_bp__Barker_S3_031,age_ka_bp__Barker_S3_032,age_ka_bp__Barker_S3_033,age_ka_bp__Barker_S3_034,age_ka_bp__Barker_S3_035,age_ka_bp__Barker_S3_036,age_ka_bp__Barker_S3_037,age_ka_bp__Barker_S3_038,age_ka_bp__Barker_S3_039,age_ka_bp__Barker_S3_040,age_ka_bp__Barker_S3_041,age_ka_bp__Barker_S3_042,age_ka_bp__Barker_S3_043,age_ka_bp__Barker_S3_044,age_ka_bp__Barker_S3_045,age_ka_bp__Barker_S3_046,age_ka_bp__Barker_S3_047,age_ka_bp__Barker_S3_048,age_ka_bp__Barker_S3_049,age_ka_bp__Barker_S3_050,age_ka_bp__Barker_S3_051,age_ka_bp__Barker_S3_052,age_ka_bp__Barker_S3_053,age_ka_bp__Barker_S3_054,age_ka_bp__Barker_S3_055,age_ka_bp__Barker_S3_056,age_ka_bp__Barker_S3_057,age_ka_bp__Barker_S3_058,age_ka_bp__Barker_S3_059,age_ka_bp__Barker_S3_060,age_ka_bp__Barker_S3_061,age_ka_bp__Barker_S3_062,age_ka_bp__Barker_S3_063,age_ka_bp__Barker_S3_064,age_ka_bp__Barker_S3_065,age_ka_bp__Barker_S3_066,age_ka_bp__Barker_S3_067,age_ka_bp__Barker_S3_068,age_ka_bp__Barker_S3_069,age_ka_bp__Barker_S3_070,age_ka_bp__Barker_S3_071,age_ka_bp__Barker_S3_072,age_ka_bp__Barker_S3_073,age_ka_bp__Barker_S3_074,age_ka_bp__Barker_S3_075,age_ka_bp__Barker_S3_076,age_ka_bp__Barker_S3_077,age_ka_bp__Barker_S3_078,age_ka_bp__Barker_S3_079
Barker_MC_00001,11.271202227755692,14.566791085585296,28.169293056828398,29.621152358852768,33.143450144557839,33.860001553300791,35.946988968055088,37.523419142716456,38.949195384311892,41.995453465765102,44.29904313621067,47.864435537223869,53.662566546883312,57.695050824874066,59.634448747063907,64.940955027748998,71.84143087563605,75.749289982389982,83.583454047776073,90.519419156706476,103.05180809445807,108.58226143519839,124.46902464678335,127.8572763410163,147.39902872369831,148.98932647221378,150.73865399558071,159.75140184393948,163.81281783658784,170.19443179183003,174.40411556600259,178.13896176026762,178.58958228837005,179.84161181944125,189.97069197516825,191.85414121221541,199.33751771104923,216.46343469087898,225.77156001854948,230.15188328241041,232.58197389917419,242.94075000283672,244.23879732169294,248.63962540818108,251.61397424694269,257.81855529669485,259.83332700288736,262.52456784048297,265.04955045176388,277.5244857802806,279.40178187340689,282.04614518738055,291.89690318141965,297.93251105071823,302.19175272437042,307.19787563937388,317.98712869994449,329.19607643147702,336.9036490095491,337.29016444856745,337.88130570824256,338.28299779888061,349.24049566079202,351.26701698029461,366.7563454153659,372.72368510481328,377.46091115744963,386.66529091523944,391.54178350214789,395.7680770774686
Barker_MC_00002,11.329373102845885,14.509378984325382,27.72214821070548,30.125778733402129,33.167227282064992,33.893011496558991,35.458240118594972,38.079106016192071,38.860691510919203,41.958730059188838,43.898982711168557,47.141723840955891,53.553350420005472,57.598603428321219,59.412900650075137,64.799864365223257,71.804965470092668,75.342276926304677,84.623803378122872,90.965246541077079,103.65737528338829,108.75350023151819,126.40730237152792,130.31309334859233,148.16745761935474,149.93048567331459,151.86981653267034,161.83843060500124,163.1805498918518,168.49748507446276,174.58283405385129,175.54647889650002,176.77712112336715,180.01904616605904,189.26249262759941,192.91967980975093,197.74853666314669,217.86003373953525,227.14529190643171,229.94016147599189,232.28684036286623,242.29005629589838,243.78790323807863,249.39784448385817,251.48502019775583,256.92288367156112,258.68868435678195,261.90831413871621,264.92966409310498,277.38891271893755,279.26384819175695,281.90488633088978,291.74325741407148,297.7712757621685,302.02516161985574,307.02498954737428,317.78668963823708,327.21561189469736,333.69919129619836,334.02432654642115,334.5215922232324,335.05754738455192,348.70954610767814,351.23527910066792,366.65433497835539,371.61965373306981,378.26897005289317,387.83802032814026,392.90771583820492,397.30145194692761
Barker_MC_00003,11.436634029360903,14.433614192629738,27.690662470172672,29.438198016830523,32.769333496166254,33.898069710584629,35.587058457994651,37.576464176157494,38.903983043349633,42.254490415774256,43.966065795917515,48.153459724321785,54.001858868542492,57.615900319552459,59.211083011482728,64.812300296119901,72.096012506560612,76.417859613753635,84.693191600388801,90.551783936635942,102.77317531313075,109.74579944415191,125.14920863539484,128.8848956592719,147.45018616638211,149.19906791089443,151.1228378298579,161.03361213266362,165.4010603157752,170.20629495880752,172.7247290622428,176.68799340782292,178.31710208999729,178.50027376101323,189.73234757443961,191.42542877811826,197.4182526234658,218.01542862863764,227.64351284915205,229.40433146655786,231.95445238497973,242.82488307960847,243.95397234215602,248.83731967627719,251.61783128384161,257.58509390325008,259.52280279811333,261.50747205106694,263.37915438039357,276.25894432591667,278.19716514296135,280.92734715406743,291.09779617253872,297.32928030475784,301.72674904020346,306.89533788565609,318.01658737559842,327.29734814613272,333.67904774290975,333.99907397637645,334.48852586285494,334.90988975142932,349.73291700846301,351.78391770279205,366.50655179638011,371.89474722729892,379.08486037596418,387.59229746225191,392.09954889869573,396.00583347694703
Barker_MC_00004,11.460275451320067,14.369191638214726,27.656597048014131,29.716122345291353,33.211103172937435,34.338652939575432,35.597572563157691,37.456122229183357,38.338870086042178,42.321070069522065,44.082866290602013,47.462074053323178,53.987836745934572,57.666479650127137,59.163507271095021,64.551416693045979,71.557747576343431,75.701588555951275,82.625382599329996,91.140018945564762,103.32413976530421,110.81386448476755,126.12444917156823,129.75197090801868,146.24530918482046,148.02406651499149,149.98069957817955,160.0591242410643,164.27468130079171,170.40699817320399,172.94930987226837,175.13087824855612,176.72308751394621,179.34353830213499,188.39459925852182,194.10275473462983,200.53635045693227,215.17492823982479,227.12283886630618,230.11082680020854,232.40914376206507,242.20620674353816,243.70903557654054,248.52869531719242,252.33522687482912,257.55838316585539,259.25446343748013,262.24274464199885,265.04986006782792,277.39949851634333,279.25793925374126,281.87574287308678,291.62756093599216,297.60254782289525,301.81901014107774,306.77485210747227,317.45727345498085,328.74737518388736,336.51075142343967,336.9000652761606,337.49548646267488,338.05136733833046,349.44777471201178,351.44880170444213,366.55640728587957,373.85522509541903,377.46937200912214,387.41421939377636,392.6830127101494,397.2493002510061
Barker_MC_00005,11.33204002330911,14.490516292631266,28.117800003544168,30.11860911220883,33.306956752202055,34.03889189973038,35.083979735467558,37.643037112190697,38.617544047542317,42.159728674810097,43.947207834071328,47.681113219176453,53.79668824925605,57.624981302106015,59.331784244538312,64.66517663286912,71.60061464355023,75.770220299202123,84.014069244140913,91.223695353142574,103.35675922960746,108.98918718506384,125.43322972825091,128.92835769893995,146.67060171280804,148.40923793488264,150.32173777916464,160.16830656881527,163.66777116195649,169.77124516507277,173.82390988731754,174.8343493855233,178.32834438764067,179.62758694358772,192.66704490281182,193.93147350539499,198.82734483224712,216.61971612973682,228.00470850271364,230.03001200307185,232.48442420916899,242.94687624024397,243.99134583910245,247.8997160664442,251.79012760102711,257.43069826901291,259.26232269256542,261.42055645655898,263.45457164077891,276.09328971987139,277.99523273177357,280.67431374853919,290.6544018109941,296.76925084926057,301.08441187626465,306.15625990800402,317.0760029934716,327.02280960948616,333.86250016289165,334.20549349447839,334.73007153102276,335.37915040839562,349.03300695320758,351.15126713581731,365.80451567807819,372.181216829937,378.76531134725798,388.2009058702123,393.19989634594958,397.53235475825534
Barker_MC_00006,11.404704207211569,14.70026482229771,28.334800350260338,30.176236439374627,32.716165585810423,33.30229594915145,35.37807915462615,37.076362777011077,38.548981009764653,41.157312677679847,43.065799544193752,47.396885427428352,53.616177041009621,57.675464081549258,59.54376636620372,64.882036934712971,71.823818434447432,75.551214515335261,82.654117857111544,91.134153802424336,102.8004712734032,111.04088434295637,125.57580287076844,129.05895519054084,146.68410972771159,148.34369998824633,150.16924927483447,159.57572483425764,163.95447334157234,168.26889545714693,173.51379930171157,175.2893938011623,176.9055157139957,177.28355931722518,189.10253255911528,194.80782253841878,199.9510137917959,217.25276912516543,227.90251459626202,230.05723065593901,232.56606495740442,243.26050270009165,244.5758052665183,249.21690871118588,252.01503608566878,258.17690074895029,260.17780145141802,262.07921249016579,263.87149955157093,276.62033168218943,278.53884525524364,281.24126760008357,291.3083065640671,297.47643084732755,301.82918744855817,306.94522364336945,317.95103718664711,326.83964624568341,332.95169182583203,333.25819558648845,333.72696604396299,334.30574711189627,349.47115929249014,351.68088482198101,366.86495287055953,372.58012128913708,377.32353338469136,386.37859615138268,391.17598039863634,395.33371341292286
Barker_MC_00007,11.478821777760785,14.77427033321139,27.604952823912576,29.686421990616001,33.076480568394359,34.370974388359322,36.085935196802517,37.488350962655375,38.954830772775658,42.505013594678672,43.70326496869118,47.302868052627879,53.67052748088981,57.520478383545807,59.188972349850246,64.601911595614325,71.64079076691209,75.539241637409518,82.284247835619297,90.657423981976038,103.86587580342004,109.35573513193744,125.60752141561424,129.04237263847935,147.63434505214497,149.18514728887101,150.89102974926959,159.67290233001401,162.66821286060309,171.27196743225156,174.59890069258714,176.56090644148671,177.35007178443124,177.48377149946131,188.90404483968427,194.94335754741712,199.17944756540106,216.5371312944994,226.89941938255794,230.27699529207823,232.60303467177314,242.518270332676,244.07237734543941,248.87196626582815,252.34425362456969,258.09105373478849,259.95717332777463,263.15083259333085,266.14417265744123,278.25623048463814,280.07891879843959,282.64636147702021,292.2105754247097,298.0706163475769,302.20596295200829,307.06646512214553,317.53804506619832,327.93739385677935,335.08826452616461,335.44686276032263,335.99530711844653,336.46097819436471,349.50921626728132,351.4813708504679,367.25917494638441,373.71504982956918,378.74288850667591,387.70193437112846,392.4484487364013,396.56209451963781
Barker_MC_00008,11.303672575210937,14.663503175044722,27.651480187509158,29.687951661559893,33.041455894426718,33.573699801199091,36.077368679178392,37.983841046426527,38.856036323491907,41.228146708672909,43.323748702556365,48.208441438154182,53.762952503031784,57.380560801808734,59.043544067324326,64.357296263872755,71.267194557483236,75.350498132421762,84.615858885968919,91.042083440524493,103.03050312828827,110.52566509257066,126.19334824524786,130.11105622016905,146.32887422294837,148.12579265204241,150.10240292404578,160.28266661934299,164.39573105071895,170.9325063784826,172.36763572886804,176.8824139749257,179.0306270317856,179.4298886524804,187.62222715228089,191.81012291418142,198.23881236957993,217.25289225665674,226.92098729836565,229.94788266813899,232.20160290820999,241.80856291461419,243.46800846534074,248.39792473260528,251.35430789681482,256.46790332402293,258.12840663617897,260.41765750366085,262.57811209638538,275.42672248194418,277.3602512292855,280.08382398091697,290.2296522465362,296.44605112239719,300.83287440937607,305.9889510689531,317.09229864187859,327.48956896157375,334.63901041872714,334.99753698147526,335.54587172450175,336.11457124258749,349.16538485891186,351.33998374937062,365.91389621132799,373.63055210416303,377.37255873587054,387.14577591066893,392.32363931453557,396.81112093122005
Barker_MC_00009,11.469291212232703,14.575280531974263,28.266893214374075,29.922312262212824,32.578907428450229,33.902120779752671,35.133882271872125,37.523838304158531,38.2509459673431,42.308391616592615,43.701352611880537,47.443914689738229,54.129721611059146,57.512651875755942,58.73893895747014,64.275114999050189,71.474248863005982,75.34795245601471,84.686017113690923,90.657834192039346,103.38149544788216,108.75155395061761,124.70446521451883,127.90077486045799,148.35336958073523,149.96936068034591,151.7469508899176,160.90716728223194,165.28860181091875,169.77919042879449,172.46266357602502,175.51564933145573,176.55481198415771,177.12938841436952,188.42144407037551,193.2922406419801,199.3329373308724,217.70159169902223,225.30767012738787,229.36768318253178,231.72981864396019,241.79892150072703,243.29406037238462,248.40094277242039,252.11390217335111,257.26422466651633,258.93665411079132,261.67019693710353,264.24289446204261,276.97142406589973,278.88688240434425,281.58500113914249,291.63600833442126,297.79430987415157,302.14013470653646,307.24802360905517,318.24198181470177,327.83253723793234,334.42725993260808,334.75796874030567,335.26375868149023,335.72665932126546,349.15015779637139,351.55891214250056,367.7503895887661,373.47702408610115,377.91085502256487,387.32477234737877,392.31227821482986,396.63478329995411
Barker_MC_00010,11.383416407262828,14.422641935828281,27.741914543267267,29.573952478146861,33.231449842725468,34.041862394847705,35.019098170632688,37.308003741769255,38.885699312183796,42.450503455269342,43.877542846032078,48.044207666738842,53.900554023318385,57.330888197333614,58.777926911967668,64.466581649566805,71.863995795037908,75.289447005563872,83.267768753059016,91.099173069166099,103.33936220700834,109.4770986974962,125.40525986288679,128.92027816608669,147.8088735157078,149.59522042085996,151.56020201652723,161.66523746614334,163.65168129258493,167.75607378407022,171.79750292839367,174.50537920719734,176.58929240430973,178.06322167558463,188.51551992590325,191.74620840749461,198.20170972518565,217.60192206276417,227.15748539306762,229.82471259495304,232.11107198664143,241.85716329188932,243.31991530869573,249.03039925457912,251.80333460987887,257.2929008658881,259.07549064643712,262.21433090406367,265.16021766390821,277.62002656556166,279.49504635173275,282.13620325483413,291.97501675646339,298.00330617651906,302.25738332578919,307.25743608891224,318.02951826157459,328.70865054669537,336.05190783808666,336.42015377895291,336.98335345321885,337.56112345021972,349.69056382337192,351.38221537896214,366.5557527995648,373.04760156895833,378.61566364363654,387.09291071333536,391.58416743900358,395.47658993458276
