control_id,speleo_age_ka,tuning_error_ka,absolute_speleo_error_ka,combined_uncertainty_ka,control_type,source_table_row,unfloored_extrapolation_ka,accepted_offset_mean_ka,accepted_offset_sd_ka,accepted_offset_q025_ka,accepted_offset_median_ka,accepted_offset_q975_ka
S1_01,11.359999999999999,0.11,0.080000000000000002,0.14000000000000001,published,1,,0.00055411879784541781,0.080677417369531101,-0.13279410709271872,0.0012687352013516495,0.13306433775982709
S1_02,12.800000000000001,0.22,0.10000000000000001,0.23999999999999999,published,2,,-0.00050861859616983915,0.138546789332403,-0.22838568899446868,-0.0023193441634236046,0.22758813242505621
S1_03,14.619999999999999,0.20999999999999999,0.10000000000000001,0.23000000000000001,published,3,,-0.0017938000955131286,0.13339761010288156,-0.21812230490045956,-0.0027603151158070395,0.21833228434267707
S1_04,17.109999999999999,0.5,0.10000000000000001,0.51000000000000001,published,4,,0.0029018823193461907,0.2943817296413706,-0.48474316236679488,0.00077535332783607361,0.48484220639029313
S1_05,23.77,0.41999999999999998,0.14999999999999999,0.45000000000000001,published,5,,0.002646242877396354,0.25758662034768259,-0.42582700254818701,0.0057911955411953549,0.42762370589540427
S1_06,28,0.35999999999999999,0.19,0.40999999999999998,published,6,,0.00054826788241143988,0.2356482945867773,-0.38935838210152718,0.0016664278690017584,0.38970541848990603
S1_07,29.899999999999999,0.35999999999999999,0.20999999999999999,0.41999999999999998,published,7,,-0.0028145780150033725,0.24061916165279615,-0.39894903055424585,-0.0047090498942361971,0.39891619071695561
S1_08,32.939999999999998,0.25,0.33000000000000002,0.40999999999999998,published,8,,-0.00020284989535476264,0.23395765132734414,-0.38969971620546739,0.0019975714676917118,0.38747401067635145
S1_09,33.899999999999999,0.35999999999999999,0.54000000000000004,0.65000000000000002,published,9,,0.0021773628847975035,0.37524109323798982,-0.61453993100303717,-0.002443154063440073,0.61847763353133356
S1_10,35.380000000000003,0.34000000000000002,0.63,0.70999999999999996,published,10,,0.00039557292139776561,0.4085744964177685,-0.67048744160899776,0.00055665267948913687,0.67530800927692225
S1_11,37.43,0.25,0.63,0.68000000000000005,published,11,,0.0038866166541136108,0.39289837720003878,-0.64746066557424542,0.0082700292981029086,0.64566565618771532
S1_12,39.579999999999998,0.34000000000000002,0.72999999999999998,0.80000000000000004,published,12,,0.0050764450010930611,0.46206543753557944,-0.75959913716639782,0.0082805743266829886,0.75474613642719379
S1_13,41.700000000000003,0.41999999999999998,0.72999999999999998,0.83999999999999997,published,13,,-0.0023979830638601964,0.48173148291770357,-0.7962681458114127,-0.0034660626552943307,0.79797790138897196
S1_14,43.719999999999999,0.35999999999999999,0.55000000000000004,0.66000000000000003,published,14,,-0.004695450295705241,0.38209795424716958,-0.62693794883869747,-0.010438639221742801,0.62973294889540088
S1_15,47.600000000000001,0.22,0.58999999999999997,0.63,published,15,,0.00091183003219653784,0.36205989100308156,-0.59928542519101868,0.0037846592627301368,0.60004937713444151
S1_16,55.600000000000001,0.22,0.45000000000000001,0.5,published,16,,-0.0048165801768815042,0.29010625725153594,-0.47546607931155555,-0.0058366759030941129,0.47322585729668731
