realization_id,fit_valid,invalid_reason,n_response_events,n_conditioning_events,response_exposure_kyr,gain_bits_per_event,LR_statistic,nominal_LR_p,delta_AIC_full_minus_reduced,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,pre_phase_amplitude,beta_history,beta_pre_phase_sin,beta_pre_phase_cos,all_models_converged,likelihood_nesting_ok
Barker_MC_00001,True,,69.0,1.0,395.7680770774686,0.0967339362966049,9.25301801876708,0.0097888723847645,-5.253018018767079,341.37275693386977,3.037086387557549,0.5554493153447667,-1.1676081479219456,-0.1774160209832105,0.5263530159650034,True,True
Barker_MC_00002,True,,69.0,1.0,397.3014519469276,0.0795307924154037,7.607463145200086,0.022287449255718,-3.607463145200086,338.4099693448326,2.725982888290829,0.5014145280159528,-0.9905957342570882,-0.1845018776264939,0.4662355478272318,True,True
Barker_MC_00003,True,,69.0,1.0,396.00583347694703,0.0983160932718972,9.404358154001612,0.0090754793707715,-5.4043581540016135,328.17465951753127,3.099690451819423,0.5656511261267669,-0.899490447583425,-0.298285730415259,0.4806108816070595,True,True
Barker_MC_00004,True,,69.0,1.0,397.2493002510061,0.088617805033007,8.47667507543349,0.0144315638418948,-4.476675075433491,336.54778704002433,2.8923482808448835,0.5310343630533421,-1.2830115668840307,-0.2113432141705765,0.4871668508504232,True,True
Barker_MC_00005,True,,69.0,1.0,397.53235475825534,0.1003039593352162,9.594506112484224,0.0082523847793565,-5.5945061124842255,333.36969016632537,3.107154064609226,0.5668536077367725,-0.9328779235392288,-0.2540819481113173,0.5067202149590567,True,True
Barker_MC_00006,True,,69.0,1.0,395.33371341292286,0.1032165744844551,9.873110307551883,0.0071792873639766,-5.873110307551883,330.6068996082375,3.177952797467934,0.5781186075496131,-0.9010592617963864,-0.2837399406505299,0.5036990872284139,True,True
Barker_MC_00007,True,,69.0,1.0,396.5620945196378,0.1154987163999672,11.04795012906834,0.0039899560445914,-7.04795012906834,340.5616339484153,3.4243996168156494,0.6154630809939711,-0.9461533973035536,-0.2048215911729271,0.5803817018617848,True,True
Barker_MC_00008,True,,69.0,1.0,396.8111209312201,0.0675709876312498,6.463456259866746,0.0394891973245533,-2.4634562598667458,342.1831916433485,2.4743958565677864,0.4529981339336754,-0.9784101366864588,-0.1386059271768026,0.4312721951376543,True,True
Barker_MC_00009,True,,69.0,1.0,396.6347832999541,0.1217379673310597,11.644761377521943,0.0029605486036127,-7.644761377521945,336.61082132484796,3.521583277123345,0.6294553415600175,-0.9677344107028144,-0.2498777505222059,0.5777327555300984,True,True
Barker_MC_00010,True,,69.0,1.0,395.4765899345827,0.1006921609867112,9.631639273954931,0.0081005798213945,-5.6316392739549315,329.59981185051373,3.1921083469296243,0.5803408111425972,-1.239111310983937,-0.2936736888603321,0.5005509180381278,True,True
Barker_MC_00011,True,,69.0,1.0,395.7974745285045,0.1199382654955776,11.472612138592352,0.0032266653665318,-7.472612138592353,342.5465151630659,3.4794486258713584,0.6234369201958716,-0.8975262191399499,-0.1869883284253621,0.5947343596060366,True,True
Barker_MC_00012,True,,69.0,1.0,396.49239892848095,0.0933838360256812,8.932566485848099,0.0114899419089752,-4.932566485848099,337.98112870836655,2.9835180798200853,0.5465515839489916,-1.0907158155128052,-0.2049087234420143,0.5066863418077457,True,True
Barker_MC_00013,True,,69.0,1.0,395.9314528807028,0.0814703394248547,7.79298917788077,0.0203129921768585,-3.79298917788077,339.3224581554646,2.7538225984416154,0.5064949911350078,-0.8903665121320337,-0.1788475102161429,0.4738678551393187,True,True
Barker_MC_00014,True,,69.0,1.0,395.8182519296895,0.1145820826460783,10.960270158976584,0.004168766545018,-6.960270158976584,333.893471929275,3.385464123539181,0.6097455043968423,-0.8899405007188679,-0.2683133172052424,0.5475377100643193,True,True
Barker_MC_00015,True,,69.0,1.0,395.5195063237252,0.0736340512245668,7.04341442993308,0.0295489456796402,-3.0434144299330796,339.16385130312636,2.5998776648193163,0.477732195963943,-0.923813108971743,-0.1699277589454028,0.4464892023334095,True,True
Barker_MC_00016,True,,69.0,1.0,397.3853122469102,0.1094471220689412,10.469089043383178,0.0053292512894621,-6.469089043383178,334.3044788145813,3.3016054886343658,0.5972044309356841,-0.8700973257734761,-0.2589410606047067,0.5381474328305617,True,True
Barker_MC_00017,True,,69.0,1.0,395.9586664193534,0.093542810463106,8.947773076113435,0.0114029117667803,-4.947773076113435,347.37947104217477,2.953112439870155,0.541429839262632,-1.0850307085734232,-0.1182985737340318,0.528348103333828,True,True
Barker_MC_00018,True,,69.0,1.0,395.9883577403488,0.105681041437477,10.10884719572158,0.0063810437497863,-6.10884719572158,341.3724560255897,3.2008225434644957,0.5817039108039864,-0.9797553948154544,-0.1858048941812451,0.5512313317863459,True,True
Barker_MC_00019,True,,69.0,1.0,395.3133840022506,0.0949483791892474,9.082221784059357,0.0106615561347396,-5.082221784059357,332.47829169076726,3.020456842081428,0.5527040460793421,-1.0589309244006286,-0.2553960568214767,0.4901577467637501,True,True
Barker_MC_00020,True,,69.0,1.0,395.72466333555553,0.1250704071257222,11.96352360975368,0.0025243749161144,-7.963523609753679,340.9466617147776,3.582796871668255,0.638071872232876,-1.2576486628106591,-0.2082974292386657,0.6031151590760513,True,True
Barker_MC_00021,True,,69.0,1.0,395.74713245421657,0.0909569855746003,8.700427778250685,0.012904052248839,-4.700427778250685,332.6664778701695,2.956091987929734,0.5419340608289173,-1.067396887796174,-0.2488395270399099,0.4814264388970287,True,True
Barker_MC_00022,True,,69.0,1.0,397.08074734184,0.0533959965847023,5.107557259050736,0.0777871810377889,-1.1075572590507363,340.0602254772896,2.2371564684833283,0.4026028128703208,-0.9216664378671968,-0.137300528135905,0.3784674225144037,True,True
Barker_MC_00023,True,,69.0,1.0,396.4720988188373,0.0988558417700206,9.455987424658248,0.0088441972557494,-5.455987424658247,335.2467829600329,3.1129803257202484,0.5677902857005157,-1.2729634696905796,-0.2377398834486143,0.5156215243312797,True,True
Barker_MC_00024,True,,69.0,1.0,395.3509739947397,0.0918120981131666,8.782222978883965,0.0123869535979896,-4.782222978883965,343.90242404979585,2.9566259168774356,0.5420243626085302,-0.9916839735899609,-0.1502892656902879,0.5207720674915826,True,True
Barker_MC_00025,True,,69.0,1.0,395.76156522642486,0.0962176659666233,9.203634536105652,0.0100335854525215,-5.203634536105653,334.5678802774155,3.021784293896289,0.5529237413557047,-0.969346685326925,-0.2374483849201004,0.4993424959420398,True,True
Barker_MC_00026,True,,69.0,1.0,396.15473197973773,0.0887163956274327,8.486105690806198,0.0143636747627213,-4.486105690806198,336.2128021136861,2.863132285188741,0.5259581150720843,-1.1296125617549808,-0.2121403924482444,0.4812778747273603,True,True
Barker_MC_00027,True,,69.0,1.0,395.8841037484457,0.1004254315320792,9.606125451770763,0.0082045801490335,-5.606125451770765,345.08242244660613,3.066982520645285,0.5603470929728841,-0.870167630781864,-0.1442497329352435,0.5414617984228185,True,True
