realization_id,n_predictive_events,n_predictive_bins,response_exposure_kyr,loglik_reduced,loglik_full,LR_statistic,nominal_LR_p,info_bits_per_event,delta_AICc_full_minus_reduced,beta_pre_phase_sin,beta_pre_phase_cos,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,all_models_converged,likelihood_nesting_ok,eta_clipping_used,fit_valid,invalid_reason
Barker_MC_09693,70,1993,398.5,-302.193820453,-299.010677901,6.36628510318,0.0414551751818,0.0656043424803,-2.34410975502,-0.139641018818,0.422672169967,341.717650704,2.43582120176,True,True,False,True,
Barker_MC_09694,70,1993,398.5,-299.899019362,-294.956310967,9.88541679013,0.00713524711067,0.101868869859,-5.86324144196,-0.15552193119,0.543692922953,344.036961607,3.09874721458,True,True,False,True,
Barker_MC_09695,70,1993,398.5,-300.16336145,-296.35538079,7.61596131954,0.0221929488534,0.0784822116236,-3.59378597138,-0.199555557564,0.450759141866,336.120551144,2.68025846095,True,True,False,True,
Barker_MC_09696,70,1993,398.5,-298.829847208,-294.966976448,7.72574152028,0.0210076050802,0.0796134927036,-3.70356617212,-0.117322607928,0.481695853479,346.311473126,2.69542346771,True,True,False,True,
Barker_MC_09697,70,1993,398.5,-299.422459183,-295.120135372,8.60464762193,0.0135370648534,0.0886705889483,-4.58247227377,-0.23722159682,0.470560841927,333.246173984,2.86895539898,True,True,False,True,
Barker_MC_09698,70,1993,398.5,-300.146416469,-296.875193996,6.54244494512,0.0379599936485,0.0674196634115,-2.52026959696,-0.202868337457,0.409383566714,333.639474436,2.49374193192,True,True,False,True,
Barker_MC_09699,70,1993,398.5,-297.92892184,-293.947080575,7.96368252898,0.0186512657886,0.0820654663699,-3.94150718082,-0.134135360341,0.483978234927,344.509199715,2.73039032843,True,True,False,True,
Barker_MC_09700,70,1993,398.5,-302.642836899,-298.788769876,7.7081340467,0.0211933670058,0.079432048312,-3.68595869853,-0.108439668394,0.478816554056,347.239238278,2.66948302086,True,True,False,True,
Barker_MC_09701,70,1993,398.5,-300.725169323,-296.870414327,7.70950999278,0.021178791555,0.0794462273876,-3.68733464461,-0.174179339432,0.466525244647,339.526651772,2.70732302465,True,True,False,True,
Barker_MC_09702,70,1993,398.5,-302.466735624,-299.58743665,5.75859794778,0.0561741285652,0.0593421478695,-1.73642259962,-0.11956878096,0.403725862494,343.502644369,2.32128146049,True,True,False,True,
