phase_deg,mc_q025,mc_median,mc_q975
0.0,1.5385527518360311,1.6746934257269324,1.8251030443982408
0.5,1.5355299075253275,1.6716350432372833,1.8213377393367296
1.0,1.53255954487017,1.6685357337527384,1.8177502396507674
1.5,1.5299536651263415,1.6652290319718286,1.8140394262134105
2.0,1.5271238397774176,1.6617037596525872,1.8100471307316008
2.5,1.5238901459695091,1.6582327731755973,1.8056705689882475
3.0,1.520662134292383,1.6547239777081768,1.8014765236309678
3.5,1.517535899463861,1.6511698220301478,1.7968805755847412
4.0,1.5147136906785708,1.6476417414875704,1.7921915902557912
4.5,1.5118082809183666,1.6441641894447259,1.787921357333688
5.0,1.5083628202392156,1.6404496810601294,1.7834913994255086
5.5,1.5055216573067263,1.6365195091499602,1.7790290596703775
6.0,1.502289794645568,1.6327161178403093,1.7749343511376092
6.5,1.4990722036622857,1.6288877432578333,1.7705420902872702
7.0,1.4957456741074178,1.6250497207135237,1.7661539628409224
7.5,1.4920156914796077,1.620960175193071,1.7616120892103238
8.0,1.4886559850376142,1.6168965016269186,1.7571018831526957
8.5,1.4850361507018317,1.6128509458099989,1.7524995322865886
9.0,1.481535328814754,1.6087563509132732,1.747517210980451
9.5,1.4778244077907334,1.6046701740604212,1.7426167114642586
10.0,1.473620327907217,1.6004588417099255,1.7377118880653388
10.5,1.4696138074336589,1.5961351478639583,1.7331479308817594
11.0,1.4658464866275824,1.591763693058448,1.7284098003249722
11.5,1.4619308562130604,1.5874545704273015,1.7235255308695014
12.0,1.4577781925019186,1.5830277430234085,1.7183991108731265
12.5,1.4542344787180908,1.5785987204706062,1.7132456016714988
13.0,1.4497427166029482,1.573929621589966,1.7080297759250698
13.5,1.445560060964214,1.569576483114433,1.7026900483214837
14.0,1.4416261310232865,1.5650269550382014,1.6976062494602668
14.5,1.437479800478205,1.5602665703073373,1.6923517862792454
15.0,1.4331536800039013,1.5556865769884913,1.687076406047995
15.5,1.4289361479680909,1.5509194813128973,1.6816903298413879
16.0,1.4245300583154124,1.5462662843409531,1.6759079420201675
16.5,1.4203412972558622,1.5415582095349971,1.6704886996326458
17.0,1.4158938403709924,1.5366815741071798,1.6654488200761202
17.5,1.411284379064219,1.5317745937558223,1.6603761963040633
18.0,1.4065491054007886,1.5270008557217258,1.6551248646006462
18.5,1.4023689768267802,1.5220831268739259,1.6498269963240606
19.0,1.398001791670113,1.5172352639836253,1.644209081272516
19.5,1.3937540513839264,1.5121200386494709,1.6388136326446938
20.0,1.388826351329291,1.5071339266601829,1.6329204702960274
20.5,1.3845274326517811,1.5020036194742143,1.6271801554301923
21.0,1.3801934890196619,1.4970181108357337,1.6214340443681365
21.5,1.375569383079245,1.4919718284611616,1.616086520499565
22.0,1.370745054027336,1.4869453373889532,1.610357303801184
22.5,1.3660524821645474,1.4818101931183298,1.6044460827465756
23.0,1.3608591026829617,1.476660196797902,1.5984190026605578
23.5,1.355893165841632,1.4714009847389593,1.5929300529561263
24.0,1.351061987819598,1.4661392435934497,1.5871827561842982
24.5,1.3462916625468573,1.4609939106252612,1.5813553853465698
25.0,1.3413154280362625,1.4557084168418999,1.5756873507672169
25.5,1.3363620150979052,1.4503512501862352,1.5702524372812015
26.0,1.3316929541222633,1.4449048193196181,1.5641616084400431
26.5,1.3270758925148025,1.4394985036353383,1.558289492252784
27.0,1.3221642757507732,1.434051741451563,1.5525813956596153
27.5,1.317501057349273,1.4286023422673437,1.5470837679194178
