event_label,event_type,point_age_ka_bp,definition_uncertainty_code,definition_sigma_yr,chronology_regime,chronology_envelope_yr,chronology_mc_sd_yr,chronology_nominal_target_sigma_yr,combined_mc_sd_yr,combined_mc_age_2p5_ka_bp,combined_mc_age_median_ka_bp,combined_mc_age_97p5_ka_bp
GS-1,cooling,12.846,±4,4,GICC05,138.0,66.3273824841596,69.0,65.75121119145385,12.721870234148824,12.846829353877318,12.975810292856208
GI-1,warming,14.642,±4,4,GICC05,186.0,93.53819855438742,93.0,92.84590013289653,14.465139870612411,14.64353092717308,14.826137961898242
GS-2.1,cooling,22.85,a,20,GICC05,573.0,269.71257367798034,286.5,270.5548262696208,22.32191589316382,22.852483719152104,23.385355185873774
GI-2.1,warming,22.97,a,20,GICC05,583.0,273.36172492871054,291.5,274.6947208159606,22.437017550852957,22.9712468557849,23.517343247129908
GS-2.2,cooling,23.17,a,20,GICC05,590.0,279.6571175135723,295.0,280.77082046087656,22.624794628080497,23.171055494320772,23.725584923443503
GI-2.2,warming,23.29,a,20,GICC05,596.0,283.55618135388966,298.0,284.4886469554021,22.732130993786114,23.29017760881764,23.855270533892604
GS-3,cooling,27.49,b,50,GICC05,822.0,386.1829389758175,411.0,384.1265604436481,26.748204453298438,27.489872700190446,28.24653886287663
GI-3,warming,27.73,a,20,GICC05,832.0,393.82307124392804,416.0,388.32057764606554,26.97555614785667,27.728141561566026,28.49146221675321
GS-4,cooling,28.55,a,20,GICC05,887.0,423.69167279992655,443.5,416.3245799256679,27.739977691179842,28.550513398378452,29.3666265756882
GI-4,warming,28.85,a,20,GICC05,898.0,435.90859833226494,449.0,428.1717647311817,28.015986529083765,28.851144141046515,29.685899644586687
GS-5.1,cooling,30.55,b,50,GICC05,1008.0,488.24309191221533,504.0,480.79532874562784,29.61175299178241,30.548792655748485,31.48759952140193
GI-5.1,warming,30.79,b,50,GICC05,1024.0,490.8620385892557,512.0,483.98927249017976,29.839584395673132,30.78937299315581,31.72565196145414
GS-5.2,cooling,31.99,b,50,GICC05,1107.0,516.321394296227,553.5,510.3808530523148,30.992749050723553,31.98717144686439,32.98478558929871
GI-5.2,warming,32.45,a,20,GICC05,1132.0,531.1148063272196,566.0,523.3344703556394,31.433483310814935,32.44910351293393,33.46610077233412
GS-6,cooling,33.31,b,50,GICC05,1191.0,565.2211114670082,595.5,559.997575774673,32.210877706147144,33.31014660436608,34.40897978349633
GI-6,warming,33.690000000000005,a,20,GICC05,1212.0,582.6603355197607,606.0,576.1289376609784,32.56561674935871,33.689901845515415,34.82360298519376
GS-7,cooling,34.690000000000005,b,50,GICC05,1286.0,634.3591482653972,643.0,630.1388447142205,33.45807390150963,34.69104509560799,35.92341390839258
GI-7,warming,35.43,a,20,GICC05,1321.0,650.4055014281475,660.5,645.2208916009954,34.163017146981915,35.4272380230057,36.69792988955069
GS-8,cooling,36.53,b,50,GICC05,1397.0,664.0702250575612,698.5,661.9414329966096,35.23217175539507,36.528141763484015,37.825461537373904
GI-8,warming,38.17,a,20,GICC05,1449.0,709.4986988346067,724.5,706.2871880628095,36.77920550477489,38.171725338927786,39.53891318120583
GS-9,cooling,39.85,b,50,GICC05,1569.0,781.9984317119823,784.5,780.0544011757502,38.34474606519649,39.845796550430194,41.37909004718604
GI-9,warming,40.11,a,20,GICC05,1580.0,787.1340084941064,790.0,784.0223686007145,38.601262936991255,40.1061887057876,41.66127977410482
GS-10,cooling,40.75,b,50,GICC05,1615.0,790.3433957464312,807.5,787.2678526372881,39.231334314371175,40.74943817005257,42.31499895437189
GI-10,warming,41.41,a,20,GICC05,1633.0,798.0812371607292,816.5,793.1379071597975,39.88764204463221,41.414682695864784,42.99375005749719
GS-11,cooling,42.190000000000005,b,50,GICC05,1682.0,812.8435743044292,841.0,808.8213477252706,40.6222177837896,42.19256143101779,43.79505885982341
GI-11,warming,43.290000000000006,a,20,GICC05,1736.0,843.3816420980481,868.0,836.4969691156633,41.66332299505549,43.295221670447816,44.946963857030184
GS-12,cooling,44.23,b,50,GICC05,1780.0,877.6759068084301,890.0,870.1578523368358,42.542146575699846,44.23232418240947,45.94849140964201
GI-12,warming,46.81,a,20,GICC05,1912.0,927.0352404067496,956.0,917.9900254338644,45.02130572003448,46.81552110357795,48.62218842670684
GS-13,cooling,48.290000000000006,d,100,GICC05,1988.0,966.9941300318219,994.0,963.2047936797244,46.410260849595346,48.29083208402531,50.182538413309835
GI-13,warming,49.23,a,20,GICC05,2031.0,1002.7549105459419,1015.5,993.2138675827001,47.270538059164736,49.23834927496188,51.160446496915675
GS-14,cooling,49.55,d,100,GICC05,2051.0,1016.593339344696,1025.5,1010.605770220167,47.56147805323734,49.557217398612394,51.50379821496851
GI-14,warming,54.17,a,20,GICC05,2301.0,1136.1271679191552,1150.5,1132.8391927021808,51.94001448837617,54.175467431216035,56.388599572956075
GS-15.1,cooling,54.85,a,20,GICC05,2338.0,1169.2923202091083,1169.0,1166.4600883843525,52.58363281988162,54.8525631152655,57.12651288751899
GI-15.1,warming,54.95,a,20,GICC05,2349.0,1174.5,1174.5,1171.7108273173576,52.66667991993202,54.95188031575945,57.233277328498765
GS-15.2,cooling,55.35,a,20,GICC05,2368.0,1175.3174630595975,1184.0,1172.7532821320165,53.06461376553433,55.35335281436436,57.63319460086878
GI-15.2,warming,55.75,a,20,GICC05,2392.0,1177.7664479392304,1196.0,1175.6124012157904,53.452573143521434,55.75534326486034,58.04428556380309
GS-16.1,cooling,56.45,b,50,GICC05,2430.0,1185.9438229446937,1215.0,1185.0351740964043,54.13186429439337,56.45489728196676,58.77964567859295
GI-16.1,warming,57.99,a,20,GICC05,2497.0,1220.819723411978,1248.5,1220.6690093686307,55.61316661953893,58.002497823689666,60.39611196244265
GS-16.2,cooling,58.11,a,20,GICC05,2505.0,1224.4725112453286,1252.5,1224.29514164223,55.72134463798723,58.121830349745125,60.50799744436029
GI-16.2,warming,58.23,a,20,GICC05,2511.0,1228.2551951993926,1255.5,1228.8119635156002,55.839065265553536,58.23966668902601,60.64310786109442
