event_label,event_type,point_age_ka_bp,definition_uncertainty_code,definition_sigma_yr,chronology_regime,chronology_envelope_yr,chronology_mc_sd_yr,chronology_nominal_target_sigma_yr,combined_mc_sd_yr,combined_mc_age_2p5_ka_bp,combined_mc_age_median_ka_bp,combined_mc_age_97p5_ka_bp
GS-17.1,cooling,58.510000000000005,b,50,GICC05,2528.0,1237.5798420866784,1264.0,1238.6144217304875,56.09972002557756,58.52129415446269,60.93756535134056
GI-17.1,warming,59.03,a,20,GICC05,2557.0,1256.7018495789296,1278.5,1257.9816447544745,56.57129797342416,59.03959563555557,61.48525190931492
GS-17.2,cooling,59.25,a,20,GICC05,2569.0,1265.4773731381936,1284.5,1266.7392726489738,56.78323586562447,59.2609843149807,61.713444931527825
GI-17.2,warming,59.39,a,20,GICC05,2573.0,1271.2682566416097,1286.5,1272.8092320652254,56.90815209709662,59.40421283111429,61.87118745699583
GS-18,cooling,63.790000000000006,a,20,GICC05modelext,2872.8,1397.9181797327697,1436.4,1400.6901643659005,61.109365273257254,63.80351199387866,66.59489111547586
GI-18,warming,64.05,a,20,GICC05modelext,2884.4999999999995,1411.0857951861021,1442.2499999999998,1413.9434006889464,61.33331109587524,64.06650516325095,66.88175907849383
GS-19.1,cooling,69.35000000000001,b,50,GICC05modelext,3123.0,1550.333270622804,1561.5,1554.9555053354286,66.34940778513648,69.37874236824479,72.42720517027075
GI-19.1,warming,69.57000000000001,a,20,GICC05modelext,3132.9,1559.0566113839486,1566.45,1561.9009248481113,66.55003262296486,69.60158680697828,72.66366594868
GS-19.2,cooling,70.33,c,200,GICC05modelext,3167.0999999999995,1575.6728634142303,1583.5499999999997,1590.3529908953735,67.2738117920347,70.3560823439299,73.4642344900805
GI-19.2,warming,72.29,a,20,GICC05modelext,3255.3,1600.3167350559077,1627.65,1602.8485644968653,69.195804020914,72.31893070060914,75.45627992005042
GS-20,cooling,74.05,b,50,GICC05modelext,3334.5,1651.489271082316,1667.25,1654.7604968237931,70.85236332144193,74.07168368256879,77.2701240408041
GI-20,warming,76.39,a,20,GICC05modelext,3439.8,1697.1148487948597,1719.9,1697.9811600070807,73.1245738505859,76.40370441453524,79.69728311868991
GS-21.1,cooling,77.71000000000001,d,100,GICC05modelext,3499.2000000000003,1722.5576797309286,1749.6000000000001,1723.3612509399245,74.41951425115663,77.71864391898178,81.04351582490013
GI-21.1,warming,84.71000000000001,a,20,GICC05modelext,3814.2,1902.2417117706152,1907.1,1893.0269220463222,81.07521820591741,84.7378741555575,88.43658308143672
GS-21.2,cooling,84.91,a,20,GICC05modelext,3823.1999999999994,1910.7591370970856,1911.5999999999997,1901.2919679033794,81.2587507584515,84.94167442718836,88.65398753408468
GI-21.2,warming,85.01,a,20,GICC05modelext,3827.7,1912.5166763978816,1913.85,1902.9887364731017,81.35743314023142,85.03975771229779,88.7420431245509
GS-22,cooling,87.55,b,50,GICC05modelext,3941.999999999999,1943.5624507589146,1970.9999999999995,1944.458056123724,83.8053798651344,87.572824636048,91.35468836907076
GI-22,warming,89.99000000000001,a,20,GICC05modelext,4051.8,2025.007399986479,2025.9,2033.565857421467,86.10647814087464,90.02881582699683,93.92938988044416
GS-23.1,cooling,90.09,b,50,GICC05modelext,4056.3,2025.0906479710973,2028.15,2033.561830785537,86.19936459908001,90.13091074557286,94.04861592615497
GI-23.1,warming,103.99,a,20,GICC05modelext,4681.8,2324.0643730327265,2340.9,2349.411655583655,99.47189512236346,104.00778562575205,108.49750374511365
GS-23.2,cooling,104.33,a,20,GICC05modelext,4697.099999999999,2336.8132579433895,2348.5499999999997,2362.1878200734714,99.77724356190967,104.34950519490098,108.85560714482138
GI-23.2,warming,104.47,a,20,GICC05modelext,4703.4,2342.34038730497,2351.7,2368.09817119359,99.90981541296541,104.4894604663306,109.02353541827185
GS-24.1,cooling,105.39,f,30,GICC05modelext,4744.799999999999,2363.3917745477574,2372.3999999999996,2388.4400792123547,100.7942200823837,105.41809110321957,109.98734134425904
GI-24.1,warming,106.7,f,30,GICC05modelext,4803.75,2376.5674925983058,2401.875,2400.2311108983636,102.08030248442859,106.73219752759559,111.31878653852765
GS-24.2,cooling,106.85,f,30,GICC05modelext,4810.5,2379.0736511297832,2405.25,2401.8409415657397,102.23395949644653,106.88270787978036,111.4794854040253
GI-24.2,warming,108.23,f,30,GICC05modelext,4872.6,2411.5561718525237,2436.3,2432.82350206741,103.5436056005884,108.275943913378,112.94355967912229
GS-25,cooling,110.59,f,30,GICC05modelext,4978.799999999999,2476.884373562884,2489.3999999999996,2497.2406561621788,105.80565008534322,110.62728492270338,115.43917846630242
GI-25,warming,115.32,f,30,GICC05modelext,5191.650000000001,2588.129365849976,2595.8250000000003,2615.7717604149348,110.27902463821925,115.33916798580668,120.39319388515402
GS-26,cooling,119.09,f,30,GICC05modelext,5361.3,2665.1400727729115,2680.65,2694.3885727122365,113.83815791996794,119.07695238749311,124.38951585186254
