bootstrap_id,n_events_observation_support,n_events_response,fit_valid,status,solver_attempts,failure_reason,n_events_response_NGRIP,n_events_response_MIS6,loglik_reduced,loglik_full,ll_gain_nats,LR_statistic,gain_bits_per_event,reduced_converged,full_converged,likelihood_nesting_ok,quadrature_order
41,54,52,True,finite_mle,1,,31,21,-103.453418925,-101.935891851,1.51752707406,3.03505414812,0.0421024766184,True,True,True,4
42,64,62,True,finite_mle,1,,37,25,-116.804888066,-116.350941884,0.453946181749,0.907892363498,0.0105629984716,True,True,True,4
43,62,60,True,finite_mle,1,,41,19,-112.054712363,-110.199194685,1.8555176788,3.7110353576,0.0446157692247,True,True,True,4
44,67,65,True,finite_mle,1,,42,23,-122.899092431,-122.563100729,0.335991701709,0.671983403417,0.00745743941284,True,True,True,4
45,59,57,True,finite_mle,1,,38,19,-116.616174841,-115.868561184,0.747613657343,1.49522731469,0.0189224301044,True,True,True,4
46,57,55,True,finite_mle,1,,38,17,-110.152520186,-108.774205433,1.37831475215,2.7566295043,0.0361543246857,True,True,True,4
47,61,59,True,finite_mle,1,,37,22,-115.858499867,-115.574655808,0.283844059898,0.567688119795,0.00694068504407,True,True,True,4
48,49,47,True,finite_mle,1,,30,17,-102.816240421,-100.944197149,1.87204327204,3.74408654408,0.0574635647852,True,True,True,4
49,48,46,True,finite_mle,1,,27,19,-102.923768689,-100.641225497,2.28254319135,4.5650863827,0.0715872552778,True,True,True,4
50,57,55,True,finite_mle,1,,35,20,-109.84619591,-109.292868005,0.553327905226,1.10665581045,0.0145142440883,True,True,True,4
51,57,55,True,finite_mle,1,,33,22,-110.605515872,-109.798690218,0.806825653724,1.61365130745,0.0211636976271,True,True,True,4
52,63,61,True,finite_mle,1,,35,26,-117.664579298,-117.462820018,0.201759279646,0.403518559291,0.00477175593767,True,True,True,4
53,64,62,True,finite_mle,1,,40,22,-121.30869697,-115.120927553,6.18776941676,12.3755388335,0.143984907286,True,True,True,4
54,44,42,True,finite_mle,1,,24,18,-98.3767724088,-98.279728707,0.0970437017079,0.194087403416,0.00333343969532,True,True,True,4
55,60,58,True,finite_mle,1,,36,22,-111.117071405,-110.103536011,1.01353539401,2.02707078803,0.0252107325295,True,True,True,4
56,52,50,True,finite_mle,1,,33,17,-106.761138824,-106.030208005,0.730930819103,1.46186163821,0.021090205359,True,True,True,4
57,64,62,True,finite_mle,1,,38,24,-121.447051904,-120.757203849,0.689848054652,1.3796961093,0.0160522639905,True,True,True,4
58,54,52,True,finite_mle,1,,30,22,-109.865692761,-108.925153786,0.940538975344,1.88107795069,0.0260944406825,True,True,True,4
59,57,55,True,finite_mle,1,,33,22,-114.975049308,-114.689473203,0.285576104912,0.571152209825,0.00749089509733,True,True,True,4
60,50,48,True,finite_mle,1,,32,16,-104.970867984,-104.287597046,0.683270937844,1.36654187569,0.0205364915336,True,True,True,4
61,57,55,True,finite_mle,1,,33,22,-112.676484398,-112.182636495,0.493847902205,0.987695804411,0.0129540348994,True,True,True,4
62,56,54,True,finite_mle,1,,40,14,-104.274172438,-101.610229152,2.66394328626,5.32788657253,0.0711714401538,True,True,True,4
63,56,54,True,finite_mle,1,,30,24,-107.600565583,-104.75410351,2.8464620728,5.69292414559,0.0760477169722,True,True,True,4
64,55,53,True,finite_mle,1,,32,21,-110.917812813,-104.05774753,6.86006528283,13.7201305657,0.186735512523,True,True,True,4
65,48,46,True,finite_mle,1,,24,22,-101.547421552,-99.6954065188,1.85201503318,3.70403006636,0.0580846283483,True,True,True,4
66,58,56,True,finite_mle,1,,31,25,-113.408754347,-113.166069465,0.242684882048,0.485369764096,0.00625214778267,True,True,True,4
67,60,58,True,finite_mle,1,,34,24,-113.014881449,-112.838280199,0.176601250473,0.353202500945,0.0043927887633,True,True,True,4
68,57,55,True,finite_mle,1,,31,24,-109.810095227,-109.613918545,0.196176682415,0.39235336483,0.00514587503378,True,True,True,4
69,54,52,True,finite_mle,1,,29,23,-106.951515482,-106.427976076,0.523539405752,1.0470788115,0.0145251481613,True,True,True,4
70,60,58,True,finite_mle,1,,39,19,-109.502555204,-107.632003272,1.87055193226,3.74110386452,0.0465282068345,True,True,True,4
71,50,48,True,finite_mle,1,,31,17,-106.290200392,-105.972103721,0.318096670424,0.636193340848,0.00956076018634,True,True,True,4
72,52,50,True,finite_mle,1,,22,28,-103.394239456,-100.522151155,2.87208830103,5.74417660206,0.0828709509778,True,True,True,4
73,60,58,True,finite_mle,1,,32,26,-114.536210119,-114.496421589,0.039788529917,0.0795770598339,0.000989701979232,True,True,True,4
74,39,37,True,finite_mle,1,,23,14,-90.5599146621,-90.1092769356,0.450637726586,0.901275453172,0.0175711571185,True,True,True,4
75,55,53,True,finite_mle,1,,39,14,-107.80535877,-106.80936957,0.995989200401,1.9919784008,0.027111484532,True,True,True,4
76,61,59,True,finite_mle,1,,39,20,-116.793527523,-114.972508316,1.82101920628,3.64203841256,0.0445283962417,True,True,True,4
77,39,37,True,finite_mle,1,,21,16,-88.1469534011,-87.8747286863,0.272224714868,0.544449429736,0.0106145201662,True,True,True,4
78,47,45,True,finite_mle,1,,27,18,-98.0931496243,-96.4462105528,1.64693907156,3.29387814312,0.0528006851374,True,True,True,4
79,62,60,True,finite_mle,1,,40,20,-117.712469616,-109.718132072,7.99433754364,15.9886750873,0.19222318549,True,True,True,4
80,62,60,True,finite_mle,1,,41,19,-119.199010165,-118.872314079,0.326696086392,0.653392172783,0.00785538039525,True,True,True,4
81,61,59,True,finite_mle,1,,40,19,-111.207586743,-110.579042078,0.628544664607,1.25708932921,0.0153694622137,True,True,True,4
82,49,47,True,finite_mle,1,,34,13,-100.969555593,-99.5414127893,1.42814280324,2.85628560647,0.0438377561683,True,True,True,4
83,54,52,True,finite_mle,1,,34,18,-105.013111994,-104.208264085,0.804847908779,1.60969581756,0.022329809359,True,True,True,4
84,60,58,True,finite_mle,1,,38,20,-113.285238197,-111.321322363,1.96391583425,3.92783166849,0.0488505454274,True,True,True,4
85,59,57,True,finite_mle,1,,38,19,-115.068012574,-114.897181672,0.170830902789,0.341661805578,0.00432380519797,True,True,True,4
86,51,49,True,finite_mle,1,,37,12,-102.959336653,-102.280973692,0.678362960363,1.35672592073,0.0199728750783,True,True,True,4
87,59,57,True,finite_mle,1,,35,22,-109.436205124,-108.994599265,0.441605859118,0.883211718235,0.0111772382978,True,True,True,4
88,57,55,True,finite_mle,1,,31,24,-111.850496813,-111.10292528,0.747571532946,1.49514306589,0.0196094135144,True,True,True,4
89,58,56,True,finite_mle,1,,31,25,-110.550430476,-109.639788058,0.910642417898,1.8212848358,0.0234603446486,True,True,True,4
90,59,57,True,finite_mle,1,,34,23,-112.725002427,-112.19645045,0.528551977612,1.05710395522,0.0133778827536,True,True,True,4
91,46,44,True,finite_mle,1,,31,13,-97.0502168375,-95.2049017191,1.84531511834,3.69063023669,0.0605051584117,True,True,True,4
92,60,58,True,finite_mle,1,,35,23,-113.676575285,-113.504545482,0.172029803955,0.344059607909,0.00427907836294,True,True,True,4
93,58,56,True,finite_mle,1,,36,20,-106.166722423,-105.587781399,0.578941023858,1.15788204772,0.0149149168587,True,True,True,4
94,64,62,True,finite_mle,1,,34,28,-115.976092695,-112.772556373,3.20353632151,6.40707264302,0.0745439671669,True,True,True,4
95,56,54,True,finite_mle,1,,26,28,-109.273839803,-109.057386067,0.216453736248,0.432907472496,0.00578290244199,True,True,True,4
96,56,54,True,finite_mle,1,,34,20,-109.99389808,-109.849771783,0.144126297774,0.288252595549,0.00385056101964,True,True,True,4
97,57,55,True,finite_mle,1,,39,16,-106.262011596,-105.022364546,1.23964705091,2.47929410182,0.0325169573236,True,True,True,4
98,51,49,True,finite_mle,1,,32,17,-104.341574472,-103.42166871,0.919905762217,1.83981152443,0.0270845608415,True,True,True,4
99,67,65,True,finite_mle,1,,40,25,-123.549132128,-123.152353698,0.396778430049,0.793556860098,0.0088066195902,True,True,True,4
100,59,57,True,finite_mle,1,,36,21,-112.434564283,-112.214593589,0.219970693116,0.439941386232,0.00556755487894,True,True,True,4
101,45,43,True,finite_mle,1,,29,14,-95.1994695217,-94.4479233646,0.751546157064,1.50309231413,0.0252151607859,True,True,True,4
102,55,53,True,finite_mle,1,,32,21,-109.423647003,-105.704889229,3.71875777386,7.43751554772,0.101227045257,True,True,True,4
103,56,54,True,finite_mle,1,,33,21,-110.512187385,-109.877713463,0.634473921854,1.26894784371,0.0169509700117,True,True,True,4
104,45,43,True,finite_mle,1,,30,13,-95.0845188923,-93.0945681928,1.9899506995,3.97990139899,0.0667649303669,True,True,True,4
105,45,43,True,finite_mle,1,,24,19,-98.9566322695,-96.7904826904,2.16614957911,4.33229915822,0.0726765873396,True,True,True,4
106,55,53,True,finite_mle,1,,32,21,-111.664483211,-109.525644891,2.13883831987,4.27767663974,0.0582205931573,True,True,True,4
107,51,49,True,finite_mle,1,,30,19,-107.518131506,-107.279000633,0.239130872963,0.478261745927,0.00704067192955,True,True,True,4
108,62,60,True,finite_mle,1,,32,28,-114.339300684,-113.515889596,0.823411087313,1.64682217463,0.019798851538,True,True,True,4
109,39,37,True,finite_mle,1,,22,15,-87.6708432513,-85.5890360978,2.08180715348,4.16361430696,0.0811733204435,True,True,True,4
110,58,56,True,finite_mle,1,,34,22,-114.674710033,-113.23408662,1.44062341268,2.88124682536,0.037113933094,True,True,True,4
111,55,53,True,finite_mle,1,,33,20,-107.424941401,-105.45292872,1.97201268069,3.94402536137,0.0536794889622,True,True,True,4
112,49,47,True,finite_mle,1,,31,16,-103.879835453,-103.726785183,0.153050269877,0.306100539754,0.00469797585868,True,True,True,4
113,53,51,True,finite_mle,1,,32,19,-109.317068735,-108.778513912,0.538554823404,1.07710964681,0.0152347131955,True,True,True,4
