bootstrap_id,attempt_count,n_events_observation_support,n_events_response,loglik_reduced,loglik_full,ll_gain_nats,LR_statistic,info_bits_per_event,reduced_converged,full_converged,likelihood_nesting_ok,eta_clipping_used
1,1,58,58,-258.4203278391096,-258.2163568129039,0.20397102620569285,0.4079420524113857,0.0050735859998618255,True,True,True,False
2,1,61,61,-270.1844101900514,-268.1458493779571,2.0385608120942607,4.077121624188521,0.04821346842883554,True,True,True,False
3,1,75,75,-312.56500538910973,-312.46241043309533,0.10259495601439994,0.20518991202879988,0.001973509790162615,True,True,True,False
4,1,66,65,-282.77967436343386,-282.66125230312423,0.11842206030962643,0.23684412061925286,0.002628414140623874,True,True,True,False
5,1,72,72,-308.5511889546276,-308.4325773320294,0.11861162259822322,0.23722324519644644,0.0023766722182534715,True,True,True,False
6,1,70,69,-294.5422946430838,-292.7189544336912,1.8233402093925974,3.646680418785195,0.038123534462958616,True,True,True,False
7,1,62,62,-272.778266113991,-271.5862482266573,1.1920178873336909,2.3840357746673817,0.027737391850117015,True,True,True,False
8,1,74,74,-308.825039846952,-305.4995083059472,3.325531541004807,6.651063082009614,0.06483416030442524,True,True,True,False
9,1,60,60,-265.93345202908006,-264.06400168402683,1.8694503450532238,3.7389006901064477,0.04495077903327413,True,True,True,False
10,1,63,63,-279.51291698917623,-279.0333389773497,0.4795780118265611,0.9591560236531222,0.010982298720342357,True,True,True,False
11,1,57,56,-243.19831256516807,-241.2111263753918,1.9871861897762528,3.9743723795525057,0.05119470823773633,True,True,True,False
12,1,65,65,-280.74976122894833,-279.82864169867116,0.9211195302771671,1.8422390605543342,0.02044453197533601,True,True,True,False
13,1,76,76,-306.8798107479013,-306.4642401624068,0.41557058549449266,0.8311411709889853,0.00788870556358194,True,True,True,False
14,1,70,70,-298.9898408192169,-294.94068922331337,4.049151595903538,8.098303191807076,0.08345272753168095,True,True,True,False
15,1,76,75,-315.20160223288644,-314.636077101155,0.5655251317314196,1.1310502634628392,0.010878404040626625,True,True,True,False
16,1,80,80,-330.91354794168836,-330.1570561196091,0.7564918220792833,1.5129836441585667,0.013642337502335478,True,True,True,False
17,1,58,58,-259.0881328718722,-257.592328548796,1.495804323076186,2.991608646152372,0.03720671515590149,True,True,True,False
18,1,63,63,-275.4124598092506,-275.04451703775726,0.36794277149334675,0.7358855429866935,0.008425860504196706,True,True,True,False
19,1,72,72,-308.23897363307583,-305.62840978970644,2.610563843369391,5.221127686738782,0.05230899320490352,True,True,True,False
20,1,67,67,-285.7737804731195,-281.32722072998797,4.446559743131502,8.893119486263004,0.09574671179749733,True,True,True,False
21,1,50,50,-233.15301133410108,-232.6974194085647,0.4555919255363676,0.9111838510727353,0.013145604232807431,True,True,True,False
22,1,83,83,-340.1811949325355,-340.0969093641572,0.08428556837827728,0.16857113675655455,0.001465040620696967,True,True,True,False
23,1,67,67,-283.9874520766257,-283.9511861121316,0.03626596449407771,0.07253192898815541,0.0007809063750546437,True,True,True,False
24,1,85,84,-345.3138531856101,-343.69299174975606,1.6208614358540672,3.2417228717081343,0.027838199469938422,True,True,True,False
25,1,59,58,-256.41447354029236,-255.72523406137745,0.6892394789149137,1.3784789578298273,0.01714417893474895,True,True,True,False
26,1,74,74,-308.37198673675437,-307.62319700577916,0.7487897309752043,1.4975794619504086,0.01459831393981768,True,True,True,False
27,1,72,72,-302.7047937510987,-302.4889304139951,0.21586333710359895,0.4317266742071979,0.004325346749293122,True,True,True,False
28,1,58,58,-258.9933138395602,-258.48580235890785,0.5075114806523402,1.0150229613046804,0.01262386717812666,True,True,True,False
29,1,66,66,-281.5094157527576,-280.2932964286438,1.2161193241137767,2.4322386482275533,0.026583171485275506,True,True,True,False
30,1,71,70,-299.4513098279673,-298.0108063283371,1.4405034996302106,2.8810069992604213,0.029688675075710026,True,True,True,False
31,1,90,89,-358.09790373605097,-356.635053832432,1.4628499036189737,2.9256998072379474,0.02371287979231451,True,True,True,False
32,1,74,74,-315.87228962523955,-314.4347981402556,1.4374914849839229,2.8749829699678457,0.028025159955492127,True,True,True,False
33,1,64,64,-270.8104338715199,-270.17944759139425,0.6309862801256259,1.2619725602512517,0.014223762143847105,True,True,True,False
34,1,75,75,-317.73240093574105,-316.84786439073184,0.8845365450092117,1.7690730900184235,0.017014886492931296,True,True,True,False
35,1,67,65,-280.497467543973,-280.1715453569683,0.3259221870047213,0.6518443740094426,0.007233943429344566,True,True,True,False
36,1,79,79,-331.646014673478,-330.50264295198247,1.143371721495555,2.28674344299111,0.02088021155056094,True,True,True,False
37,1,75,75,-317.6107116761293,-316.03857497522364,1.5721367009056735,3.144273401811347,0.030241517626615342,True,True,True,False
38,1,76,75,-317.1917657805784,-317.1767979822072,0.014967798371230856,0.029935596742461712,0.0002879195797760088,True,True,True,False
39,1,58,58,-258.9100999281708,-258.0688152006454,0.8412847275253625,1.682569455050725,0.02092616042028385,True,True,True,False
40,1,62,62,-273.915111301616,-273.70391824215926,0.2111930594567184,0.4223861189134368,0.004914309347554446,True,True,True,False
41,1,79,79,-326.0273203981191,-325.0485361957459,0.9787842023732196,1.9575684047464392,0.017874520441320298,True,True,True,False
42,1,65,65,-279.38232507392365,-277.2883253077525,2.09399976617118,4.18799953234236,0.04647697043504324,True,True,True,False
43,1,72,72,-302.3503953525775,-302.13239711218546,0.21799824039203486,0.4359964807840697,0.0043681247268904,True,True,True,False
44,1,64,63,-277.71586529897024,-277.40674503924674,0.30912025972349966,0.6182405194469993,0.007078829614942879,True,True,True,False
45,1,63,63,-275.91651464902975,-275.845015734899,0.07149891413075693,0.14299782826151386,0.0016373195054823627,True,True,True,False
46,1,59,59,-265.83322378032085,-263.82523654776026,2.0079872325605947,4.0159744651211895,0.04910022411158515,True,True,True,False
47,1,73,73,-306.89499770198506,-305.4260824766949,1.468915225290175,2.93783045058035,0.029030091931677122,True,True,True,False
48,1,60,60,-267.02878570516816,-265.19753837593726,1.831247329230905,3.66249465846181,0.04403219067537643,True,True,True,False
49,1,72,72,-303.2575840457257,-300.8804876447848,2.3770964009409,4.7541928018818,0.04763090540767277,True,True,True,False
50,1,87,87,-348.5479216235627,-347.28338639060985,1.2645352329528237,2.5290704659056473,0.020969410455292055,True,True,True,False
51,1,73,73,-306.37886408868127,-305.48354618844735,0.8953179002339198,1.7906358004678395,0.017694119105295836,True,True,True,False
52,1,68,68,-290.59163275693834,-288.54148867432696,2.050144082611382,4.100288165222764,0.043496069133695504,True,True,True,False
53,1,74,74,-312.60682298991856,-311.02835354893523,1.5784694409833264,3.156938881966653,0.03077364911758675,True,True,True,False
54,1,73,73,-309.42775014231165,-309.1948945795691,0.23285556274254304,0.4657111254850861,0.0046019118576996676,True,True,True,False
55,1,62,61,-266.11695788966676,-265.180356135769,0.9366017538977758,1.8732035077955516,0.022151323043216826,True,True,True,False
56,1,60,59,-263.31893773792075,-261.9112881952558,1.4076495426649558,2.8152990853299116,0.03442049177139575,True,True,True,False
57,1,74,73,-311.39041518802173,-310.6833753488984,0.7070398391233539,1.4140796782467078,0.013973189994714976,True,True,True,False
58,1,62,62,-272.2931248076035,-272.0528521821948,0.24027262540869287,0.48054525081738575,0.005590969760298271,True,True,True,False
59,1,77,76,-316.3706306745384,-316.0620986549496,0.30853201958882437,0.6170640391776487,0.005856810718634913,True,True,True,False
60,1,61,60,-261.992334912169,-261.2671896260914,0.7251452860775771,1.4502905721551542,0.017436058469135488,True,True,True,False
