driver,driver_label,event_type,event_label,event_index,event_age_ka,orbital_value_at_event,phase_unwrapped_rad,phase_rad,phase_deg,phase_fraction,phase_extrapolated,included_in_pi_response,source_row
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",28,176.29481969,-0.0354356714377,69.3221109513,0.207072572367,11.8643844495,0.0329566234709,False,True,31
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",29,177.95905641,-0.0284881295385,69.784797133,0.669758754031,38.3743498979,0.106595416383,False,True,32
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",30,178.65,-0.023583,69.9768912308,0.86185285187,49.3805309735,0.137168141593,False,True,33
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",31,189.979308092,0.0262968838266,73.1503593339,4.03532095488,231.206859695,0.642241276931,False,True,34
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",32,192.67904271,-0.0054775519904,73.9214017376,4.80636335862,275.384335255,0.76495648682,False,True,35
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",33,199.077123326,-0.0436465203698,75.7424309741,0.344207287915,19.7216248752,0.05478229132,False,True,36
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",34,216.848385107,-0.0280813964366,80.7272582472,5.32903456101,305.331189225,0.848142192292,False,True,37
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",35,226.713909564,0.0128207791151,83.5616840674,1.88027507407,107.731826068,0.299255072411,False,True,38
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",36,229.581578641,0.0423088930313,84.3958551883,2.71444619495,155.526310686,0.432017529683,False,True,39
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",37,242.452279755,-0.0380209358505,88.1837626645,0.219168363986,12.5574222592,0.0348817284977,False,True,41
