model_id,phase_sector_center_deg,observed_events,fitted_events,observed_over_fitted
reduced,10,9,3.11585494077,2.88845282309
reduced,30,5,3.38427734159,1.47742028661
reduced,50,3,3.5254543339,0.850954151116
reduced,70,3,3.44820426229,0.870018064998
reduced,90,1,3.5052955217,0.285282651294
reduced,110,3,3.52759913193,0.850436766709
reduced,130,3,3.57468280059,0.839235302082
reduced,150,3,3.51072802133,0.854523614981
reduced,170,3,3.47081083113,0.864351342081
reduced,190,2,3.5253375313,0.567321563465
reduced,210,1,3.32951388014,0.300344145122
reduced,230,2,3.06831978378,0.651822541631
reduced,250,3,3.02292283715,0.992416995608
reduced,270,4,2.96133186202,1.3507435797
reduced,290,2,2.77294644771,0.721254462614
reduced,310,3,2.70788474001,1.1078758101
reduced,330,5,2.78342875956,1.79634559815
reduced,350,3,2.76540697311,1.08483128493
full,10,9,4.88019895357,1.8441871091
full,30,5,4.835035935,1.03411847755
full,50,3,4.41003537495,0.680266652064
full,70,3,3.65391827699,0.821036425168
full,90,1,3.10706287737,0.32184736501
full,110,3,2.61540879362,1.1470482195
full,130,3,2.28701989399,1.31175072324
full,150,3,2.04598068013,1.46628950563
full,170,3,1.91668691644,1.5652008548
full,190,2,2.04400508911,0.978471145036
full,210,1,2.11410474235,0.473013460481
full,230,2,2.21908183879,0.901273655184
full,250,3,2.61544924079,1.14703048073
full,270,4,3.10738607842,1.2872555579
full,290,2,3.44495252657,0.580559524283
full,310,3,3.87783793198,0.773626967559
full,330,5,4.37784935023,1.14211330724
full,350,3,4.44798529197,0.674462661875
