source_row,event_age_ka,pick_value,source_excel_row,event_index,dataset_id,event_type,event_label,event_definition,age_column,pick_column,analysis_start_ka,analysis_end_ka,source,included_in_pi_response
11,47.5925942118,1,21,11,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
12,53.8674035038,1,22,12,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
13,57.6590078484,1,23,13,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
14,59.3015617412,1,24,14,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
15,64.6543499608,1,25,15,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
16,71.615009927,1,26,16,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
17,75.8155294895,1,27,17,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
19,90.6661405442,1,29,18,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
21,109.77761542,1,31,19,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
22,125.327908207,1,32,20,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
23,129.074525891,1,33,21,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
24,147.366344255,1,34,22,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
26,150.971808676,1,36,23,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
27,160.694357861,1,37,24,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
28,164.033523852,1,38,25,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
29,169.484266842,1,39,26,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
30,173.182549081,1,40,27,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
31,176.29481969,1,41,28,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
32,177.95905641,1,42,29,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
33,178.65,1,43,30,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
34,189.979308092,1,44,31,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
35,192.67904271,1,45,32,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
36,199.077123326,1,46,33,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
37,216.848385107,1,47,34,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
38,226.713909564,1,48,35,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
39,229.581578641,1,49,36,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
41,242.452279755,1,51,37,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
42,243.885981666,1,52,38,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
46,259.518362264,1,56,39,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
47,261.985106372,1,57,40,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
48,264.304938871,1,58,41,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
49,276.908817737,1,59,42,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
50,278.805517955,1,60,43,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
51,281.47721396,1,61,44,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
52,291.429791447,1,62,45,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
53,297.52778462,1,63,46,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
54,301.831050705,1,64,47,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
55,306.888917952,1,65,48,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
56,317.780158488,1,66,49,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
57,327.901346184,1,67,50,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
58,334.860945836,1,68,51,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
59,335.209952309,1,69,52,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
61,336.252534653,1,71,53,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
63,351.123122905,1,73,54,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
64,366.804973984,1,74,55,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
65,372.804462592,1,75,56,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
66,378.190563154,1,76,57,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
67,387.378117458,1,77,58,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
68,392.245695897,1,78,59,barker_fixed_threshold_speleo_0_400,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",fixed_threshold,SpeloAge (kyr).1,DO pick,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,True
