bootstrap_id,n_events_observation_support,n_events_response,fit_valid,status,solver_attempts,failure_reason,n_events_response_Barker2011,loglik_reduced,loglik_full,ll_gain_nats,LR_statistic,gain_bits_per_event,reduced_converged,full_converged,likelihood_nesting_ok,quadrature_order
43,64,63,True,finite_mle,1,,63,-172.372287499,-169.829088841,2.54319865772,5.08639731544,0.0582390490712,True,True,True,4
44,66,65,True,finite_mle,1,,65,-179.039791014,-178.161866121,0.877924892813,1.75584978563,0.019485813679,True,True,True,4
45,70,69,True,finite_mle,1,,69,-179.724554778,-178.565764896,1.1587898819,2.3175797638,0.0242287016819,True,True,True,4
46,79,78,True,finite_mle,1,,78,-199.241464283,-199.183930025,0.0575342585089,0.115068517018,0.00106415883887,True,True,True,4
47,81,80,True,finite_mle,1,,80,-204.168297617,-200.887734159,3.28056345806,6.56112691613,0.0591606579034,True,True,True,4
48,78,77,True,finite_mle,1,,77,-200.026871041,-199.930287108,0.0965839332456,0.193167866491,0.00180962547432,True,True,True,4
49,74,73,True,finite_mle,1,,73,-192.610213419,-191.778308682,0.83190473696,1.66380947392,0.0164408881987,True,True,True,4
50,71,70,True,finite_mle,1,,70,-180.754340855,-180.015575285,0.738765569548,1.4775311391,0.0152259060509,True,True,True,4
51,88,87,True,finite_mle,1,,87,-216.395720464,-215.791823202,0.603897262104,1.20779452421,0.0100142481063,True,True,True,4
52,73,72,True,finite_mle,1,,72,-187.947257193,-187.525746288,0.421510905653,0.843021811306,0.00844599573981,True,True,True,4
53,68,67,True,finite_mle,1,,67,-177.778290466,-177.765704477,0.012585988683,0.0251719773661,0.000271011096384,True,True,True,4
54,74,73,True,finite_mle,1,,73,-184.759329854,-184.557326069,0.202003785618,0.404007571236,0.00399218985961,True,True,True,4
55,61,60,True,finite_mle,1,,60,-172.285918587,-170.55921536,1.72670322729,3.45340645458,0.0415184363849,True,True,True,4
56,78,77,True,finite_mle,1,,77,-193.640360582,-192.507520724,1.13283985799,2.26567971598,0.0212252265616,True,True,True,4
57,70,69,True,finite_mle,1,,69,-188.5005676,-188.37828984,0.122277760746,0.244555521493,0.00255665969623,True,True,True,4
58,76,75,True,finite_mle,1,,75,-194.657553667,-193.61910376,1.0384499069,2.0768998138,0.0199755537452,True,True,True,4
59,59,58,True,finite_mle,1,,58,-159.99483272,-159.253151214,0.74168150618,1.48336301236,0.0184486246704,True,True,True,4
60,79,78,True,finite_mle,1,,78,-194.819617272,-193.229415449,1.59020182293,3.18040364586,0.029412516461,True,True,True,4
61,67,66,True,finite_mle,1,,66,-174.764007639,-174.436033026,0.32797461277,0.65594922554,0.00716920223304,True,True,True,4
