knot_spacing_ka,knot_age_ka_b2k,chronology_envelope_ka
2.5,0.0,0.0
2.5,2.5,0.002
2.5,5.0,0.011
2.5,7.5,0.033
2.5,10.0,0.083
2.5,12.5,0.125
2.5,15.0,0.197
2.5,17.5,0.331
2.5,20.0,0.444
2.5,22.5,0.554
2.5,25.0,0.69
2.5,27.5,0.819
2.5,30.0,0.971
2.5,32.5,1.132
2.5,35.0,1.298
2.5,37.5,1.428
2.5,40.0,1.574
2.5,42.5,1.697
2.5,45.0,1.817
2.5,47.5,1.947
2.5,50.0,2.07
2.5,52.5,2.196
2.5,55.0,2.349
2.5,57.5,2.476
2.5,60.202,2.611
2.5,62.5,2.8125
2.5,65.0,2.925
2.5,67.5,3.0375
2.5,70.0,3.15
2.5,72.5,3.2624999999999997
2.5,75.0,3.375
2.5,77.5,3.4875
2.5,80.0,3.5999999999999996
2.5,82.5,3.7125
2.5,85.0,3.8249999999999997
2.5,87.5,3.9375
2.5,90.0,4.05
2.5,92.5,4.1625
2.5,95.0,4.2749999999999995
2.5,97.5,4.3875
2.5,100.0,4.5
2.5,102.5,4.6125
2.5,105.0,4.725
2.5,107.5,4.8374999999999995
2.5,110.0,4.95
2.5,112.5,5.0625
2.5,115.0,5.175
2.5,117.5,5.2875
2.5,120.0,5.3999999999999995
5.0,0.0,0.0
5.0,5.0,0.011
5.0,10.0,0.083
5.0,15.0,0.197
5.0,20.0,0.444
5.0,25.0,0.69
5.0,30.0,0.971
5.0,35.0,1.298
5.0,40.0,1.574
5.0,45.0,1.817
5.0,50.0,2.07
5.0,55.0,2.349
5.0,60.202,2.611
5.0,65.0,2.925
5.0,70.0,3.15
5.0,75.0,3.375
5.0,80.0,3.5999999999999996
5.0,85.0,3.8249999999999997
5.0,90.0,4.05
5.0,95.0,4.2749999999999995
5.0,100.0,4.5
5.0,105.0,4.725
5.0,110.0,4.95
5.0,115.0,5.175
5.0,120.0,5.3999999999999995
10.0,0.0,0.0
10.0,10.0,0.083
10.0,20.0,0.444
10.0,30.0,0.971
10.0,40.0,1.574
10.0,50.0,2.07
10.0,60.202,2.611
10.0,70.0,3.15
10.0,80.0,3.5999999999999996
10.0,90.0,4.05
10.0,100.0,4.5
10.0,110.0,4.95
10.0,120.0,5.3999999999999995
