composite_event_id,composite_event_label,source_record,nominal_event_age_ka_bp,definition_age_min_ka_bp,definition_age_max_ka_bp,chronology_sigma_nominal_ka,sampled_age_q025_ka_bp,sampled_age_median_ka_bp,sampled_age_q975_ka_bp
MIS6_DO_01,MIS 6.1,MF,134.976000,134.970000,134.983000,0.513898,133.953138,134.952718,135.769803
MIS6_DO_02,MIS 6.2,MF,138.393000,138.393000,138.401000,0.306848,137.784583,138.382610,138.873315
MIS6_DO_03,MIS 6.3,MF,146.251000,146.237000,146.272000,0.274657,145.702488,146.239912,146.679988
MIS6_DO_04,MIS 6.4,MF,146.847000,146.836000,146.855000,0.314757,146.219804,146.831088,147.331300
MIS6_DO_05,MIS 6.5,MF,148.439000,148.435000,148.444000,0.395558,147.652433,148.421301,149.050006
MIS6_DO_06,MIS 6.6,MF,149.458000,149.445000,149.471000,0.484228,148.497785,149.436583,150.209480
MIS6_DO_07,MIS 6.7,MF,150.462000,150.447000,150.462000,0.365386,149.728506,150.438892,151.021893
MIS6_DO_08,MIS 6.8,MF,151.115000,151.111000,151.123000,0.325015,150.468088,151.101426,151.617399
MIS6_DO_09,MIS 6.9,MF,159.522000,159.515000,159.527000,0.430921,158.666095,159.502282,160.188069
MIS6_DO_10,MIS 6.10,MF,160.879000,160.674000,160.885000,0.193222,160.264343,160.817838,161.168263
MIS6_DO_11,MIS 6.11,MF,165.006000,164.978000,165.007000,0.308985,164.351506,164.982652,165.493741
MIS6_DO_12,MIS 6.12,MF,168.566000,168.551000,168.570000,1.332896,165.973436,168.504357,170.582295
MIS6_DO_13,MIS 6.13,MF,169.675000,169.674000,169.680000,1.008323,167.672222,169.630967,171.232526
MIS6_DO_14,MIS 6.14,MF,171.506000,171.141000,171.506000,0.720872,169.878213,171.346955,172.546749
MIS6_DO_15,MIS 6.15,MF,172.364000,172.359000,172.366000,0.556776,171.255736,172.338128,173.222744
MIS6_DO_16,MIS 6.16,MF,174.752000,174.751000,174.753000,1.128418,172.505986,174.700893,176.495032
MIS6_DO_17,MIS 6.17,Sofular,176.779000,176.778000,176.780000,0.305540,176.214099,176.783036,177.382640
MIS6_DO_18,MIS 6.18,Sofular,179.831000,179.808000,179.840000,0.271814,179.298976,179.831746,180.356816
MIS6_DO_19,MIS 6.19,Sofular,180.309000,180.296000,180.329000,0.284936,179.755209,180.315223,180.861957
MIS6_DO_20,MIS 6.20,Sofular,190.972000,190.951000,190.991000,0.441960,190.101022,190.970451,191.844772
MIS6_DO_21,MIS 6.21,Sofular,194.238000,194.228000,194.249000,0.402807,193.443744,194.241871,195.037273
