realization_id,MIS6_DO_01_age_ka_bp,MIS6_DO_02_age_ka_bp,MIS6_DO_03_age_ka_bp,MIS6_DO_04_age_ka_bp,MIS6_DO_05_age_ka_bp,MIS6_DO_06_age_ka_bp,MIS6_DO_07_age_ka_bp,MIS6_DO_08_age_ka_bp,MIS6_DO_09_age_ka_bp,MIS6_DO_10_age_ka_bp,MIS6_DO_11_age_ka_bp,MIS6_DO_12_age_ka_bp,MIS6_DO_13_age_ka_bp,MIS6_DO_14_age_ka_bp,MIS6_DO_15_age_ka_bp,MIS6_DO_16_age_ka_bp,MIS6_DO_17_age_ka_bp,MIS6_DO_18_age_ka_bp,MIS6_DO_19_age_ka_bp,MIS6_DO_20_age_ka_bp,MIS6_DO_21_age_ka_bp
1,135.764966,138.858772,146.690665,147.333711,149.046528,150.185033,151.004827,151.616648,160.173068,161.111882,165.475657,170.640646,171.204953,172.589844,173.211412,176.463186,176.757820,179.218328,179.788071,191.530080,194.498453
2,135.395603,138.643545,146.475260,147.104002,148.761977,149.853377,150.760341,151.380378,159.873851,161.036768,165.258289,169.654322,170.498306,172.094599,172.818613,175.673364,177.398999,179.808340,180.018204,190.561916,193.631393
3,133.971288,137.800612,145.702882,146.224438,147.667222,148.534404,149.741501,150.477794,158.690197,160.506049,164.313922,166.183315,167.718838,169.713170,171.275547,172.554568,176.862784,179.720185,180.431331,190.712546,193.827195
4,135.009220,138.408618,146.286038,146.871052,148.464203,149.469814,150.465704,151.139552,159.537066,160.688683,165.022714,168.639430,169.725334,171.524946,172.394347,174.808411,176.685567,179.831610,180.127781,190.801786,194.194987
5,134.183728,137.919935,145.827563,146.361741,147.829171,148.711470,149.898688,150.613928,158.857653,160.581112,164.529640,166.511087,168.120477,170.394638,171.505623,173.012328,176.898501,180.292526,180.553939,191.174515,194.350174
6,135.665567,138.819149,146.608994,147.261931,148.969731,150.123306,150.951927,151.552006,160.109804,161.148926,165.440507,170.200009,171.045880,172.135433,173.113587,176.284130,176.741677,179.723383,180.195391,190.714326,193.831203
7,135.281713,138.588390,146.403706,147.026878,148.674635,149.763326,150.677694,151.308633,159.788179,161.003276,165.185269,169.289991,170.292108,171.586647,172.697162,175.439164,176.733214,179.692659,180.317545,191.026746,194.471043
8,135.277912,138.568662,146.429896,147.035542,148.671238,149.724097,150.657380,151.309175,159.763185,160.839144,165.183750,169.350927,170.251386,171.903551,172.684840,175.396737,177.112916,179.987177,180.205310,191.538310,194.599870
9,134.537658,138.127735,146.033564,146.582367,148.100851,149.023539,150.129309,150.841859,159.140220,160.424619,164.740092,167.390734,168.802098,170.860482,171.884525,173.775883,176.659776,179.775202,180.565176,191.222279,194.416793
10,134.979123,138.406484,146.241879,146.841586,148.442013,149.479555,150.461517,151.116784,159.534644,160.888461,164.984066,168.572627,169.697914,171.154042,172.368897,174.773081,176.572687,179.415974,180.165875,191.029648,194.299417
