realization_id,MIS6_DO_01_age_ka_bp,MIS6_DO_02_age_ka_bp,MIS6_DO_03_age_ka_bp,MIS6_DO_04_age_ka_bp,MIS6_DO_05_age_ka_bp,MIS6_DO_06_age_ka_bp,MIS6_DO_07_age_ka_bp,MIS6_DO_08_age_ka_bp,MIS6_DO_09_age_ka_bp,MIS6_DO_10_age_ka_bp,MIS6_DO_11_age_ka_bp,MIS6_DO_12_age_ka_bp,MIS6_DO_13_age_ka_bp,MIS6_DO_14_age_ka_bp,MIS6_DO_15_age_ka_bp,MIS6_DO_16_age_ka_bp,MIS6_DO_17_age_ka_bp,MIS6_DO_18_age_ka_bp,MIS6_DO_19_age_ka_bp,MIS6_DO_20_age_ka_bp,MIS6_DO_21_age_ka_bp
5952,134.787621,138.291360,146.139462,146.724320,148.294793,149.299964,150.324705,150.995367,159.374188,160.815798,164.856730,168.118626,169.321863,170.880258,172.161146,174.351535,176.839199,179.567936,180.018016,190.799436,193.776587
5953,134.184919,137.920646,145.828200,146.362471,147.830088,148.712593,149.899535,150.614681,158.858652,160.581559,164.530356,166.514177,168.122814,170.396309,171.506914,173.014944,176.924793,180.180952,180.643739,190.480696,194.258134
5954,135.049254,138.432463,146.307472,146.895560,148.495050,149.507701,150.494263,151.164825,159.570756,160.711100,165.046708,168.745440,169.803713,171.581356,172.437629,174.896068,177.020400,179.687618,180.145078,191.650830,194.500269
5955,134.682240,138.217596,146.093998,146.667075,148.212887,149.181201,150.253135,150.929212,159.275673,160.768549,164.829375,167.804077,169.098612,171.093928,172.045730,174.106962,177.386005,179.822434,180.211103,192.123862,194.136390
5956,135.491834,138.696083,146.544430,147.166502,148.836072,149.926548,150.809984,151.444222,159.943212,160.958935,165.311961,169.917392,170.670208,172.204982,172.916119,175.865138,176.765907,179.880737,180.415675,190.607241,193.464617
5957,134.302247,137.987514,145.907524,146.438250,147.919459,148.800752,149.961375,150.693246,158.942108,160.292795,164.599003,166.767365,168.341204,170.528771,171.630013,173.260428,176.808332,179.686525,180.130900,190.674852,194.000706
5958,134.755539,138.257514,146.150217,146.715751,148.268734,149.229736,150.284737,150.979406,159.323579,160.546627,164.870675,167.967682,169.228670,171.167491,172.120083,174.252953,176.275698,179.951731,180.502823,190.623341,194.346280
5959,135.325153,138.596801,146.455189,147.064462,148.707639,149.768805,150.691080,151.338998,159.802941,160.865597,165.212063,169.476021,170.343876,171.970117,172.735914,175.500175,176.091378,179.904068,180.440528,190.580419,193.865740
5960,135.106229,138.482896,146.309856,146.919420,148.539729,149.598756,150.552325,151.197372,159.641144,160.936691,165.068583,168.873964,169.947512,171.335763,172.506788,175.052877,176.803424,179.338962,179.771684,190.892725,195.500285
5961,135.191017,138.516904,146.383372,146.982345,148.604283,149.641862,150.595392,151.254319,159.690058,160.790484,165.131671,169.120828,170.081260,171.781110,172.590894,175.206472,177.255325,179.916587,180.330902,191.172226,193.298881
5962,135.306960,138.585964,146.445448,147.053324,148.693620,149.751587,150.678101,151.327513,159.787630,160.855409,165.201159,169.427845,170.308256,171.944481,172.716244,175.460339,176.826330,179.708737,180.175735,191.087545,194.226481
5963,134.829938,138.301830,146.190051,146.761297,148.326061,149.300146,150.337811,151.026373,159.386190,160.588289,164.915265,168.164692,169.374331,171.272325,172.200519,174.415857,176.323663,179.587690,180.070270,190.927246,194.573191
5964,134.893982,138.355301,146.196345,146.789450,148.376559,149.399710,150.400691,151.062803,159.463305,160.856156,164.927453,168.370780,169.530723,171.032319,172.276531,174.585663,176.683138,179.688609,180.152812,191.000922,194.209250
5965,134.927975,138.364324,146.225332,146.817585,148.402034,149.412747,150.427854,151.084626,159.481729,160.860943,164.977124,168.441437,169.580769,171.438632,172.311968,174.646546,176.368272,179.650365,180.143872,191.173382,194.228982
5966,134.848792,138.317044,146.183012,146.769086,148.341085,149.338136,150.371554,151.034547,159.415332,160.831171,164.929515,168.236061,169.425404,171.327558,172.226178,174.472676,176.625240,180.228454,180.807309,191.205605,194.332045
5967,134.452501,138.080419,145.971212,146.526362,148.036052,148.964726,150.089788,150.783913,159.083029,160.682168,164.691242,167.208203,168.647839,170.771661,171.796822,173.602501,176.780687,180.336532,180.834606,191.324989,193.911546
5968,134.717307,138.238535,146.112740,146.688553,148.239879,149.214243,150.278067,150.951390,159.305077,160.781733,164.850459,167.895030,169.167417,171.143118,172.083723,174.183963,176.608030,179.705130,180.182926,191.186120,194.510561
5969,135.595219,138.762735,146.581947,147.226265,148.915626,150.041468,150.902269,151.506625,160.041236,161.111822,165.378310,170.172065,170.889974,172.374611,173.034884,176.111681,177.227552,180.210570,180.654646,190.977983,194.655367
5970,134.434374,138.069596,145.961524,146.515260,148.022099,148.947645,150.076900,150.772449,159.067829,160.675353,164.680343,167.161188,168.612272,170.746233,171.777183,173.562698,176.823727,180.346438,180.836140,190.492781,193.618369
5971,135.124087,138.493631,146.319407,146.930355,148.553457,149.615504,150.565083,151.208695,159.656107,160.943467,165.080458,168.916300,169.982580,171.361294,172.526161,175.092187,176.694763,180.249446,180.722193,190.989180,194.240185
5972,134.151352,137.900603,145.810260,146.341912,147.804251,148.680964,149.875669,150.593452,158.830505,160.568939,164.510174,166.427115,168.056953,170.349224,171.470547,172.941239,176.921427,179.721948,180.180795,191.874963,195.036384
5973,134.822513,138.312337,146.158123,146.745686,148.321617,149.332686,150.349633,151.017490,159.403423,160.829038,164.879931,168.201348,169.390382,170.930143,172.198999,174.428342,176.558900,179.582547,180.064989,190.345436,193.662374
5974,134.932594,138.367082,146.227801,146.820414,148.405589,149.417100,150.431138,151.087548,159.485602,160.862680,164.979902,168.453417,169.589832,171.445112,172.316972,174.656688,176.907514,179.246898,179.651083,191.634969,194.287734
5975,135.364453,138.620210,146.476230,147.088521,148.737921,149.805998,150.719115,151.363808,159.836014,160.887604,165.235617,169.580087,170.420818,172.025494,172.778403,175.586226,177.147361,179.733141,180.189571,190.963044,194.220145
5976,135.824348,138.899548,146.704406,147.366604,149.091991,150.257367,151.065182,151.651537,160.233368,161.197972,165.516075,170.766355,171.339548,172.696021,173.283130,176.614801,176.859986,179.728225,180.173422,190.627010,194.665505
