event_type,n_source_events,n_response_events,response_exposure_kyr,gain_bits_per_event,LR_statistic,nominal_LR_p,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,beta_history,empirical_p_plus_one,empirical_p_ci95_low,empirical_p_ci95_high,n_bootstrap,n_bootstrap_exceeding_or_equal_observed,n_failed_replicates,seed
cooling,35,34,107.09,0.135703244353,6.39623784267,0.0408389530534,340.084615306,3.90424542566,-1.22846140683,0.0721,0.0670156475398,0.077249718436,9999,720,0,20260921
warming,34,33,103.32,0.193561963331,8.85501732369,0.0119442097015,327.126579473,5.42974554438,-0.783035222275,0.0298,0.0264629985815,0.0332205489713,9999,297,0,20260922
