event_type,realization_id,fit_valid,invalid_reason,n_response_events,response_exposure_kyr,gain_bits_per_event,LR_statistic,nominal_LR_p,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,beta_history
cooling,NGRIP_00001,True,,34,104.388402,0.139211429622,6.56159267621,0.0375983039203,337.753105062,4.01787946002,-1.07747423681
cooling,NGRIP_00002,True,,34,104.209907,0.123564529918,5.82409157602,0.0543643979936,318.144148366,3.59983983085,-0.967369949022
cooling,NGRIP_00003,True,,34,105.453617,0.175232990987,8.25943324776,0.0160874369722,326.414460759,4.94641033815,-1.38002926559
cooling,NGRIP_00004,True,,34,109.190956,0.105359451169,4.96601324357,0.0834918195166,332.056367704,3.32342995675,-0.943159312403
cooling,NGRIP_00005,True,,34,106.048642,0.188893807801,8.90332230057,0.0116591832196,329.978886368,5.15094139163,-1.27707523213
cooling,NGRIP_00006,True,,34,110.144691,0.0950819967016,4.48159561963,0.106373604611,331.999782954,3.09852832633,-1.02354411088
cooling,NGRIP_00007,True,,34,109.785741,0.0836485932481,3.94269348661,0.139269170039,337.884412819,2.94867835366,-0.655067723588
cooling,NGRIP_00008,True,,34,108.563854,0.0920577280923,4.33904971796,0.11423188027,341.108404773,2.9774067043,-0.983014600816
cooling,NGRIP_00009,True,,34,107.364632,0.151157788688,7.12467246334,0.0283724625801,324.943800341,4.36925274418,-1.1491185802
cooling,NGRIP_00010,True,,34,110.371481,0.0211745107859,0.998039566665,0.607125482655,321.287924305,1.68699798455,-0.806957511835
cooling,NGRIP_00011,True,,34,102.331939,0.165916710461,7.82031960436,0.0200372988018,304.982006089,4.54798331705,-1.37995416969
cooling,NGRIP_00012,True,,34,106.733587,0.101103129458,4.76539574081,0.0923012245586,330.649181598,3.17997260617,-0.928990249031
cooling,NGRIP_00013,True,,34,106.232408,0.101234763655,4.77160018813,0.092015329201,341.15933067,3.2954937119,-0.937696380802
cooling,NGRIP_00014,True,,34,102.993315,0.241656302695,11.3902301717,0.00336235019795,319.347222772,6.93609366609,-1.26032508527
cooling,NGRIP_00015,True,,34,103.56472,0.283155718576,13.3462639834,0.00126443235129,320.91727297,8.52639414141,-1.23951548163
cooling,NGRIP_00016,True,,34,107.766259,0.191510536514,9.02665921337,0.0109619005277,332.883887017,5.34158838862,-1.15524079312
cooling,NGRIP_00017,True,,34,102.95966,0.24322595001,11.4642139412,0.00324024293965,323.712434021,7.08360256207,-1.22072263175
cooling,NGRIP_00018,True,,34,109.890003,0.0384342786928,1.81156161007,0.404226140046,346.621516856,2.01996059288,-0.858550979419
cooling,NGRIP_00019,True,,34,108.01535,0.116342326359,5.4836801737,0.0644516410951,335.217293361,3.47901241516,-1.07604006859
cooling,NGRIP_00020,True,,34,105.349963,0.118999410835,5.60891921541,0.0605394774019,333.850464522,3.57113821227,-0.82965211832
cooling,NGRIP_00021,True,,34,108.13358,0.0990616570831,4.66917296499,0.0968505236338,335.447034131,3.10520070966,-1.11599675604
cooling,NGRIP_00022,True,,34,103.913559,0.129853716227,6.1205261356,0.0468753621994,324.131955104,3.74935840527,-0.996813128424
cooling,NGRIP_00023,True,,34,109.186013,0.0783985886041,3.69523972426,0.15761185818,347.754410897,2.73871604219,-0.902848617762
cooling,NGRIP_00024,True,,34,107.083624,0.125601114515,5.92008397127,0.0518167415683,336.553440898,3.70469584333,-1.14306905332
cooling,NGRIP_00025,True,,34,109.027478,0.0668961361285,3.15308303405,0.206688692841,350.07455107,2.5024861826,-1.01178257098
cooling,NGRIP_00026,True,,34,109.796915,0.0817153517321,3.85157206499,0.145761138824,325.957491788,2.88239472313,-1.16251326123
cooling,NGRIP_00027,True,,34,108.96628,0.113039474647,5.32800353377,0.0696688646012,343.918885677,3.4142438389,-1.11217710569
cooling,NGRIP_00028,True,,34,105.923831,0.0932556552345,4.3955128258,0.111052033982,336.765496892,3.03047374035,-1.08310120398
cooling,NGRIP_00029,True,,34,101.542651,0.190283334034,8.96881624155,0.0112835640519,300.546540901,5.05936817953,-0.947649448309
cooling,NGRIP_00030,True,,34,102.303096,0.195320473242,9.20623680266,0.0100205389101,301.805498933,5.35434837797,-1.1743855784
cooling,NGRIP_00031,True,,34,104.083221,0.232904957646,10.9777442017,0.00413250259286,319.37589863,6.58440211908,-1.48184451582
cooling,NGRIP_00032,True,,34,106.733347,0.155915245287,7.34891046203,0.0253632188548,327.017217306,4.36431538026,-1.19241141647
cooling,NGRIP_00033,True,,34,106.516778,0.113820876109,5.36483411672,0.068397633127,335.764235224,3.42062828502,-1.10304758795
cooling,NGRIP_00034,True,,34,107.843223,0.0801427161812,3.77744744791,0.151264741258,338.295484146,2.75659343671,-0.789164955626
cooling,NGRIP_00035,True,,34,109.313676,0.093896803225,4.42573270049,0.109386658253,344.451249708,3.04524852779,-1.11982800971
cooling,NGRIP_00036,True,,34,104.284168,0.203797260931,9.60578178375,0.00820599009609,302.778458237,5.41810846529,-1.37328933343
cooling,NGRIP_00037,True,,34,105.989056,0.178283175452,8.40320066762,0.014971598084,328.445343241,5.02099316098,-1.32908547425
cooling,NGRIP_00038,True,,34,109.148881,0.114227019751,5.38397729452,0.0677460822638,339.042932905,3.42613912469,-0.991883277791
cooling,NGRIP_00039,True,,34,102.168245,0.217098188425,10.2327078104,0.00599785181203,319.533545044,6.15567694525,-1.20775544712
cooling,NGRIP_00040,True,,34,103.0621,0.181516509078,8.5556006415,0.0138731450171,326.624473525,5.24298815822,-1.04858916083
cooling,NGRIP_00041,True,,34,106.309172,0.123778584609,5.83418083159,0.0540908404194,329.109932922,3.5524882084,-0.993351231728
cooling,NGRIP_00042,True,,34,106.214893,0.0933055734622,4.39786567196,0.110921466622,336.661653038,3.05177828391,-1.01214097824
cooling,NGRIP_00043,True,,34,101.29874,0.174824112662,8.2401611734,0.0162432054029,311.415164674,4.88416358185,-0.9462124906
