realization_id,within_observation_support,comparison_id,df,LR_statistic,info_bits_per_event,nominal_p,delta_AIC,delta_AICc,loglik_full,loglik_interaction,fit_valid,invalid_reason,likelihood_nesting_ok,n_events,n_bins,exposure_kyr
joint_01858,True,lr04_phase_interaction,2.0,0.269243262555392,0.003531235633467538,0.8740465610109327,3.730756737444608,3.8073570066540583,-197.16768411424616,-197.03306248296846,True,,True,55.0,901.0,180.0
joint_05740,True,lr04_phase_interaction,2.0,0.4458609209826818,0.005847648542071828,0.8001704908226648,3.554139079017318,3.6307393482267685,-198.9884129505436,-198.76548249005225,True,,True,55.0,901.0,180.0
joint_01950,True,lr04_phase_interaction,2.0,0.2993426872887426,0.003926001913434952,0.8609909000616293,3.7006573127112574,3.7772575819207077,-198.26090438336647,-198.1112330397221,True,,True,55.0,901.0,180.0
joint_08028,True,lr04_phase_interaction,2.0,6.2107953077687625,0.08145712354994944,0.04480669745889599,-2.2107953077687625,-2.1341950385593123,-200.09111322936087,-196.9857155754765,True,,True,55.0,901.0,180.0
joint_08732,True,lr04_phase_interaction,2.0,0.5482397243373498,0.007190388468362063,0.7602409456710324,3.45176027566265,3.5283605448721005,-197.98015859706598,-197.7060387348973,True,,True,55.0,901.0,180.0
joint_06901,True,lr04_phase_interaction,2.0,0.675452582373282,0.008858837190414345,0.7133905224517163,3.324547417626718,3.4011476868361683,-198.59713802417525,-198.2594117329886,True,,True,55.0,901.0,180.0
joint_09322,True,lr04_phase_interaction,2.0,2.08614770534291,0.02736068135509188,0.3523698824514849,1.9138522946570902,1.9904525638665405,-199.09933289229917,-198.05625903962772,True,,True,55.0,901.0,180.0
joint_03459,True,lr04_phase_interaction,2.0,0.30005929211728244,0.003935400479184148,0.8606824602041453,3.6999407078827176,3.776540977092168,-199.59841859092845,-199.4483889448698,True,,True,55.0,901.0,180.0
joint_05927,True,lr04_phase_interaction,2.0,7.380979929097748,0.09680457400554814,0.02495976964352661,-3.380979929097748,-3.3043796598882977,-201.50214793045996,-197.81165796591108,True,,True,55.0,901.0,180.0
joint_01678,True,lr04_phase_interaction,2.0,0.03692665413234408,0.0004843081890304978,0.981706075973612,3.963073345867656,4.039673615077106,-197.3595012547283,-197.34103792766211,True,,True,55.0,901.0,180.0
joint_04201,True,lr04_phase_interaction,2.0,0.60335818896624,0.00791328970092128,0.7395753606261133,3.39664181103376,3.4732420802432102,-198.51526353220208,-198.21358443771896,True,,True,55.0,901.0,180.0
joint_09031,True,lr04_phase_interaction,2.0,2.059145392450091,0.027006534965064593,0.35715954358841207,1.940854607549909,2.017454876759359,-199.34574986002053,-198.3161771637955,True,,True,55.0,901.0,180.0
joint_09715,True,lr04_phase_interaction,2.0,0.3176738118618232,0.0041664221181213264,0.8531354889615633,3.682326188138177,3.758926457347627,-198.420323960409,-198.2614870544781,True,,True,55.0,901.0,180.0
joint_04692,True,lr04_phase_interaction,2.0,3.6770863525289883,0.04822649314285508,0.15904896371667795,0.3229136474710117,0.399513916680462,-201.12568621457984,-199.28714303831535,True,,True,55.0,901.0,180.0
joint_05576,True,lr04_phase_interaction,2.0,0.005839401996468041,7.65861482005596e-05,0.9970845571835115,3.994160598003532,4.070760867212982,-197.18480027390746,-197.18188057290922,True,,True,55.0,901.0,180.0
joint_07078,True,lr04_phase_interaction,2.0,1.479120605831099,0.01939927239008369,0.477323747246458,2.520879394168901,2.5974796633783512,-198.2033136085102,-197.46375330559465,True,,True,55.0,901.0,180.0
joint_07555,True,lr04_phase_interaction,2.0,0.7448331226909772,0.009768791385419216,0.6890671439946647,3.2551668773090228,3.331767146518473,-198.49535330979495,-198.12293674844946,True,,True,55.0,901.0,180.0
joint_01828,True,lr04_phase_interaction,2.0,1.1987198412536486,0.015721701549016767,0.5491630315505436,2.8012801587463514,2.8778804279558017,-199.39580255016745,-198.79644262954062,True,,True,55.0,901.0,180.0
joint_03544,True,lr04_phase_interaction,2.0,2.0636117126788918,0.027065112583656525,0.356362839056682,1.9363882873211082,2.0129885565305585,-199.6449162632449,-198.61311040690546,True,,True,55.0,901.0,180.0
joint_06198,True,lr04_phase_interaction,2.0,0.10243535358790723,0.0013434816057543751,0.9500718394300453,3.8975646464120928,3.974164915621543,-198.77404568836081,-198.72282801156686,True,,True,55.0,901.0,180.0
joint_03528,True,lr04_phase_interaction,2.0,3.2687563799487407,0.0428710783566019,0.19507363233493338,0.7312436200512593,0.8078438892607096,-199.7465372893144,-198.11215909934003,True,,True,55.0,901.0,180.0
joint_03251,True,lr04_phase_interaction,2.0,1.9671423298344735,0.02579987712704506,0.3739731913881149,2.0328576701655265,2.109457939374977,-201.2124941435667,-200.22892297864945,True,,True,55.0,901.0,180.0
joint_09511,True,lr04_phase_interaction,2.0,3.0943090549263843,0.04058313025927373,0.21285277967840235,0.9056909450736157,0.982291214283066,-198.66721712841303,-197.12006260094984,True,,True,55.0,901.0,180.0
joint_03335,True,lr04_phase_interaction,2.0,7.3865971125153465,0.09687824566609662,0.024889766193024288,-3.3865971125153465,-3.309996843305896,-204.27444277198572,-200.58114421572805,True,,True,55.0,901.0,180.0
joint_08888,True,lr04_phase_interaction,2.0,2.2734401652489282,0.029817098656021952,0.3208697239491352,1.7265598347510718,1.803160103960522,-199.88565337428537,-198.7489332916609,True,,True,55.0,901.0,180.0
joint_07321,True,lr04_phase_interaction,2.0,0.2943067540661559,0.003859953587194281,0.8631615781011558,3.705693245933844,3.7822935151432944,-195.64971011043048,-195.5025567333974,True,,True,55.0,901.0,180.0
joint_09045,True,lr04_phase_interaction,2.0,5.820199735772917,0.07633430268893494,0.05447028976483493,-1.820199735772917,-1.7435994665634666,-201.30525892258993,-198.39515905470347,True,,True,55.0,901.0,180.0
joint_05292,True,lr04_phase_interaction,2.0,4.617302349696956,0.06055781092902507,0.09939522796738282,-0.6173023496969563,-0.540702080487506,-200.48800873441306,-198.17935755956458,True,,True,55.0,901.0,180.0
joint_06980,True,lr04_phase_interaction,2.0,1.3252456321051795,0.017381139103617296,0.5154975047141297,2.6747543678948205,2.7513546371042708,-198.78266465921945,-198.12004184316686,True,,True,55.0,901.0,180.0
joint_05143,True,lr04_phase_interaction,2.0,0.007666612820401042,0.00010055076633098485,0.996174031329887,3.992333387179599,4.068933656389049,-197.83422443372348,-197.83039112731328,True,,True,55.0,901.0,180.0
joint_09286,True,lr04_phase_interaction,2.0,0.2635303009790846,0.003456307803150012,0.8765468275019375,3.7364696990209154,3.8130699682303657,-199.53894427114702,-199.40717912065747,True,,True,55.0,901.0,180.0
joint_02883,True,lr04_phase_interaction,2.0,4.885979203699321,0.06408161788239652,0.0869006643409716,-0.8859792036993213,-0.809378934489871,-201.77424242842767,-199.331252826578,True,,True,55.0,901.0,180.0
joint_03165,True,lr04_phase_interaction,2.0,0.9307378624795888,0.012207008168789972,0.6279034092690845,3.069262137520411,3.1458624067298615,-201.40905866263796,-200.94368973139817,True,,True,55.0,901.0,180.0
joint_02128,True,lr04_phase_interaction,2.0,6.258193486825178,0.08207877007605723,0.043757303480550826,-2.258193486825178,-2.1815932176157276,-200.43330674455544,-197.30421000114285,True,,True,55.0,901.0,180.0
joint_01860,True,lr04_phase_interaction,2.0,0.42326805199837736,0.00555133381440719,0.8092608117951328,3.5767319480016226,3.653332217211073,-199.91863625698682,-199.70700223098763,True,,True,55.0,901.0,180.0
joint_00984,True,lr04_phase_interaction,2.0,6.873506696051379,0.0901488547628219,0.03216895737772227,-2.873506696051379,-2.796906426841929,-201.80407111979144,-198.36731777176576,True,,True,55.0,901.0,180.0
joint_02981,True,lr04_phase_interaction,2.0,0.06011043829232676,0.0007883730111818353,0.9703919478542393,3.9398895617076732,4.0164898309171235,-198.56457415341163,-198.53451893426546,True,,True,55.0,901.0,180.0
joint_09341,True,lr04_phase_interaction,2.0,1.3287742295582916,0.017427418104043642,0.5145888149588191,2.6712257704417084,2.7478260396511587,-198.82973876083145,-198.1653516460523,True,,True,55.0,901.0,180.0
joint_07575,True,lr04_phase_interaction,2.0,0.006965829773776022,9.135970973003053e-05,0.9965231434255968,3.993034170226224,4.069634439435674,-198.3541496449766,-198.3506667300897,True,,True,55.0,901.0,180.0
joint_08714,True,lr04_phase_interaction,2.0,0.07138180756066959,0.0009362016343406213,0.9649385062370186,3.9286181924393304,4.005218461648781,-198.66420705401293,-198.6285161502326,True,,True,55.0,901.0,180.0
joint_06402,True,lr04_phase_interaction,2.0,4.486481686085824,0.05884204435959249,0.10611404754273522,-0.4864816860858241,-0.4098814168763738,-201.79555878141744,-199.55231793837453,True,,True,55.0,901.0,180.0
