age_kyr_bp,segment_id,intercept,lr04,lr04_scaled,co2,co2_scaled,precession_index,pre_phase_unwrapped_rad,pre_phase_rad,pre_phase_deg,pre_phase_sin,pre_phase_cos,pre_phase_extrapolated,same_type_exponential_history,time_since_last_event_kyr,log_time_since_last_event,rectangular_history_count,mis6_segment,lr04_phase_sin,lr04_phase_cos,event_id
14.642,NGRIP,1.0,4.41482,0.017957416520210188,238.53389865874135,0.2668253381826862,-0.012195279999999998,26.052737903054,0.9199966743356534,52.71192660550469,0.7955996052774703,0.6058228025440553,False,0.0072857716031887974,8.328,2.2330206296081365,0.0,0.0,0.01428691349528235,0.010879012402724653,NGRIP:GI-1
22.97,NGRIP,1.0,4.860600000000001,0.34777393028167913,188.90901280295293,-0.25001853494879517,0.0181646,28.44824347563186,3.315502246913514,189.96428571428578,-0.17303428190792183,-0.9849158021296084,False,0.8779261791004767,0.3200000000000003,0.2776317365982797,1.0,0.0,-0.06017681229258602,-0.34252803950314653,NGRIP:GI-2.1
23.29,NGRIP,1.0,4.8455,0.3366019859194415,196.99808375703327,-0.1657707489872968,0.0177784,28.538003265734424,3.4052620370160795,195.1071428571429,-0.26062486859118456,-0.9654401472239632,False,0.08669455009535695,4.440000000000001,1.6937790608678516,0.0,0.0,-0.0877268483477862,-0.324969070841944,NGRIP:GI-2.2
27.73,NGRIP,1.0,4.75,0.2659449868072778,189.1126855492172,-0.2478972804770679,0.0014479999999999966,29.78342035340752,4.6506791246891765,266.4642857142858,-0.9980965510147212,-0.06167069687070188,False,0.6730289790962186,1.120000000000001,0.7514160886839215,1.0,0.0,-0.2654387740919995,-0.01640101266567444,NGRIP:GI-3
28.85,NGRIP,1.0,4.7330000000000005,0.25336730110144806,193.72963437007016,-0.19981169459675027,-0.003795000000000016,30.0975796187665,4.964838390048154,284.46428571428555,-0.968303522122262,0.24977647816722465,False,0.4200609255086632,1.9399999999999977,1.0784095813505894,0.0,0.0,-0.24533645004714383,0.06328519215185448,NGRIP:GI-4
30.79,NGRIP,1.0,4.62,0.16976268435092975,190.23098755422097,-0.23625014961461097,-0.0111068,30.641748346263302,5.509007117544957,315.6428571428571,-0.6991287205172593,0.7149958266646735,False,0.5310868088866959,1.6600000000000037,0.9783261227936091,0.0,0.0,-0.11868596830184087,0.12137961083430705,NGRIP:GI-5.1
32.45,NGRIP,1.0,4.591,0.1483066322645137,194.20931917722757,-0.19481577069006292,-0.014624,31.10737725742036,5.974636028702015,342.32142857142844,-0.3036767451096178,0.9527751227228953,False,0.6061449672116944,1.2399999999999949,0.8064758658669462,1.0,0.0,-0.04503727536425655,0.14130286975644135,NGRIP:GI-5.2
33.69,NGRIP,1.0,4.5869,0.14527319041781334,199.28179513598351,-0.14198586336275074,-0.0152304,31.44850601526849,0.03257947937055761,1.8666666666665606,0.032573716244476775,0.9994693357027139,False,0.3854577146944342,1.740000000000002,1.0079579203999796,0.0,0.0,0.004732087682599694,0.14519609912230574,NGRIP:GI-6
35.43,NGRIP,1.0,4.5013000000000005,0.08194084356963374,200.56517606290424,-0.12861943324338737,-0.013505200000000005,31.853422401731176,0.4374958658332453,25.066666666666606,0.42367251241550036,0.9058154349664934,False,0.22958439063947533,2.740000000000002,1.319085611426441,0.0,0.0,0.03471608306459222,0.07422328085954918,NGRIP:GI-7
38.17,NGRIP,1.0,4.433800000000001,0.03200003267883767,208.03754509306944,-0.05079460635629784,-0.00633340000000001,32.491049355126435,1.075122819228504,61.59999999999991,0.8796485728666145,0.4756242090702789,False,0.42644033521451385,1.9399999999999977,1.0784095813505894,0.0,0.0,0.028148783077624584,0.015219990233095245,NGRIP:GI-8
40.11,NGRIP,1.0,4.545599999999999,0.11471681279129617,193.06661858207804,-0.20671701320663075,0.0001293999999999813,32.94250785497564,1.5265813190777067,87.4666666666667,0.9990226757815578,0.04420060264585201,False,0.5543392217058223,1.2999999999999972,0.8329091229351028,1.0,0.0,0.11460469727189274,0.005070552258986675,NGRIP:GI-9
41.41,NGRIP,1.0,4.5059,0.08534421734885766,204.6445040188507,-0.08613317611320652,0.004317599999999982,33.24503159198798,1.8291050560900501,104.7999999999995,0.9668233886044616,-0.25544575793578234,False,0.31875511985970806,1.8800000000000026,1.0577902941478554,0.0,0.0,0.08251278541501825,-0.02180081828611509,NGRIP:GI-10
43.29,NGRIP,1.0,4.4658,0.055675676360399655,202.17273565373722,-0.11187667785186316,0.009418999999999997,33.68252745782123,2.266600921923299,129.86666666666656,0.7675382022339918,-0.6410032044470698,False,0.11627942450477187,3.520000000000003,1.5085119938441405,0.0,0.0,0.042733208541822706,-0.03568828695677415,NGRIP:GI-11
46.81,NGRIP,1.0,4.3762,-0.010616125947975603,212.68013693646625,-0.00244194804121683,0.0139608,34.5016686534239,3.0857421175259674,176.7999999999995,0.05582150499317232,-0.9984407641819805,False,0.2151985926098447,2.4199999999999946,1.2296405510745123,0.0,0.0,-0.0005926081276130664,0.010599572904148914,NGRIP:GI-12
49.23,NGRIP,1.0,4.4324,0.030964223267769094,200.4579442184167,-0.1297362543881055,0.012206000000000007,35.08031857764236,3.664392041744428,209.9541984732823,-0.49930755048498776,-0.8664248207598172,False,0.08019258285777021,4.940000000000005,1.7817091333745543,0.0,0.0,-0.01546067047250005,-0.026828171594743797,NGRIP:GI-13
54.17,NGRIP,1.0,4.3681,-0.016609023254870972,220.23386414685683,0.07623022541913861,-0.002712199999999989,36.26501076914874,4.849084233250807,277.83206106870193,-0.9906717428368002,0.1362699451261972,False,1.1597858686046916,0.7800000000000011,0.5766133643039945,1.0,0.0,0.01645409001471997,-0.0022633106875410004,NGRIP:GI-14
54.95,NGRIP,1.0,4.3134999999999994,-0.05700559028653767,216.25896389482315,0.034831584270773035,-0.005809,36.452067430965535,5.036140895067604,288.54961832061053,-0.9480485128328882,0.31812578851037693,False,0.9507918987231325,0.7999999999999972,0.5877866649021174,1.0,0.0,0.054044065094312976,-0.01813494835940428,NGRIP:GI-15.1
55.75,NGRIP,1.0,4.34,-0.03739919786274332,212.28998583540505,-0.0065053771595221035,-0.008886,36.6439204174443,5.227993881546368,299.54198473282395,-0.8699946281914813,0.4930611999721396,False,0.6207244964729067,2.240000000000002,1.1755733298042386,0.0,0.0,0.03253710123925702,-0.0184400933761997,NGRIP:GI-15.2
57.99,NGRIP,1.0,4.489400000000001,0.07313646357555278,223.9671627829333,0.11511258239288598,-0.0159162,37.18110877958485,5.765182243686915,330.32061068702296,-0.4951461684759616,0.8688096867804679,False,1.7634099129789267,0.23999999999999488,0.21511137961694138,3.0,0.0,-0.03621323971531669,0.06354166801130712,NGRIP:GI-16.1
58.23,NGRIP,1.0,4.4762,0.06337026055690798,224.2810553763338,0.11838177809827986,-0.01644959999999999,37.238664675528476,5.822738139630545,333.6183206106866,-0.44434874816563036,0.89585388875845,False,1.0693807028954854,0.8000000000000043,0.5877866649021214,2.0,0.0,-0.02815849594939188,0.056770494351542224,NGRIP:GI-16.2
59.03,NGRIP,1.0,4.4351,0.032961855703400884,230.3833551670026,0.18193731489052842,-0.017784799999999996,37.43051766200724,6.014591126109309,344.6106870229005,-0.26537628619088044,0.9641449199822275,False,0.8228715490379152,0.35999999999999943,0.3074846997479602,1.0,0.0,-0.008747294852528217,0.031780005729621176,NGRIP:GI-17.1
59.39,NGRIP,1.0,4.4963,0.078241524244389,226.2745218562517,0.13914375908162505,-0.0181534,37.51685150592269,6.1009249700247565,349.55725190839667,-0.18125293264359735,0.9834365126474081,False,0.04607475753810727,4.659999999999997,1.7334238922150909,0.0,0.0,-0.01418150572380063,0.07694557174711955,NGRIP:GI-17.2
64.05,NGRIP,1.0,4.366,-0.018162737371473843,198.99712279126157,-0.14495072977366957,-0.008441,38.76452152559927,1.0654096825217536,61.043478260869506,0.8749873476381806,0.48414578535096386,False,0.029606436663324093,5.519999999999996,1.8748743759385609,0.0,0.0,-0.01589216539851476,-0.008793412748835504,NGRIP:GI-18
69.57,NGRIP,1.0,4.384500000000001,-0.004475255868069497,211.00659637552027,-0.01987189614982413,0.02039839999999998,40.27248599932237,2.573374156244853,147.44347826086914,0.5381313443759372,-0.8428609945893489,False,0.1737884550388053,2.720000000000013,1.3137236682850586,0.0,0.0,-0.0024082754567105406,0.0037720186120028766,NGRIP:GI-19.1
72.29,NGRIP,1.0,4.215800000000001,-0.12929028990180763,236.1484781324524,0.2419811503806762,0.023633199999999997,41.01863540802107,3.3195235649435517,190.19469026548677,-0.1769935318397773,-0.9842120146019767,False,0.0654708757177886,4.099999999999994,1.629240539730279,0.0,0.0,0.02288354504230963,0.1272490566927317,NGRIP:GI-19.2
76.39,NGRIP,1.0,4.0678,-0.23879014192903517,238.92002697171657,0.2708468699073896,0.004499600000000041,42.15850530888109,4.459393465803572,255.5044247787614,-0.9681669735771427,-0.2503052362106642,False,0.00720931546497304,8.319999999999993,2.232162628697499,0.0,0.0,0.23118872903149032,0.05977042288032518,NGRIP:GI-20
84.71,NGRIP,1.0,3.9122999999999992,-0.35383897294412914,240.27756535436947,0.28498565095474454,-0.027134400000000034,44.463097417241286,0.48080026698418266,27.547826086956775,0.4624888603495783,0.886625092162718,False,0.848335292373722,0.30000000000001137,0.2623642644674998,1.0,0.0,-0.16364658334419557,-0.31372251199734996,NGRIP:GI-21.1
85.01,NGRIP,1.0,3.9511000000000007,-0.32513225498023335,237.78770986206936,0.25905377153606424,-0.025864999999999975,44.5450520082045,0.5627548579473967,32.24347826086978,0.5335182467955211,0.8457885553353353,False,0.03615906594988601,4.97999999999999,1.7884205679625387,0.0,0.0,-0.17346399065372842,-0.2749931402326514,NGRIP:GI-21.2
89.99,NGRIP,1.0,4.0602,-0.24441310730340632,229.28465882186086,0.17049437724693026,0.01377839999999995,45.90549821819381,1.9232010679367093,110.19130434782619,0.9385454170855416,-0.3451557620375572,False,0.0001724400423666952,14.0,2.70805020110221,0.0,0.0,-0.22939280173524873,0.08436059230327445,NGRIP:GI-22
103.99,NGRIP,1.0,3.9195999999999995,-0.34843796672927246,245.67753720899904,0.3412264325710148,-0.03836479999999997,49.84850743250568,5.8662102822485735,336.1090909090908,-0.40499652039241063,0.9143182260406054,False,0.9500838486081646,0.480000000000004,0.3920420877760264,1.0,0.0,0.1411161640979619,-0.3185831836251039,NGRIP:GI-23.1
104.47,NGRIP,1.0,3.8871,-0.37248354234335895,239.64024924936098,0.2783479948988921,-0.04045539999999999,49.985595111935055,6.003297961677951,343.9636363636364,-0.2762473795924209,0.9610865649192694,False,0.3083868463654673,2.230000000000004,1.1724821372345664,0.0,0.0,0.10289760251365547,-0.3579889281997401,NGRIP:GI-23.2
106.7,NGRIP,1.0,4.0280000000000005,-0.2682367237579784,242.37430202931566,0.3068231924488497,-0.039631,50.63595328922794,0.37047083179125195,21.2264150943397,0.36205436122098694,0.9321569822303876,False,0.36378834794068815,1.5300000000000011,0.9282193027394293,0.0,0.0,-0.0971162756762052,-0.2500387349416033,NGRIP:GI-24.1
