model_id,terms,n_parameters,converged,fit_valid,invalid_reason,log_likelihood,AIC,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,n_events,exposure_kyr,fit_status,realization_id
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-100.32005981819975,218.6401196363995,334.28676299828646,8.975068451391849,53,162.994819,finite_mle,joint_04201
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-101.05938934714223,216.11877869428446,331.5489334236566,8.292212247833179,53,165.62824500000005,finite_mle,joint_09031
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-99.22803737800999,216.45607475601997,335.15795341254926,8.103622602208937,53,165.62824500000005,finite_mle,joint_09031
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-100.757618818498,215.515237636996,321.1322715474439,7.735318732353273,53,162.796264,finite_mle,joint_09715
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-100.64611181908877,219.29222363817755,319.9695513632219,7.7413007415608845,53,162.796264,finite_mle,joint_09715
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-104.31745292427328,222.63490584854657,323.43520927346947,4.745056576141626,53,164.40259700000001,finite_mle,joint_04692
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-101.52074128797531,221.04148257595062,326.8450506794097,4.231112944087138,53,164.40259700000001,finite_mle,joint_04692
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-99.5561548677238,213.1123097354476,323.1465036882556,9.640878923975782,53,163.65052300000002,finite_mle,joint_05576
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-99.3661197914736,216.7322395829472,324.2534428456091,10.378071696691885,53,163.65052300000002,finite_mle,joint_05576
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-100.495116537982,214.990233075964,328.69756917992737,8.967754096935455,53,167.10273800000004,finite_mle,joint_07078
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-99.03806378952645,216.0761275790529,332.2043264258379,8.650925932749175,53,167.10273800000004,finite_mle,joint_07078
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-101.0473927390284,216.0947854780568,323.9560025741323,7.932004599268759,53,161.561516,finite_mle,joint_07555
