background_id,exposure_quantile,lr04_permil,lr04_scaled,beta_sin,beta_cos,phase_amplitude_point,preferred_phase_deg_point,rate_ratio_max_vs_min_point,phase_amplitude_q025,phase_amplitude_median,phase_amplitude_q975,preferred_phase_deg_q025,preferred_phase_deg_median,preferred_phase_deg_q975,rate_ratio_max_vs_min_q025,rate_ratio_max_vs_min_median,rate_ratio_max_vs_min_q975,phase_mc_resultant_length
q25,0.25,4.083337283786616,-0.22729466709430915,-0.08841379300608676,0.9005944016100406,0.9049239056434912,354.3930849182922,6.10951756185962,0.47246226656140383,0.8199019531801297,1.1452323970026805,305.07077584714045,351.70474082722797,418.5482538246584,2.5726270851818454,5.154158715390202,9.87988790469092,0.8780927686333021
q50,0.5,4.446172800506095,0.04115422068275478,-0.5278013818936966,0.851850554530462,1.0021096077689065,328.21789861551383,7.42029798100342,0.7200761661914968,0.9456150126903278,1.1234846516265196,312.6462471453289,327.98893924409697,344.33074882360694,4.221421770233551,6.627515682006482,9.459068316572429,0.9899978156956108
q75,0.75,4.651849503183327,0.19332698087603134,-0.776872341916534,0.8242196493925783,1.1326379236453743,316.6938505350752,9.633781687196514,0.907466729386808,1.0879411450472014,1.2393259271771977,309.4724848765661,318.918570717728,331.3766402185153,6.140668608670344,8.809954629905857,11.9252387680835,0.9954204805292332
