background_id,phase_deg,rate_multiplier_point,rate_multiplier_q025,rate_multiplier_median,rate_multiplier_q975
q25,0.0,2.461065537797599,1.2467391850152263,2.104804257538578,2.7400359145758952
q25,1.0,2.4569339314981136,1.231101144183106,2.094032749079002,2.723332794611791
q25,2.0,2.452137729967652,1.2280381464777175,2.0896095581096836,2.7134633056010715
q25,3.0,2.44668231051264,1.2219419848000754,2.0757467580580697,2.700959667365711
q25,4.0,2.4405737728807204,1.219083471720907,2.07144291594354,2.6825985006085125
q25,5.0,2.4338189260225116,1.2260971128797822,2.065233169583106,2.661676828630876
q25,6.0,2.426425273369527,1.2214728078985577,2.059605674022995,2.6433550939009867
q25,7.0,2.418400996678573,1.2137052059115612,2.0479789949735028,2.6186031998653214
q25,8.0,2.4097549384975663,1.2098770922355144,2.03963679168465,2.604797356609867
q25,9.0,2.4004965833120875,1.2179343783445964,2.032375080031982,2.5935916269921893
q25,10.0,2.390636037436076,1.2259776863332585,2.0223303879991374,2.573113103336977
q25,11.0,2.3801840077138428,1.2340035672239367,2.0097163490858554,2.5599401414265164
q25,12.0,2.3691517791040493,1.239395659380711,2.001943802752214,2.547180765526386
q25,13.0,2.3575511912194513,1.2288773600276075,1.9911183405874884,2.525704473297893
q25,14.0,2.3453946138989727,1.2071747756041784,1.9816445405640482,2.5086052655890887
q25,15.0,2.3326949218911492,1.2043742343674915,1.9678087665911648,2.492210429420719
q25,16.0,2.3194654687300473,1.2092881077430442,1.9595151689675694,2.4752455123476937
q25,17.0,2.3057200598864864,1.1939916208983363,1.94290591079753,2.457728731325028
q25,18.0,2.291472925278761,1.1750897133036313,1.936651304976398,2.440525391525804
q25,19.0,2.276738691228024,1.1635359192651156,1.9233654340741673,2.420399894453694
q25,20.0,2.261532351944133,1.156052412602331,1.9162193678664303,2.398407218846856
q25,21.0,2.2458692406279974,1.1486688301790815,1.9059033284114808,2.384206364502068
q25,22.0,2.2297650002763882,1.1452617241570007,1.8986508303370615,2.370268266476625
q25,23.0,2.2132355542746835,1.1462718311942506,1.8839036588098323,2.3616005457688938
q25,24.0,2.196297076862255,1.1414152587867348,1.8715909730353857,2.3523313924544893
q25,25.0,2.1789659635540675,1.130222457221358,1.85973346042278,2.335232883630008
q25,26.0,2.1612588016005967,1.1204385889692903,1.8491994506779235,2.3185522458364796
