model_id,term,beta,realization_id
full,mis6_segment,-0.21326438847912324,joint_04201
full,pre_phase_sin,-0.35495805942713615,joint_04201
full,pre_phase_cos,0.7862933095176008,joint_04201
interaction,intercept,-1.1111412191828265,joint_04201
interaction,same_type_history_count,-0.33054400693639807,joint_04201
interaction,lr04_scaled,3.0090871339292438,joint_04201
interaction,co2_scaled,0.9935371171804953,joint_04201
interaction,mis6_segment,-0.23128549759781672,joint_04201
interaction,pre_phase_sin,-0.2991507748655447,joint_04201
interaction,pre_phase_cos,0.7735300859066422,joint_04201
interaction,lr04_phase_sin,-0.824296027851233,joint_04201
interaction,lr04_phase_cos,-0.005337161251240226,joint_04201
full,intercept,-1.0861163937132192,joint_09031
full,same_type_history_count,-0.36974593867572236,joint_09031
full,lr04_scaled,2.8701830070880194,joint_09031
full,co2_scaled,0.5781866925672103,joint_09031
full,mis6_segment,-0.2569159899754712,joint_09031
full,pre_phase_sin,-0.34223989203151073,joint_09031
full,pre_phase_cos,0.7167924389338277,joint_09031
interaction,intercept,-1.0173847217641816,joint_09031
interaction,same_type_history_count,-0.42956466738652826,joint_09031
interaction,lr04_scaled,2.56450339205139,joint_09031
interaction,co2_scaled,0.5144844105261038,joint_09031
interaction,mis6_segment,-0.2755259149001955,joint_09031
interaction,pre_phase_sin,-0.24815578604026173,joint_09031
interaction,pre_phase_cos,0.6555649292679222,joint_09031
interaction,lr04_phase_sin,-1.3291530384539914,joint_09031
interaction,lr04_phase_cos,0.8121029508883133,joint_09031
full,intercept,-1.0122655191440302,joint_09715
full,same_type_history_count,-0.5193031387163102,joint_09715
full,lr04_scaled,1.926215311067846,joint_09715
full,co2_scaled,-0.40805109042832033,joint_09715
full,mis6_segment,-0.316047936801957,joint_09715
full,pre_phase_sin,-0.4663682528471185,joint_09715
full,pre_phase_cos,0.6652145324896406,joint_09715
interaction,intercept,-1.0092088894323286,joint_09715
interaction,same_type_history_count,-0.5295537956715687,joint_09715
interaction,lr04_scaled,1.9040844465806348,joint_09715
interaction,co2_scaled,-0.46200167711077994,joint_09715
interaction,mis6_segment,-0.3054159210660014,joint_09715
interaction,pre_phase_sin,-0.4834332879959814,joint_09715
interaction,pre_phase_cos,0.6417065672425847,joint_09715
interaction,lr04_phase_sin,0.3096544213986559,joint_09715
interaction,lr04_phase_cos,0.47527642424007793,joint_09715
full,intercept,-1.089635572003826,joint_04692
full,same_type_history_count,-0.2789235113446331,joint_04692
full,lr04_scaled,2.908960525375494,joint_04692
full,co2_scaled,0.630561676972452,joint_04692
full,mis6_segment,-0.2677411850645571,joint_04692
full,pre_phase_sin,-0.3338837552417672,joint_04692
full,pre_phase_cos,0.526315081292057,joint_04692
interaction,intercept,-1.0061968501256355,joint_04692
interaction,same_type_history_count,-0.3775531215897702,joint_04692
interaction,lr04_scaled,2.626594017266001,joint_04692
interaction,co2_scaled,0.5466270547089309,joint_04692
interaction,mis6_segment,-0.2934006243712796,joint_04692
interaction,pre_phase_sin,-0.20349340771567087,joint_04692
interaction,pre_phase_cos,0.45142917566400703,joint_04692
interaction,lr04_phase_sin,-1.8444084799598368,joint_04692
interaction,lr04_phase_cos,0.9946455650072696,joint_04692
full,intercept,-1.0443831174473246,joint_05576
full,same_type_history_count,-0.4736377874280747,joint_05576
full,lr04_scaled,1.9014852676592577,joint_05576
full,co2_scaled,-0.6296460131427013,joint_05576
full,mis6_segment,-0.3475678971573251,joint_05576
full,pre_phase_sin,-0.48610121805261947,joint_05576
full,pre_phase_cos,0.7389341682110986,joint_05576
interaction,intercept,-1.0457468176606346,joint_05576
interaction,same_type_history_count,-0.4725549188679466,joint_05576
interaction,lr04_scaled,1.9094867205805905,joint_05576
interaction,co2_scaled,-0.6227400902795178,joint_05576
interaction,mis6_segment,-0.34902422998672383,joint_05576
interaction,pre_phase_sin,-0.48427330823628945,joint_05576
interaction,pre_phase_cos,0.7433061060875303,joint_05576
interaction,lr04_phase_sin,-0.03666352049222569,joint_05576
interaction,lr04_phase_cos,-0.06975624436310886,joint_05576
full,intercept,-1.0811841801732618,joint_07078
full,same_type_history_count,-0.43114738700036975,joint_07078
full,lr04_scaled,3.2096466963710677,joint_07078
full,co2_scaled,0.8764091170682753,joint_07078
full,mis6_segment,-0.2477514857393524,joint_07078
full,pre_phase_sin,-0.40775592136927424,joint_07078
full,pre_phase_cos,0.7489642166491057,joint_07078
interaction,intercept,-1.0177383130603483,joint_07078
interaction,same_type_history_count,-0.4795246614048819,joint_07078
interaction,lr04_scaled,2.888482982629881,joint_07078
interaction,co2_scaled,0.7893506840076134,joint_07078
interaction,mis6_segment,-0.26439400106019056,joint_07078
interaction,pre_phase_sin,-0.32690571743944696,joint_07078
interaction,pre_phase_cos,0.6893616182160986,joint_07078
interaction,lr04_phase_sin,-1.0829592056111812,joint_07078
interaction,lr04_phase_cos,0.7557111111213894,joint_07078
full,intercept,-1.173874578010708,joint_07555
full,same_type_history_count,-0.1870813163639643,joint_07555
full,lr04_scaled,2.8108628301190874,joint_07555
full,co2_scaled,0.5315658591691036,joint_07555
full,mis6_segment,-0.2653034742389863,joint_07555
full,pre_phase_sin,-0.42387747568771145,joint_07555
full,pre_phase_cos,0.7006413807260491,joint_07555
interaction,intercept,-1.141382133349373,joint_07555
interaction,same_type_history_count,-0.20692910848056192,joint_07555
interaction,lr04_scaled,2.648905588384422,joint_07555
interaction,co2_scaled,0.5272691376581045,joint_07555
interaction,mis6_segment,-0.2841673932050395,joint_07555
interaction,pre_phase_sin,-0.35886193219510965,joint_07555
interaction,pre_phase_cos,0.6883733576163246,joint_07555
interaction,lr04_phase_sin,-0.9450754318774314,joint_07555
interaction,lr04_phase_cos,-0.013559113603432224,joint_07555
full,intercept,-1.055737929456343,joint_01828
full,same_type_history_count,-0.4146331436010726,joint_01828
full,lr04_scaled,2.725996727811304,joint_01828
full,co2_scaled,0.4051797592289091,joint_01828
full,mis6_segment,-0.2735407423900215,joint_01828
full,pre_phase_sin,-0.41435388201915946,joint_01828
full,pre_phase_cos,0.6184706071552545,joint_01828
interaction,intercept,-1.0054412139407,joint_01828
interaction,same_type_history_count,-0.45081145225047226,joint_01828
interaction,lr04_scaled,2.471123420046364,joint_01828
interaction,co2_scaled,0.352357577669931,joint_01828
interaction,mis6_segment,-0.29045554667451323,joint_01828
interaction,pre_phase_sin,-0.33425410073383593,joint_01828
interaction,pre_phase_cos,0.5765727003087753,joint_01828
interaction,lr04_phase_sin,-1.1041189890252683,joint_01828
interaction,lr04_phase_cos,0.4140155875735149,joint_01828
full,intercept,-1.079293110136887,joint_03544
full,same_type_history_count,-0.35829532870395975,joint_03544
full,lr04_scaled,2.63124295855386,joint_03544
full,co2_scaled,0.2918218572093508,joint_03544
full,mis6_segment,-0.2721068850088015,joint_03544
full,pre_phase_sin,-0.3382686644249513,joint_03544
full,pre_phase_cos,0.6552159525975462,joint_03544
interaction,intercept,-1.014168089589615,joint_03544
interaction,same_type_history_count,-0.41390277529292296,joint_03544
interaction,lr04_scaled,2.291548244086885,joint_03544
interaction,co2_scaled,0.19058910415661606,joint_03544
interaction,mis6_segment,-0.27754468431202356,joint_03544
interaction,pre_phase_sin,-0.24788752856056712,joint_03544
interaction,pre_phase_cos,0.5761110684952546,joint_03544
interaction,lr04_phase_sin,-1.1415583445464952,joint_03544
interaction,lr04_phase_cos,1.0546908923987175,joint_03544
full,intercept,-1.009431411574017,joint_06198
full,same_type_history_count,-0.5498381415831849,joint_06198
full,lr04_scaled,2.753405222981563,joint_06198
full,co2_scaled,0.34020456213650674,joint_06198
full,mis6_segment,-0.30805063626460516,joint_06198
full,pre_phase_sin,-0.5056450471977424,joint_06198
full,pre_phase_cos,0.6372424887115854,joint_06198
interaction,intercept,-0.9953282509614938,joint_06198
interaction,same_type_history_count,-0.5601524420894687,joint_06198
interaction,lr04_scaled,2.691194863037385,joint_06198
interaction,co2_scaled,0.31359967344140616,joint_06198
interaction,mis6_segment,-0.3050937701903169,joint_06198
interaction,pre_phase_sin,-0.4952661341404805,joint_06198
interaction,pre_phase_cos,0.61405537138517,joint_06198
interaction,lr04_phase_sin,-0.08786406869744812,joint_06198
interaction,lr04_phase_cos,0.31866637486694527,joint_06198
full,intercept,-1.0697041041941417,joint_03528
full,same_type_history_count,-0.4174929528009412,joint_03528
full,lr04_scaled,3.23380119973256,joint_03528
full,co2_scaled,1.0499056933615598,joint_03528
full,mis6_segment,-0.22443396376241598,joint_03528
full,pre_phase_sin,-0.3478765945691521,joint_03528
full,pre_phase_cos,0.6686088500575718,joint_03528
interaction,intercept,-0.987372965072626,joint_03528
interaction,same_type_history_count,-0.5079566172793542,joint_03528
interaction,lr04_scaled,2.8575752608355716,joint_03528
interaction,co2_scaled,0.8992936194105122,joint_03528
interaction,mis6_segment,-0.24015416017348923,joint_03528
interaction,pre_phase_sin,-0.25131456130200336,joint_03528
interaction,pre_phase_cos,0.5826486253913129,joint_03528
interaction,lr04_phase_sin,-1.3446744836900788,joint_03528
