background_id,beta_sin,beta_cos,phase_amplitude,preferred_phase_deg,rate_ratio_max_vs_min,realization_id
q25,-0.45802892829425246,0.6385452403351887,0.7858311034243334,324.3481005658599,4.814644481222783,joint_01858
q50,-0.5056207520874262,0.7515379534794794,0.9057933762517689,326.06806783218354,6.120150896453578,joint_01858
q75,-0.5285353339137694,0.8059418524008051,0.9637903655082783,326.7432037673973,6.872862808571481,joint_01858
q25,-0.24147689486461282,0.6154339597187668,0.6611127358692888,338.57652199443817,3.751761532689437,joint_05740
q50,-0.3792818311473684,0.702180240154272,0.7980675391855078,331.62435222623947,4.93392628789246,joint_05740
q75,-0.44563235602425133,0.7439469677713677,0.8672054471645906,329.0779309385475,5.665589189783076,joint_05740
q25,-0.30791585347985895,0.688108231406407,0.753860140180845,335.8923568263507,4.516422871276695,joint_01950
q50,-0.4419972548540621,0.7141718872457807,0.839882764337218,328.2468511466893,5.364298049580066,joint_01950
q75,-0.5065549666268272,0.726721054872146,0.8858450348727991,325.12189046647,5.880783902319168,joint_01950
q25,0.17440068914391246,0.14761992727118328,0.22848904416059215,49.754048671738275,1.5792942788813171,joint_08028
q50,-0.2539187149434371,0.5934133858754936,0.6454565518567025,336.8341523788917,3.6361051815410623,joint_08028
q75,-0.46014657617068144,0.8080546807590526,0.9298856051462541,330.3406590603487,6.422267254683757,joint_08028
q25,-0.7171640623114097,0.5562758983486442,0.9076162004694466,307.7993230763922,6.142503535167605,joint_08732
q50,-0.566962263822769,0.648274537311015,0.8612235971714023,318.8279914630185,5.598211626591002,joint_08732
q75,-0.4946428793652746,0.6925701782928978,0.8510728699514666,324.46506706839244,5.48570566966381,joint_08732
q25,-0.17990701938310058,0.6443246522786417,0.6689699493679098,344.39931167760756,3.8111839874939832,joint_06901
q50,-0.356013057832308,0.7408614109824191,0.8219616339160674,334.33388385320717,5.175434349149553,joint_06901
q75,-0.44080485412266796,0.7873420725805346,0.9023394365057521,330.75708535942886,6.078019319056438,joint_06901
q25,-0.057506009829081633,0.491082938229997,0.4944384626898169,353.3210586457807,2.6882137118031704,joint_09322
