catalogue,model,term,beta
primary,without_precession,intercept,-0.924287662864
primary,without_precession,same_type_exponential_history,-0.355630398
primary,without_precession,lr04_scaled,0.995334371147
primary,without_precession,co2_scaled,-0.1477408474
primary,without_precession,mis6_segment,-0.193301131847
primary,without_climate,intercept,-0.909375456383
primary,without_climate,same_type_exponential_history,-0.722700113862
primary,without_climate,mis6_segment,0.0967128147665
primary,without_climate,pre_phase_sin,-0.337842615106
primary,without_climate,pre_phase_cos,0.708170444743
primary,full,intercept,-0.744959257755
primary,full,same_type_exponential_history,-0.963961282652
primary,full,lr04_scaled,2.23280930145
primary,full,co2_scaled,0.528022582715
primary,full,mis6_segment,-0.209798580539
primary,full,pre_phase_sin,-0.521198847931
primary,full,pre_phase_cos,0.836809675363
variable,without_precession,intercept,-1.61458801771
variable,without_precession,same_type_exponential_history,-0.820750851921
variable,without_precession,lr04_scaled,2.66501222377
variable,without_precession,co2_scaled,2.54818780031
variable,without_climate,intercept,-1.57296273285
variable,without_climate,same_type_exponential_history,-1.00192805534
variable,without_climate,pre_phase_sin,-0.0542043049257
variable,without_climate,pre_phase_cos,0.483478910799
variable,full,intercept,-1.61804612758
variable,full,same_type_exponential_history,-1.12936845698
variable,full,lr04_scaled,3.31772986422
variable,full,co2_scaled,2.82108720929
variable,full,pre_phase_sin,-0.261033698359
variable,full,pre_phase_cos,0.540793159613
fixed,without_precession,intercept,-1.77729355049
fixed,without_precession,same_type_exponential_history,-0.888195934981
fixed,without_precession,lr04_scaled,2.12921676491
fixed,without_precession,co2_scaled,2.10289160488
fixed,without_climate,intercept,-1.75656232618
fixed,without_climate,same_type_exponential_history,-1.1368538188
fixed,without_climate,pre_phase_sin,0.0184024049076
fixed,without_climate,pre_phase_cos,0.522922738053
fixed,full,intercept,-1.78875084239
fixed,full,same_type_exponential_history,-1.2066173359
fixed,full,lr04_scaled,2.52458774974
fixed,full,co2_scaled,2.12504687852
fixed,full,pre_phase_sin,-0.129840305149
fixed,full,pre_phase_cos,0.564947093776
