bootstrap_id,attempt_count,n_events_observation_support,n_events_response,n_events_response_NGRIP,n_events_response_MIS6,loglik_reduced,loglik_full,ll_gain_nats,LR_statistic,reduced_converged,full_converged,likelihood_nesting_ok,eta_clipping_used
1,1,59,57,31,26,-209.87200149692407,-209.2501658091748,0.6218356877492681,1.2436713754985362,True,True,True,False
2,1,48,48,24,24,-183.0155975320188,-182.05699527609414,0.9586022559246601,1.9172045118493202,True,True,True,False
3,1,60,58,40,18,-212.19698234313617,-211.98339563286402,0.21358671027215337,0.42717342054430674,True,True,True,False
4,1,64,64,38,26,-229.55920486585717,-228.98616555143235,0.5730393144248183,1.1460786288496365,True,True,True,False
5,1,45,44,32,12,-170.3279768302,-168.77906180941028,1.5489150207897069,3.0978300415794138,True,True,True,False
6,1,49,49,25,24,-184.2099935377977,-182.17903088140775,2.0309626563899315,4.061925312779863,True,True,True,False
7,1,55,52,31,21,-196.55580188568695,-195.5355251790748,1.020276706612151,2.040553413224302,True,True,True,False
8,1,51,51,30,21,-193.5012286276995,-192.73237555773346,0.7688530699660419,1.5377061399320837,True,True,True,False
9,1,56,56,36,20,-208.01641611291285,-206.0772801459322,1.9391359669806434,3.8782719339612868,True,True,True,False
10,1,63,62,50,12,-216.17610830916334,-215.99115550055802,0.18495280860531693,0.36990561721063386,True,True,True,False
11,1,64,64,41,23,-234.97013319308235,-234.51249539640708,0.4576377966752716,0.9152755933505432,True,True,True,False
12,1,48,48,30,18,-187.13167007330765,-186.6684957604719,0.46317431283574706,0.9263486256714941,True,True,True,False
13,1,55,55,35,20,-204.78630346975825,-200.77108713343108,4.015216336327171,8.030432672654342,True,True,True,False
14,1,42,42,32,10,-164.57235082712998,-164.50537811356344,0.06697271356654255,0.1339454271330851,True,True,True,False
15,1,67,67,44,23,-239.70847809617726,-239.45794320786172,0.25053488831554205,0.5010697766310841,True,True,True,False
16,1,61,61,41,20,-219.11932404226837,-217.705563765595,1.4137602766733721,2.8275205533467442,True,True,True,False
17,1,56,54,31,23,-206.45554241734266,-205.37521003624937,1.0803323810932852,2.1606647621865704,True,True,True,False
18,1,57,57,37,20,-213.9147573936956,-212.28820687074239,1.6265505229532096,3.253101045906419,True,True,True,False
19,1,55,55,34,21,-210.08124671504345,-204.96754711624172,5.11369959880173,10.22739919760346,True,True,True,False
20,1,47,47,31,16,-183.16879640831132,-183.13228570390277,0.036510704408556194,0.07302140881711239,True,True,True,False
21,1,55,55,36,19,-208.14598770516494,-205.6988446269827,2.4471430781822505,4.894286156364501,True,True,True,False
22,1,69,69,42,27,-242.27300290884517,-241.71343144168372,0.5595714671614473,1.1191429343228947,True,True,True,False
