background_id,phase_deg,rate_multiplier_point,rate_multiplier_q025,rate_multiplier_median,rate_multiplier_q975
q25,0.0,1.6555309673918825,1.3994043151327913,1.6145538429150839,1.822340773674977
q25,1.0,1.659832889681579,1.4059295873412525,1.6202622219318492,1.8269125003501159
q25,2.0,1.663889147997397,1.411292354889913,1.6237480926244392,1.8318483621914052
q25,3.0,1.6676966484690607,1.414921643868291,1.6283171324966506,1.838494466259771
q25,4.0,1.6712524759534975,1.4189959022675314,1.6327802288573743,1.844047878695383
q25,5.0,1.6745538983793016,1.4248117314343518,1.6365594432696597,1.8508714203439878
q25,6.0,1.6775983708372335,1.4303938341630225,1.6412492621996906,1.8529543210170887
q25,7.0,1.6803835394068174,1.4354262948648802,1.6436315839964597,1.858679263354015
q25,8.0,1.68290724470969,1.438780240628735,1.6458222134365508,1.8640705672343894
q25,9.0,1.685167525180994,1.4419826806308753,1.6474536074223636,1.8691628818819872
q25,10.0,1.6871626200507528,1.4454066564602772,1.6475824334893003,1.8739863317644807
q25,11.0,1.6888909720278624,1.4494940756269743,1.648573217223667,1.8775718056820156
q25,12.0,1.6903512296800416,1.4525859061539765,1.6518236427868418,1.8783336218865745
q25,13.0,1.6915422495038195,1.454649487184904,1.6560634633687155,1.8771549916758237
q25,14.0,1.6924630976794013,1.4565335656326364,1.6570420216228805,1.8745558939913205
q25,15.0,1.6931130515060242,1.4582541063611891,1.6581573884809377,1.8716023569248101
q25,16.0,1.6934916005142115,1.461931180069104,1.6623827713809427,1.8696344461586545
q25,17.0,1.6935984472521328,1.4669102369923352,1.6636993584307027,1.8696406422654048
q25,18.0,1.6934335077441,1.4689608018759186,1.6642739883985151,1.8708404857532377
q25,19.0,1.692996911620047,1.4683336882459666,1.664106299228356,1.874258873847318
q25,20.0,1.6922890019156636,1.4657975493212163,1.6633140694395512,1.8775711785798481
q25,21.0,1.6913103345436926,1.4615504699833053,1.6628996070185216,1.879191970182279
q25,22.0,1.690061677437714,1.4602407038782845,1.661918467424055,1.8790065907053555
q25,23.0,1.6885440093705606,1.4594329225605496,1.6601078030894363,1.8801516647151089
q25,24.0,1.6867585184503384,1.4591782491827214,1.6584487423737195,1.8806606529776355
q25,25.0,1.6847066002978055,1.4580194893967475,1.659122178451816,1.8815939218276163
q25,26.0,1.682389855909666,1.4562327047322103,1.6563153049785495,1.8821305478710486
q25,27.0,1.6798100892131071,1.4531091427576384,1.6543528403109433,1.8795026983521979
q25,28.0,1.676969304317655,1.4496431033586763,1.653002748824648,1.8785189809759162
q25,29.0,1.6738697024711633,1.4462619555573342,1.6505178782911383,1.877735249866033
q25,30.0,1.670513678727451,1.4436734655994758,1.6485024852668775,1.8773220988987973
q25,31.0,1.6669038183337876,1.440928750941362,1.6456349364210197,1.8762958772665022
q25,32.0,1.6630428928470815,1.4379774264815692,1.6407417509551305,1.8741932258730296
q25,33.0,1.6589338559882387,1.4344500167471557,1.6359060813111663,1.8717347430120073
q25,34.0,1.654579839244753,1.430719723443379,1.6321626651172987,1.8689225828997953
q25,35.0,1.649984147232142,1.4285932328358508,1.6284768498759208,1.8657592045215297
q25,36.0,1.6451502528253559,1.426170165732714,1.62236488429079,1.862247367418449
q25,37.0,1.640081792071764,1.4228197176415005,1.618584885752914,1.8583901269744219
q25,38.0,1.63478255889777,1.41895479397208,1.6139839580936144,1.8541908292146472
q25,39.0,1.6292564996214887,1.4173828882025834,1.6079098066334292,1.849653105130773
q25,40.0,1.6235077072842954,1.415380737436065,1.601852238097826,1.844780864547923
q25,41.0,1.617540415814352,1.4100840713465836,1.5954797471844058,1.8395782895502755
q25,42.0,1.6113589940354958,1.40543144038018,1.5918030824196356,1.8340498274829637
q25,43.0,1.6049679395351026,1.401708899113075,1.5877863146226505,1.8282001835490862
q25,44.0,1.59837187240472,1.3987089023854984,1.5828772254749923,1.8220343130215948
