model_id,term,beta,fit_valid,invalid_reason,realization_id
interaction,lr04_phase_sin,-1.834560811637658,True,,Barker_MC_06901
interaction,lr04_phase_cos,-0.18667878260881332,True,,Barker_MC_06901
full,intercept,-1.6032124468519593,True,,Barker_MC_09322
full,same_type_exponential_history,-0.9937902152913921,True,,Barker_MC_09322
full,lr04_scaled,2.040751047816472,True,,Barker_MC_09322
full,co2_scaled,1.2722172848374853,True,,Barker_MC_09322
full,pre_phase_sin,-0.25775952555946086,True,,Barker_MC_09322
full,pre_phase_cos,0.48575843351173775,True,,Barker_MC_09322
interaction,intercept,-1.539369329033632,True,,Barker_MC_09322
interaction,same_type_exponential_history,-1.156739635555694,True,,Barker_MC_09322
interaction,lr04_scaled,1.5923204070809582,True,,Barker_MC_09322
interaction,co2_scaled,1.0232273932400233,True,,Barker_MC_09322
interaction,pre_phase_sin,-0.18066143517010166,True,,Barker_MC_09322
interaction,pre_phase_cos,0.4875079688756415,True,,Barker_MC_09322
interaction,lr04_phase_sin,-1.8338593150611036,True,,Barker_MC_09322
interaction,lr04_phase_cos,-0.4983109416796291,True,,Barker_MC_09322
full,intercept,-1.6183867275652186,True,,Barker_MC_03459
full,same_type_exponential_history,-1.1355286533019855,True,,Barker_MC_03459
full,lr04_scaled,3.351667636344698,True,,Barker_MC_03459
full,co2_scaled,2.7575677299346095,True,,Barker_MC_03459
full,pre_phase_sin,-0.19226963011427012,True,,Barker_MC_03459
full,pre_phase_cos,0.5624331880172383,True,,Barker_MC_03459
interaction,intercept,-1.516124526982685,True,,Barker_MC_03459
interaction,same_type_exponential_history,-1.4173093585521925,True,,Barker_MC_03459
interaction,lr04_scaled,3.001051958229963,True,,Barker_MC_03459
interaction,co2_scaled,2.6913267549296434,True,,Barker_MC_03459
interaction,pre_phase_sin,-0.05746898723809445,True,,Barker_MC_03459
interaction,pre_phase_cos,0.5409558045053836,True,,Barker_MC_03459
interaction,lr04_phase_sin,-2.5739983016261,True,,Barker_MC_03459
interaction,lr04_phase_cos,0.08463741246301386,True,,Barker_MC_03459
full,intercept,-1.6561393530049802,True,,Barker_MC_05927
full,same_type_exponential_history,-0.9309447302510417,True,,Barker_MC_05927
full,lr04_scaled,3.2279786355980433,True,,Barker_MC_05927
