background_id,beta_sin,beta_cos,phase_amplitude,preferred_phase_deg,rate_ratio_max_vs_min,realization_id
q25,0.1391321834771673,0.36364249400722615,0.38935026380743554,20.937203244218594,2.1786393435808082,Barker_MC_01858
q50,-0.20607902120685845,0.5032197288146092,0.5437818114371109,337.7298724068805,2.967036439628716,Barker_MC_01858
q75,-0.4419068567369444,0.5985706233605383,0.7440218149902258,323.5626529364738,4.428423404055218,Barker_MC_01858
q25,0.23691514882027423,0.5006631443967778,0.5538884110520832,25.32363876773834,3.027619969059703,Barker_MC_05740
q50,-0.20725128677737623,0.5219661793851477,0.5616064354090028,338.344010044802,3.074717019417151,Barker_MC_05740
q75,-0.5106794713230741,0.5365191503297823,0.7407066363287196,316.4134894353018,4.399158500104863,Barker_MC_05740
q25,0.10013058979465403,0.5587405711927038,0.5676417540221774,10.159994591273314,3.1120557106768456,Barker_MC_01950
q50,-0.22235508388994693,0.5278647306216835,0.572785262699738,337.157472414712,3.1442347109780058,Barker_MC_01950
q75,-0.4426581835072122,0.5067721862510555,0.672877638344134,318.8632566001595,3.841086528428029,Barker_MC_01950
q25,0.09909646873376429,0.4356918332269643,0.44681929642325746,12.813718902969082,2.4440062359647894,Barker_MC_08028
q50,-0.28880275688736384,0.5117326200477652,0.5876030180374265,330.5612420330183,3.238810186835626,Barker_MC_08028
q75,-0.5537925183458804,0.5636791789213914,0.7902027398872812,315.50690245349466,4.856924796790215,Barker_MC_08028
q25,0.10195587468429473,0.46980413181223685,0.4807399740509304,12.244339448727525,2.615564510202445,Barker_MC_08732
q50,-0.19308459284417626,0.582674875943014,0.6138335857942347,341.6660317081489,3.4132576969070394,Barker_MC_08732
q75,-0.39463875420087347,0.6597814788627977,0.7687986382451505,329.11485618727335,4.653396004030555,Barker_MC_08732
q25,0.12105775885473069,0.5668679090855764,0.5796500731734479,12.054749612997675,3.187701570684425,Barker_MC_06901
q50,-0.24613712975811014,0.5295033832810413,0.5839155072025661,335.0688632253652,3.2150117563619864,Barker_MC_06901
q75,-0.4969829152491636,0.5039781537214827,0.7078036433065824,315.40040629836284,4.1189871123249935,Barker_MC_06901
q25,0.12142265591989868,0.569592677697745,0.582391002555439,12.033872608117306,3.2052240845693896,Barker_MC_09322
q50,-0.24563182526918376,0.4698536940871266,0.5301862761637555,332.40016759398947,2.88744651383022,Barker_MC_09322
q75,-0.4963816927298025,0.4017179316793218,0.6385703418653393,308.9829833921066,3.5863704835889183,Barker_MC_09322
q25,0.3665351503901057,0.5270138321817067,0.6419436079457023,34.818395567533194,3.6106478493277323,Barker_MC_03459
q50,-0.14866119178593912,0.543954358243687,0.5639029116749772,344.71449306271643,3.0888715293499347,Barker_MC_03459
q75,-0.5006127988017133,0.5555271216410816,0.7478125147407669,317.97643149023963,4.462124640889281,Barker_MC_03459
