model_id,terms,n_parameters,converged,fit_valid,invalid_reason,log_likelihood,AIC,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,n_events,exposure_kyr,fit_status,realization_id
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-182.28794938240623,376.57589876481245,340.22056575477666,2.3830367115819384,69,396.572980392136,finite_mle,Barker_MC_09031
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-178.82729996824463,373.65459993648926,354.09930987461667,2.2097595382704665,69,396.572980392136,finite_mle,Barker_MC_09031
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-179.63800078689928,371.27600157379857,348.4204695921111,2.908968085637529,69,396.47022405901924,finite_mle,Barker_MC_09715
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-176.730417903383,369.460835806766,0.07233233735092945,2.788512730384797,69,396.47022405901924,finite_mle,Barker_MC_09715
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-180.53293921046435,373.0658784209287,344.4786566627768,3.0179773988629313,69,396.2119717722741,finite_mle,Barker_MC_04692
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-178.07742949724474,372.1548589944895,355.5792216248577,2.710682167261133,69,396.2119717722741,finite_mle,Barker_MC_04692
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-179.69500438103796,371.3900087620759,331.18175177076216,2.920256422742699,69,395.49484798986106,finite_mle,Barker_MC_05576
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-178.0823922594864,372.1647845189728,338.71210556568786,2.632389304431824,69,395.49484798986106,finite_mle,Barker_MC_05576
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-182.06633582941106,376.1326716588221,330.8548785574075,3.0204854119249065,69,396.99024046274195,finite_mle,Barker_MC_07078
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-180.8122066043294,377.6244132086588,336.4255888190791,2.825011308502782,69,396.99024046274195,finite_mle,Barker_MC_07078
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-179.95945077520935,371.9189015504187,338.9915023977895,2.8440009699844,69,396.2042164345781,finite_mle,Barker_MC_07555
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-177.19356380055638,370.38712760111275,350.46537676976095,2.5577449325446517,69,396.2042164345781,finite_mle,Barker_MC_07555
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-175.72530615362143,363.45061230724286,332.4344919949983,3.556684840441438,69,396.3423597662495,finite_mle,Barker_MC_01828
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-173.98008312807423,363.96016625614845,336.97887652789,3.0144992867405898,69,396.3423597662495,finite_mle,Barker_MC_01828
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-179.88696679911885,371.7739335982377,334.42602190351886,2.821899086737982,69,395.39669546229754,finite_mle,Barker_MC_03544
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-177.74453509296401,371.48907018592803,343.4120907297443,2.492306601176243,69,395.39669546229754,finite_mle,Barker_MC_03544
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-179.76959075732208,371.53918151464416,333.81212420327967,3.650900978918578,69,397.3826441786494,finite_mle,Barker_MC_06198
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-178.12769865911423,372.25539731822846,338.6264499746005,3.3136773573902643,69,397.3826441786494,finite_mle,Barker_MC_06198
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-178.8466300502368,369.6932601004736,340.1613915277637,2.9930332577906475,69,395.95032151293594,finite_mle,Barker_MC_03528
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-176.49196284390172,368.98392568780343,350.09346117406574,2.6486022298281426,69,395.95032151293594,finite_mle,Barker_MC_03528
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-177.66898449593467,367.33796899186933,330.8883619780719,2.9451014815342593,69,396.22793404260614,finite_mle,Barker_MC_03251
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-174.27948951443727,364.55897902887455,341.4322036903962,2.4360514676093534,69,396.22793404260614,finite_mle,Barker_MC_03251
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-180.3147988040222,372.6295976080444,339.8297412097773,3.053306144294244,69,396.3869331281032,finite_mle,Barker_MC_09511
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-178.1228065961474,372.2456131922948,349.796846045733,2.786836857642136,69,396.3869331281032,finite_mle,Barker_MC_09511
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-178.7655678726391,369.5311357452782,333.1494818837838,3.1349669789718244,69,396.91260376195305,finite_mle,Barker_MC_03335
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-175.72345043570118,367.44690087140236,342.2470522322718,2.7265990050665834,69,396.91260376195305,finite_mle,Barker_MC_03335
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-181.3051306513426,374.6102613026852,334.1192286104074,3.230275435361578,69,397.41266613868953,finite_mle,Barker_MC_08888
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-179.05620402866765,374.1124080573353,340.79453829202026,2.892398879833301,69,397.41266613868953,finite_mle,Barker_MC_08888
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-178.6231836412042,369.2463672824084,347.6052734822216,3.294477767251521,69,396.3534089563684,finite_mle,Barker_MC_07321
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-176.79276116488467,369.58552232976933,356.44190136521416,2.9775732451205017,69,396.3534089563684,finite_mle,Barker_MC_07321
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-178.1269830753893,368.2539661507786,337.53708698592783,2.9335708036094705,69,395.69709406096985,finite_mle,Barker_MC_09045
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-175.72323051299355,367.4464610259871,347.20579699032265,2.5384094888317716,69,395.69709406096985,finite_mle,Barker_MC_09045
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-178.2185087705103,368.4370175410206,333.43681331798183,3.068089385405603,69,397.361499121763,finite_mle,Barker_MC_05292
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-175.53671815434097,367.07343630868195,341.5659569129979,2.6313505121915655,69,397.361499121763,finite_mle,Barker_MC_05292
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-179.65176598252793,371.30353196505587,343.0924242918063,3.319517068443264,69,397.09441342774915,finite_mle,Barker_MC_06980
