realization_id,ngrip_realization_id,mis6_realization_id,fit_valid,invalid_reason,n_predictive_events,LR_statistic,nominal_LR_p,info_bits_per_event,delta_AICc_full_minus_reduced,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,all_models_converged,likelihood_nesting_ok,eta_clipping_used
joint_07073,NGRIP_08023,4383,True,,55,12.2795845,0.0021553714,0.161051778,-8.22120362,335.531251,4.50256858,True,True,False
joint_07074,NGRIP_05249,1881,True,,55,14.2056896,0.000822761,0.186313436,-10.1473088,328.608043,5.04089137,True,True,False
joint_07075,NGRIP_01883,7899,True,,55,11.3321838,0.00346136625,0.148626231,-7.27380297,340.088634,4.27385729,True,True,False
joint_07076,NGRIP_09472,4446,True,,55,9.7003807,0.00782688758,0.127224465,-5.64199987,322.355598,3.73150887,True,True,False
joint_07077,NGRIP_09211,6037,True,,55,14.3964865,0.00074789853,0.188815815,-10.3381057,336.163983,5.2621136,True,True,False
joint_07078,NGRIP_07039,9347,True,,55,14.0221576,0.000901835155,0.183906339,-9.96377679,330.897729,5.11283679,True,True,False
joint_07079,NGRIP_08285,1939,True,,55,10.9371132,0.00421731507,0.143444718,-6.87873236,342.195502,4.12236076,True,True,False
joint_07080,NGRIP_08743,2591,True,,55,10.7818974,0.00455764736,0.141409,-6.72351661,334.568404,4.04114076,True,True,False
joint_07081,NGRIP_01672,7065,True,,55,11.901563,0.0026038049,0.156093871,-7.84318213,328.363225,4.40614527,True,True,False
joint_07082,NGRIP_00883,3405,True,,55,14.1035199,0.00086588372,0.184973438,-10.045139,328.607543,5.01294488,True,True,False
joint_07083,NGRIP_07858,9054,True,,55,7.86634026,0.0195814982,0.103170273,-3.80795943,338.742006,3.2790508,True,True,False
joint_07084,NGRIP_07378,4943,True,,55,10.7348804,0.00466606021,0.140792352,-6.67649958,338.160815,4.05741335,True,True,False
joint_07085,NGRIP_08017,545,True,,55,10.3965061,0.0055262099,0.136354435,-6.33812531,326.482829,3.87378832,True,True,False
joint_07086,NGRIP_09508,6456,True,,55,12.3635564,0.0020667495,0.162153104,-8.30517557,337.989964,4.60139593,True,True,False
joint_07087,NGRIP_09999,7552,True,,55,10.5418484,0.00513885901,0.138260658,-6.48346759,344.12594,4.0104112,True,True,False
joint_07088,NGRIP_02483,5664,True,,55,13.3918748,0.00123592279,0.175639921,-9.33349395,324.866336,4.84685838,True,True,False
joint_07089,NGRIP_07549,7344,True,,55,15.2551446,0.000486841324,0.200077468,-11.1967638,330.693628,5.48165316,True,True,False
joint_07090,NGRIP_04087,5347,True,,55,13.9001866,0.000958545717,0.182306639,-9.84180577,322.880178,5.0063688,True,True,False
joint_07091,NGRIP_04111,7733,True,,55,14.5152292,0.00070478722,0.190373175,-10.4568484,324.102789,5.09093337,True,True,False
joint_07092,NGRIP_04844,7625,True,,55,16.3732797,0.000278347608,0.214742267,-12.3148988,333.043033,5.96947453,True,True,False
joint_07093,NGRIP_08848,1348,True,,55,12.7162488,0.00173261338,0.166778809,-8.65786794,328.284216,4.58455918,True,True,False
joint_07094,NGRIP_08413,4558,True,,55,11.0872821,0.0039122562,0.145414244,-7.02890125,340.822667,4.15718925,True,True,False
joint_07095,NGRIP_07911,7535,True,,55,9.70497699,0.0078089209,0.127284747,-5.64659616,326.74104,3.72684766,True,True,False
joint_07096,NGRIP_00292,3841,True,,55,8.95577715,0.0113573681,0.117458684,-4.89739633,323.944999,3.57859809,True,True,False
joint_07097,NGRIP_02421,1315,True,,55,14.4244703,0.000737506879,0.189182834,-10.3660895,326.940558,5.23428738,True,True,False
