realization_id,ngrip_realization_id,mis6_realization_id,fit_valid,invalid_reason,n_response_events,n_conditioning_events,response_exposure_kyr,gain_bits_per_event,LR_statistic,nominal_LR_p,delta_AIC_full_minus_reduced,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,pre_phase_amplitude,beta_history,beta_pre_phase_sin,beta_pre_phase_cos,all_models_converged,likelihood_nesting_ok
joint_00001,NGRIP_08883,7164,True,,53.0,2.0,166.451093,0.1894560721704904,13.920019880083316,0.0009490871405282715,-9.920019880083316,330.8181376878029,5.17529952287384,0.8219486081463598,-0.6837714214028304,-0.4007684151326363,0.7176239905868623,True,True
joint_00002,NGRIP_07918,4635,True,,53.0,2.0,164.17361799999998,0.22594924675048964,16.601304833483,0.0002483547434481983,-12.601304833482999,323.6515521794206,6.359408713222792,0.924967701705515,-0.9045998286502708,-0.5482232131142497,0.7449943340731326,True,True
joint_00003,NGRIP_06780,8570,True,,53.0,2.0,168.326597,0.2052028042960114,15.0769889955221,0.0005321982446261526,-11.0769889955221,337.2173610720066,5.840324988225079,0.882393221980242,-0.8863928628886707,-0.3416946307266511,0.813549370062598,True,True
joint_00004,NGRIP_01851,572,True,,53.0,2.0,162.694817,0.235096305176654,17.27337215588537,0.00017747406401638058,-13.273372155885369,323.7008814171459,6.824779265175239,0.9602799992245702,-0.8747459249010489,-0.5684865091601305,0.7739255557310853,True,True
joint_00005,NGRIP_07225,890,True,,53.0,2.0,166.508898,0.27084494328281317,19.899953333372423,4.772874759365355e-05,-15.899953333372423,337.13592512010115,8.226663930178198,1.0536902888663302,-1.0037208198397882,-0.40940744172099625,0.9709010101522604,True,True
joint_00006,NGRIP_09194,7596,True,,53.0,2.0,165.81615499999998,0.21267239307815636,15.625806582376413,0.0004044820123972121,-11.625806582376413,333.9783424774227,6.066102928525025,0.9013581886137242,-0.7879394467685309,-0.39543562175765806,0.8099859586598698,True,True
joint_00007,NGRIP_08323,3185,True,,53.0,2.0,163.796107,0.21629039689724847,15.891634351901047,0.00035414037780938905,-11.891634351901047,323.45415188489915,6.005366704398934,0.8963267600892633,-0.8967504104322302,-0.5337319697618977,0.7200915534195638,True,True
joint_00008,NGRIP_07443,6835,True,,53.0,2.0,168.251013,0.1929002906002314,14.173079011226918,0.0008362863282486909,-10.173079011226918,334.3599193136433,5.315133029457727,0.8352790202707048,-0.7419791670155199,-0.36143902328209215,0.7530291323403602,True,True
joint_00009,NGRIP_05806,1501,True,,53.0,2.0,165.573013,0.20993804117643192,15.424903901374478,0.00044722356154771405,-11.424903901374478,332.92002336108317,6.098462985290201,0.9040183849025145,-1.1298730377165354,-0.4115397007334697,0.8049126132456598,True,True
joint_00010,NGRIP_06364,6455,True,,53.0,2.0,164.13711999999998,0.22614097265281213,16.615391625958324,0.00024661162851341513,-12.615391625958324,325.92678426388807,6.427409200545894,0.9302857666720723,-0.7356650121696894,-0.5211943096936266,0.7705764720101629,True,True
joint_00011,NGRIP_07263,1545,True,,53.0,2.0,161.665086,0.2088475334418954,15.344780371047761,0.0004655038523651235,-11.344780371047761,315.0384050154578,5.829577608507543,0.8814722731833774,-0.994228099680494,-0.6228770909117906,0.6237126726372775,True,True
joint_00012,NGRIP_07332,6319,True,,53.0,2.0,158.646599,0.20332784782481667,14.939229191603886,0.0005701479919688544,-10.939229191603886,307.2651746105546,5.941947769275303,0.8910184934550569,-0.9859849275867453,-0.7091096408180528,0.5395159617451659,True,True
joint_00013,NGRIP_09025,2677,True,,53.0,2.0,158.001928,0.1639813607443199,12.048301093616715,0.002419606036723603,-8.048301093616715,299.7922880831173,4.710822169858541,0.7749312255755837,-0.696718907688103,-0.6725103767992265,0.385030125405063,True,True
joint_00014,NGRIP_06753,605,True,,53.0,2.0,166.55102399999998,0.2643431622140828,19.42224406443313,6.0605674405600626e-05,-15.42224406443313,336.294097544088,7.928942466709835,1.035259834102572,-0.9472815170648718,-0.41621804147675456,0.9479058318500523,True,True
joint_00015,NGRIP_04606,6003,True,,53.0,2.0,167.99557299999998,0.1970255218020321,14.476174603155641,0.0007186850741301861,-10.476174603155641,338.182496415466,5.4321069028638584,0.8461635351329782,-0.8156534710737944,-0.3144779184451617,0.7855548147641493,True,True
joint_00016,NGRIP_02394,584,True,,53.0,2.0,160.519883,0.24154677142277706,17.74731114001588,0.0001400297623116901,-13.747311140015881,323.1167595983559,7.2232864780683785,0.9886550201024978,-0.8608762678678668,-0.5933771824212403,0.7907858548024873,True,True
joint_00017,NGRIP_05846,1629,True,,53.0,2.0,169.28272800000002,0.1444470376281175,10.613044028449593,0.0049591445929124105,-6.613044028449593,339.05153470882516,4.163022516142979,0.7131206884160622,-0.7351504915503663,-0.25496068156051344,0.6659851102728926,True,True
joint_00018,NGRIP_09495,3756,True,,53.0,2.0,163.137296,0.2877304792724488,21.140594469699124,2.5667184880079196e-05,-17.140594469699124,322.84491324989824,8.610805243728613,1.07650891915455,-1.0097219428574662,-0.6501839814508008,0.8579814935557073,True,True
joint_00019,NGRIP_07493,3618,True,,53.0,2.0,160.62967700000002,0.30792195956237683,22.62413523893443,1.2224509825666413e-05,-18.62413523893443,323.15514158657686,10.238967186380119,1.163100376909756,-1.0137554931748418,-0.6974535237642466,0.9307851894806084,True,True
joint_00020,NGRIP_06948,830,True,,53.0,2.0,167.897477,0.22001586504069598,16.16535791233008,0.00030884255052200736,-12.16535791233008,337.25978207025565,6.263380167918651,0.9173600011553922,-0.8473245363318751,-0.3546087276868827,0.8460508388791488,True,True
