realization_id,ngrip_realization_id,mis6_realization_id,age_kyr_bp__NGRIP:GI-1,age_kyr_bp__NGRIP:GI-2.1,age_kyr_bp__NGRIP:GI-2.2,age_kyr_bp__NGRIP:GI-3,age_kyr_bp__NGRIP:GI-4,age_kyr_bp__NGRIP:GI-5.1,age_kyr_bp__NGRIP:GI-5.2,age_kyr_bp__NGRIP:GI-6,age_kyr_bp__NGRIP:GI-7,age_kyr_bp__NGRIP:GI-8,age_kyr_bp__NGRIP:GI-9,age_kyr_bp__NGRIP:GI-10,age_kyr_bp__NGRIP:GI-11,age_kyr_bp__NGRIP:GI-12,age_kyr_bp__NGRIP:GI-13,age_kyr_bp__NGRIP:GI-14,age_kyr_bp__NGRIP:GI-15.1,age_kyr_bp__NGRIP:GI-15.2,age_kyr_bp__NGRIP:GI-16.1,age_kyr_bp__NGRIP:GI-16.2,age_kyr_bp__NGRIP:GI-17.1,age_kyr_bp__NGRIP:GI-17.2,age_kyr_bp__NGRIP:GI-18,age_kyr_bp__NGRIP:GI-19.1,age_kyr_bp__NGRIP:GI-19.2,age_kyr_bp__NGRIP:GI-20,age_kyr_bp__NGRIP:GI-21.1,age_kyr_bp__NGRIP:GI-21.2,age_kyr_bp__NGRIP:GI-22,age_kyr_bp__NGRIP:GI-23.1,age_kyr_bp__NGRIP:GI-23.2,age_kyr_bp__NGRIP:GI-24.1,age_kyr_bp__NGRIP:GI-24.2,age_kyr_bp__NGRIP:GI-25,age_kyr_bp__MIS6:MIS6_DO_01,age_kyr_bp__MIS6:MIS6_DO_02,age_kyr_bp__MIS6:MIS6_DO_03,age_kyr_bp__MIS6:MIS6_DO_04,age_kyr_bp__MIS6:MIS6_DO_05,age_kyr_bp__MIS6:MIS6_DO_06,age_kyr_bp__MIS6:MIS6_DO_07,age_kyr_bp__MIS6:MIS6_DO_08,age_kyr_bp__MIS6:MIS6_DO_09,age_kyr_bp__MIS6:MIS6_DO_10,age_kyr_bp__MIS6:MIS6_DO_11,age_kyr_bp__MIS6:MIS6_DO_12,age_kyr_bp__MIS6:MIS6_DO_13,age_kyr_bp__MIS6:MIS6_DO_14,age_kyr_bp__MIS6:MIS6_DO_15,age_kyr_bp__MIS6:MIS6_DO_16,age_kyr_bp__MIS6:MIS6_DO_17,age_kyr_bp__MIS6:MIS6_DO_18,age_kyr_bp__MIS6:MIS6_DO_19,age_kyr_bp__MIS6:MIS6_DO_20,age_kyr_bp__MIS6:MIS6_DO_21
joint_01817,NGRIP_01150,5696,14.570606,23.227268,23.597511,28.141702,29.284293,31.303332,33.165143,34.591984,36.498698,39.43121,41.435247,42.821002,44.719449,48.132763,50.297691,55.400606,56.204425,56.962732,59.149261,59.349415,60.15506,60.504711,64.69817,69.444355,71.40587,74.547516,81.770283,82.045818,87.137233,97.972316,98.336654,100.283567,101.754211,109.318228,135.042416,138.432657,146.286496,146.887679,148.490122,149.520581,150.509222,151.157005,159.577692,160.903972,165.045933,168.738262,169.805315,171.599165,172.435957,174.897835,177.365227,180.081632,180.518666,191.571586,194.146736
joint_01818,NGRIP_01419,8188,14.730529,22.740071,23.038949,27.49646,28.612901,30.410925,32.023693,33.112404,34.881665,37.99794,40.230772,41.647998,43.615297,47.207663,49.604617,53.899435,54.546892,55.188371,57.116949,57.376001,58.052225,58.308827,63.240897,69.781424,72.672143,77.103118,84.939084,85.225414,90.574442,104.809705,105.203865,107.478825,109.134934,116.187053,134.676888,138.224792,146.080242,146.656512,148.209664,149.196118,150.245595,150.92516,159.281406,160.773782,164.783099,167.856107,169.104418,170.721946,172.041017,174.107781,176.281701,179.393406,179.923526,191.222292,193.822051
joint_01819,NGRIP_09587,9135,14.501754,22.953115,23.244844,28.055179,29.337027,31.402971,33.255606,34.667268,36.519708,39.537483,41.638869,43.051642,45.096673,48.566473,50.681088,55.355431,56.136415,57.02582,59.470177,59.778134,60.643438,61.0324,66.030243,71.372111,74.137086,78.259867,85.922358,86.237202,92.248695,106.038487,106.481517,108.57286,110.071588,116.860248,134.094062,137.866395,145.779641,146.306822,147.760154,148.626981,149.834935,150.557219,158.782465,160.547398,164.475728,166.27852,167.944543,170.268859,171.408476,172.81544,177.179218,180.106795,180.558956,190.895168,194.302346
joint_01820,NGRIP_02212,88,14.695059,23.214645,23.512486,28.088645,29.191824,31.103449,32.783158,34.026518,35.782057,38.473781,40.42576,41.812489,43.779138,47.521576,50.059665,55.733471,56.643188,57.541171,60.001255,60.312299,61.198373,61.562634,65.995366,71.147635,73.59109,77.578091,84.657313,84.880654,90.304294,105.716713,106.168241,108.434374,110.143432,118.168686,135.43869,138.682759,146.487659,147.123003,148.795315,149.91054,150.789841,151.408161,159.919708,161.06284,165.289648,169.662142,170.600363,171.811073,172.867459,175.784713,176.802019,180.10419,180.561219,191.461156,193.907714
joint_01821,NGRIP_05595,2543,14.61655,23.265197,23.585762,28.284429,29.432828,31.586783,33.32268,34.691158,36.502622,39.37953,41.418283,42.773667,44.664721,48.164248,50.516905,55.342062,56.102628,56.914659,59.254969,59.453929,60.351693,60.676642,65.433288,70.744181,73.353476,77.371383,86.681299,86.996266,93.455037,106.954396,107.414755,109.812318,111.28293,121.001189,134.841883,138.323981,146.168482,146.757548,148.336508,149.350852,150.363471,151.029771,159.419653,160.836387,164.892811,168.247269,169.428419,170.957835,172.220013,174.470981,176.287353,179.707136,180.237063,190.622298,193.335718
joint_01822,NGRIP_02805,4901,14.659307,22.947761,23.287008,27.378398,28.47053,30.304764,31.988352,33.246061,34.954979,37.658566,39.619537,40.900143,42.802894,46.173323,48.516319,53.158654,53.90494,54.725885,57.031481,57.255666,58.08912,58.436927,62.726418,67.806344,70.645684,74.963455,83.193677,83.517856,88.858086,103.110666,103.415167,105.865227,107.66555,114.936627,134.156832,137.900899,145.829669,146.349229,147.807413,148.663135,149.857641,150.601447,158.819733,160.211366,164.511851,166.382306,168.056506,170.323871,171.472799,172.942029,177.102742,179.46736,179.891046,190.365397,195.489778
joint_01823,NGRIP_03665,5174,14.674224,22.940841,23.287266,27.981352,29.230617,31.411458,33.215618,34.60348,36.505704,39.364603,41.393704,42.547515,44.214109,47.702071,50.26408,55.945635,56.827799,57.694388,59.920593,60.173283,60.924479,61.312779,66.37858,72.127293,75.224481,79.886546,87.834633,88.153305,93.185087,106.799112,107.265842,109.943023,111.878303,119.708666,136.03346,139.018699,146.834417,147.49808,149.253411,150.43913,151.196361,151.786147,160.399021,161.262232,165.636575,171.351619,171.730618,172.968171,173.501691,177.051079,177.263622,179.563394,179.981182,190.915656,194.020627
joint_01824,NGRIP_04215,4683,14.687405,22.572095,22.85134,27.25776,28.32872,30.357782,32.003759,33.290263,34.998789,37.518289,39.302934,40.592011,42.435289,45.983731,48.540905,52.992855,53.66767,54.30488,55.926037,56.101035,56.716703,56.985393,62.104013,67.810955,70.399355,74.449972,82.624648,82.848812,88.237139,103.395156,103.773053,106.036502,107.636395,114.269297,134.735871,138.245799,146.139687,146.70371,148.25358,149.211123,150.270707,150.966989,159.307027,160.535614,164.858888,167.915602,169.190164,171.139778,172.09882,174.209888,176.26095,179.49494,180.071975,190.695561,194.348655
joint_01825,NGRIP_00606,6369,14.561173,22.890538,23.208168,27.911514,29.078396,31.063956,32.985152,34.257056,36.099224,38.772807,40.667265,41.760697,43.374263,46.787232,49.356034,54.949475,55.894338,56.555049,58.474768,58.704828,59.395248,59.692173,63.932622,69.596139,72.616548,76.93962,85.077564,85.364419,89.90045,103.172443,103.546615,105.524462,106.96761,112.351141,135.895233,138.941873,146.742292,147.410021,149.146553,150.32416,151.115582,151.696368,160.292807,161.224625,165.558696,170.95021,171.478633,172.795455,173.35993,176.770451,177.269174,179.589996,180.027198,190.479954,194.074102
joint_01826,NGRIP_00599,7496,14.663872,23.130798,23.404895,28.177725,29.389482,31.517536,33.358349,34.717027,36.552419,39.06586,40.935489,42.378413,44.47589,48.187188,50.569919,55.346418,56.140174,56.966643,59.230277,59.443394,60.291094,60.649767,65.483101,71.523442,73.866437,77.658541,86.750781,87.066878,91.935776,105.567437,106.120355,108.51042,110.280305,117.914319,134.754435,138.27141,146.121714,146.703998,148.26928,149.268842,150.300996,150.974327,159.346381,160.803206,164.834663,168.039951,169.256696,170.832812,172.125144,174.278483,176.530983,179.95226,180.473833,191.297748,194.584688
