statistic,observed,n_bootstrap,n_valid,n_invalid,n_exceeding,bootstrap_p,bootstrap_p_lower_bound,bootstrap_p_upper_bound,bootstrap_p_mc_se,exceedance_probability_ci95_low,exceedance_probability_ci95_high,status,bootstrap_p_holm,catalogue_id,n_response_events,response_exposure_kyr,calibration
ks_uniform,0.10646482466,5000,5000,0,833,0.166766646671,0.166766646671,0.166766646671,0.00527119999013,0.156368623545,0.177222181872,ok,0.166766646671,ngrip_warming_plus_mis6,53,165.058,"simulate nominal full model, refit full, recompute statistics"
adjacent_dependence,0.15693044976,5000,5000,0,404,0.0809838032394,0.0809838032394,0.0809838032394,0.00385773365445,0.0733924422849,0.0887011951439,ok,0.161967606479,ngrip_warming_plus_mis6,53,165.058,"simulate nominal full model, refit full, recompute statistics"
