replicate_id,seed,fit_valid,invalid_reason,n_response_events,LR_history,beta_history,response_status
1,20260914,True,,49,2.84217094304e-14,0,finite_mle
2,20260914,True,,54,0.00243675223209,-0.0114463803028,finite_mle
3,20260914,True,,50,0.862406977188,-0.272158546625,finite_mle
4,20260914,True,,47,0.124763689846,-0.101399241349,finite_mle
5,20260914,True,,67,0,0,finite_mle
6,20260914,True,,66,3.00928038339,-0.446542579571,finite_mle
7,20260914,True,,68,12.247647188,-0.9675718264,finite_mle
8,20260914,True,,62,0.324989553376,-0.134455411477,finite_mle
9,20260914,True,,51,4.10840803188,-0.547098332139,finite_mle
10,20260914,True,,48,0.449079432437,-0.200928421304,finite_mle
11,20260914,True,,52,0.626297824449,-0.207543520896,finite_mle
12,20260914,True,,56,5.99565638131,-0.761200293775,finite_mle
13,20260914,True,,59,2.56652769256,-0.406376437007,finite_mle
14,20260914,True,,58,0,0,finite_mle
15,20260914,True,,37,0.377162607136,-0.241513888687,finite_mle
16,20260914,True,,57,0.379597960137,-0.155193500671,finite_mle
17,20260914,True,,59,0.924070801118,-0.210573939062,finite_mle
18,20260914,True,,52,3.02236441685,-0.464319848076,finite_mle
19,20260914,True,,52,0.0852940999751,-0.0756934153411,finite_mle
20,20260914,True,,50,3.81141490692,-0.588505933614,finite_mle
21,20260914,True,,47,0.504326239499,-0.22668454919,finite_mle
22,20260914,True,,56,1.05383743654,-0.234085776813,finite_mle
23,20260914,True,,51,0.670848973115,-0.235047610653,finite_mle
24,20260914,True,,52,3.10406336822,-0.565392245031,finite_mle
25,20260914,True,,52,0.155711983625,-0.088829168856,finite_mle
26,20260914,True,,53,0,0,finite_mle
27,20260914,True,,62,1.18440497224,-0.283227216246,finite_mle
28,20260914,True,,45,0.96416672021,-0.326393004031,finite_mle
29,20260914,True,,55,2.50151656278,-0.454985601137,finite_mle
30,20260914,True,,54,0.687046764894,-0.204518712514,finite_mle
31,20260914,True,,49,0.0870434986824,-0.0838475926036,finite_mle
32,20260914,True,,44,1.76533555472,-0.492856103333,finite_mle
33,20260914,True,,62,0.570096116103,-0.171108463256,finite_mle
34,20260914,True,,61,1.5260958911,-0.267026966846,finite_mle
35,20260914,True,,54,0.241603682627,-0.116953464605,finite_mle
36,20260914,True,,55,1.4731750655,-0.353467516964,finite_mle
37,20260914,True,,39,0.168110812774,-0.140026144523,finite_mle
38,20260914,True,,57,0.218949115443,-0.117917227389,finite_mle
39,20260914,True,,60,0.939794993241,-0.21587858404,finite_mle
40,20260914,True,,50,3.11033233337,-0.540899218111,finite_mle
41,20260914,True,,54,0.8813692647,-0.261037024853,finite_mle
42,20260914,True,,51,3.7969599911,-0.589691057988,finite_mle
43,20260914,True,,43,0.0250822333047,-0.0462961478527,finite_mle
44,20260914,True,,70,0,0,finite_mle
45,20260914,True,,54,0.0555779174431,-0.0603107261749,finite_mle
46,20260914,True,,65,1.40559288566,-0.260518937064,finite_mle
47,20260914,True,,50,5.64391390421,-0.894113997013,finite_mle
