segment_id,event_index,event_coordinate,cumulative_intensity,rescaled_interval,uniform_residual,cumulative_residual
NGRIP,1,7.09,1.15832409485,1.15832409485,0.685988005528,-0.158324094849
NGRIP,2,8.62,1.57170592458,0.413381829729,0.338590311276,0.428294075421
NGRIP,3,10.85,2.27646430443,0.704758379852,0.505772024733,0.72353569557
NGRIP,4,11.33,2.38538739256,0.108923088132,0.103200610638,1.61461260744
NGRIP,5,25.33,5.10615362406,2.72076623149,0.934175701552,-0.106153624056
NGRIP,6,30.31,6.20465895403,1.09850532997,0.66663101186,-0.204658954026
NGRIP,7,30.61,6.25439102955,0.0497320755212,0.0485156837072,0.745608970453
NGRIP,8,38.93,9.87511674212,3.62072571257,0.973236752981,-1.87511674212
NGRIP,9,43.03,10.6223257907,0.747209048564,0.526313253709,-1.62232579068
NGRIP,10,45.75,10.9098843303,0.287558539578,0.249907344622,-0.90988433026
NGRIP,11,51.27,12.168082738,1.25819840774,0.715834483993,-1.168082738
NGRIP,12,55.93,16.1475891733,3.97950643533,0.981305135815,-4.14758917334
NGRIP,13,56.29,16.3670752084,0.219486035056,0.197068629494,-3.3670752084
NGRIP,14,57.09,16.6793769065,0.31230169806,0.268239275869,-2.67937690646
NGRIP,15,57.33,16.7394296331,0.0600527266693,0.0582851212138,-1.73942963312
NGRIP,16,59.57,17.534614372,0.795184738884,0.548502181985,-1.53461437201
NGRIP,17,60.37,17.7660159616,0.231401589596,0.20657922748,-0.766015961605
NGRIP,18,61.15,17.9310571833,0.165041221735,0.152141246841,0.0689428166609
NGRIP,19,66.09,19.3073894364,1.37633225301,0.747497026226,-0.307389436353
NGRIP,20,68.51,19.662970332,0.355580895597,0.299233747078,0.33702966805
NGRIP,21,72.03,20.0883036199,0.425333287914,0.346448072132,0.911696380136
NGRIP,22,73.91,20.3294774335,0.241173813657,0.214294951749,1.67052256648
NGRIP,23,75.21,20.5032198357,0.173742402218,0.159486615842,2.49678016426
NGRIP,24,77.15,20.8878533058,0.384633470052,0.319299912546,3.11214669421
NGRIP,25,79.89,21.9408492936,1.0529959878,0.651109091171,3.05915070641
NGRIP,26,81.63,22.9943290334,1.05347973981,0.651277827033,3.00567096661
NGRIP,27,82.87,23.7492136535,0.754884620113,0.529935152369,3.25078634649
NGRIP,28,84.53,24.8380037833,1.08879012975,0.663376481785,3.16199621675
NGRIP,29,86.47,26.1932077213,1.35520393807,0.742105305457,2.80679227868
NGRIP,30,87.59,26.7833730459,0.590165324602,0.445764351628,3.21662695408
NGRIP,31,92.03,28.5925036623,1.80913061638,0.836203523107,2.4074963377
NGRIP,32,92.35,28.6483096538,0.0558059915088,0.0542774036926,3.35169034619
NGRIP,33,100.678,32.020866425,3.37255677122,0.965698176783,0.979133574969
MIS6,1,3.266,0.688302508444,0.688302508444,0.497571786743,0.311697491556
MIS6,2,13.929,2.64575931453,1.95745680608,0.858782892889,-0.645759314527
MIS6,3,14.407,2.70904695022,0.0632876356945,0.0613265611313,0.290953049779
MIS6,4,17.459,3.5725221574,0.863475207181,0.578305941269,0.427477842598
MIS6,5,19.486,4.39884994043,0.826327783024,0.562346502384,0.601150059574
MIS6,6,21.874,5.55377947252,1.15492953209,0.68492026087,0.446220527479
MIS6,7,22.732,5.89585547974,0.342076007222,0.289705784832,1.10414452026
MIS6,8,24.563,6.54616229016,0.650306810416,0.478114367752,1.45383770984
MIS6,9,25.672,6.80001972832,0.253857438166,0.224197606025,2.19998027168
MIS6,10,29.232,7.48508157247,0.685061844148,0.495940944492,2.51491842753
MIS6,11,33.359,8.17864010039,0.693558527922,0.500205631385,2.82135989961
MIS6,12,34.716,8.32293878517,0.144298684774,0.134370840807,3.67706121483
MIS6,13,43.123,12.4574985387,4.1345597535,0.983990288202,0.542501461328
MIS6,14,43.776,12.8516918878,0.394193349138,0.325776316931,1.14830811219
MIS6,15,44.78,13.3724021902,0.52071030243,0.405901591479,1.62759780976
MIS6,16,45.799,13.8610632532,0.488661062953,0.386552788252,2.13893674681
MIS6,17,47.391,14.7641853987,0.903122145542,0.594697730392,2.23581460127
MIS6,18,47.987,15.0227835747,0.258598176007,0.227866777628,2.97721642526
MIS6,19,55.845,18.8817242169,3.85894064218,0.978909670101,0.118275783082
MIS6,20,59.262,19.5890991445,0.707374927606,0.507063505484,0.410900855476
