segment_id,n_intervals,n_adjacent_pairs,adjacent_product_sum,cumulative_at_last_event,tail_integral,cumulative_at_endpoint,residual_at_endpoint,status
NGRIP,33,32,-0.519630491141,32.020866425,0.979133574969,33,-3.5527136788e-14,ok
MIS6,20,19,-0.601077084082,19.5890991445,0.410900855476,20,-2.84217094304e-14,ok
