composite_event_id,composite_event_number,composite_event_label,event_age_ka_bp,event_age_status,source_record,source_event_id,source_event_label,source_anchor_age_ka_bp,source_anchor_type,source_anchor_offset_yr,proxy,data_source,label_source,expected_gradient_direction,smoothing_sigma_yr,search_half_width_yr,effective_search_min_ka_bp,effective_search_max_ka_bp,local_tuning_candidate_ages_ka_bp,local_tuning_age_min_ka_bp,local_tuning_age_max_ka_bp,local_tuning_span_yr,local_tuning_structure,local_tuning_range_type,event_age_qc,local_median_resolution_yr,observations_in_search_window,young_flank_observations,old_flank_observations,distance_to_segment_boundary_yr,event_proxy_per_mil,young_flank_proxy_per_mil,old_flank_proxy_per_mil,local_flank_change_young_minus_old_per_mil,local_transition_magnitude_per_mil,local_change_qc,local_change_note,peak_gradient_per_mil_per_ka,qc_note,method
MIS6_DO_11,11,MIS 6.11,165.006,provisional_algorithmic_estimate,MF,Fohlmeister2023_local_MF_6_11,MF 6.11,164.9,interstadial_onset,106.0,d18O,Fohlmeister et al. (2023),Fohlmeister et al. (2023),negative,50.0,400.0,164.5,165.3,164.978;165.006;165.007,164.978,165.007,29.0,single_cluster,algorithm_parameter_sweep_not_age_model_uncertainty,stable,1.4,255,13,71,9899.0,-12.654,-12.231,-13.101,0.87,0.87,stable,minimum 13 raw observations in a flank,-5.03,stable under tested parameters,gap-bounded 1 yr interpolation; Gaussian smoothing; expected-direction maximum gradient; local tuning sweep
MIS6_DO_12,12,MIS 6.12,168.566,provisional_algorithmic_estimate,MF,Fohlmeister2023_local_MF_6_12,MF 6.12,168.5,interstadial_onset,66.0,d18O,Fohlmeister et al. (2023),Fohlmeister et al. (2023),negative,50.0,400.0,168.1,168.9,168.551;168.566;168.570,168.551,168.57,19.0,single_cluster,algorithm_parameter_sweep_not_age_model_uncertainty,stable,4.5,49,1,1,6339.0,-10.52,-10.026,-11.059,1.033,1.033,review,minimum 1 raw observations in a flank,-6.64,stable under tested parameters,gap-bounded 1 yr interpolation; Gaussian smoothing; expected-direction maximum gradient; local tuning sweep
MIS6_DO_13,13,MIS 6.13,169.675,provisional_algorithmic_estimate,MF,Fohlmeister2023_local_MF_6_13,MF 6.13,169.6,interstadial_onset,75.0,d18O,Fohlmeister et al. (2023),Fohlmeister et al. (2023),negative,50.0,400.0,169.2,170.0,169.674;169.675;169.680,169.674,169.68,6.0,single_cluster,algorithm_parameter_sweep_not_age_model_uncertainty,moderate,96.8,8,1,1,5230.0,-9.886,-9.247,-10.505,1.258,1.258,review,minimum 1 raw observations in a flank,-8.11,coarse local sampling,gap-bounded 1 yr interpolation; Gaussian smoothing; expected-direction maximum gradient; local tuning sweep
MIS6_DO_14,14,MIS 6.14,171.506,provisional_algorithmic_estimate,MF,Fohlmeister2023_local_MF_6_14,MF 6.14,171.4,interstadial_onset,106.0,d18O,Fohlmeister et al. (2023),Fohlmeister et al. (2023),negative,50.0,400.0,171.0,171.8,171.141;171.488;171.506,171.141,171.506,365.0,multimodal,algorithm_parameter_sweep_not_age_model_uncertainty,review,74.6,9,1,1,3399.0,-9.938,-9.665,-10.188,0.522,0.522,review,minimum 1 raw observations in a flank,-3.08,two-stage transition; parameter-sensitive age,gap-bounded 1 yr interpolation; Gaussian smoothing; expected-direction maximum gradient; local tuning sweep
MIS6_DO_15,15,MIS 6.15,172.364,provisional_algorithmic_estimate,MF,Fohlmeister2023_local_MF_6_15,MF 6.15,172.4,interstadial_onset,-36.0,d18O,Fohlmeister et al. (2023),Fohlmeister et al. (2023),negative,50.0,400.0,172.0,172.8,172.359;172.364;172.366,172.359,172.366,7.0,single_cluster,algorithm_parameter_sweep_not_age_model_uncertainty,stable,74.6,9,2,1,2541.0,-9.744,-9.261,-10.237,0.976,0.976,review,minimum 1 raw observations in a flank,-6.08,stable under tested parameters,gap-bounded 1 yr interpolation; Gaussian smoothing; expected-direction maximum gradient; local tuning sweep
MIS6_DO_16,16,MIS 6.16,174.752,provisional_algorithmic_estimate,MF,Fohlmeister2023_local_MF_6_16,MF 6.16,174.7,interstadial_onset,52.0,d18O,Fohlmeister et al. (2023),Fohlmeister et al. (2023),negative,50.0,400.0,174.3,174.905,174.751;174.752;174.753,174.751,174.753,2.0,single_cluster,algorithm_parameter_sweep_not_age_model_uncertainty,review,74.6,8,2,1,153.0,-10.446,-9.211,-11.665,2.454,2.454,review,minimum 1 raw observations in a flank; segment-edge smoothing applies,-15.84,near continuous-segment boundary; local change is edge-sensitive,gap-bounded 1 yr interpolation; Gaussian smoothing; expected-direction maximum gradient; local tuning sweep
MIS6_DO_17,17,MIS 6.17,177.711,provisional_algorithmic_estimate,Huagapo,Held2024_DO_Huagapo_6_9,D-O 6.9,177.696,event_midpoint,14.7,d18O,Burn et al. (2019),Held et al. (2024),negative,100.0,400.0,177.296,178.096,177.700;177.711;177.716,177.7,177.716,16.0,single_cluster,algorithm_parameter_sweep_not_age_model_uncertainty,stable,39.4,17,3,2,18873.0,-15.936,-15.348,-16.537,1.189,1.189,moderate,minimum 2 raw observations in a flank,-6.8,stable under tested parameters,gap-bounded 1 yr interpolation; Gaussian smoothing; expected-direction maximum gradient; local tuning sweep
MIS6_DO_18,18,MIS 6.18,179.831,provisional_algorithmic_estimate,Sofular,Held2024_DO_Sofular_6_10,D-O 6.10,179.801,event_midpoint,30.0,d13C,Held et al. (2024),Held et al. (2024),positive,50.0,400.0,179.401,180.057,179.808;179.831;179.840,179.808,179.84,32.0,single_cluster,algorithm_parameter_sweep_not_age_model_uncertainty,stable,14.5,36,5,5,18968.0,-8.054,-8.719,-7.482,-1.237,1.237,stable,minimum 5 raw observations in a flank,7.67,stable under tested parameters,gap-bounded 1 yr interpolation; Gaussian smoothing; expected-direction maximum gradient; local tuning sweep
MIS6_DO_19,19,MIS 6.19,180.309,provisional_algorithmic_estimate,Sofular,Held2024_DO_Sofular_6_11,D-O 6.11,180.313,event_midpoint,-4.0,d13C,Held et al. (2024),Held et al. (2024),positive,50.0,400.0,180.057,180.713,180.296;180.309;180.329,180.296,180.329,33.0,single_cluster,algorithm_parameter_sweep_not_age_model_uncertainty,stable,8.0,78,5,15,19446.0,-7.819,-8.375,-6.997,-1.378,1.378,stable,minimum 5 raw observations in a flank,10.76,stable under tested parameters,gap-bounded 1 yr interpolation; Gaussian smoothing; expected-direction maximum gradient; local tuning sweep
MIS6_DO_20,20,MIS 6.20,190.717,provisional_algorithmic_estimate,Huagapo,Held2024_DO_Huagapo_6_12,D-O 6.12,190.723,event_midpoint,-5.6,d18O,Burn et al. (2019),Held et al. (2024),negative,100.0,400.0,190.323,191.123,190.709;190.717;190.729,190.709,190.729,20.0,single_cluster,algorithm_parameter_sweep_not_age_model_uncertainty,stable,21.3,29,5,4,5867.0,-16.786,-16.092,-17.504,1.412,1.412,stable,minimum 4 raw observations in a flank,-8.26,stable under tested parameters,gap-bounded 1 yr interpolation; Gaussian smoothing; expected-direction maximum gradient; local tuning sweep
MIS6_DO_21,21,MIS 6.21,194.659,provisional_algorithmic_estimate,Huagapo,Held2024_DO_Huagapo_6_13,D-O 6.13,194.646,event_midpoint,12.5,d18O,Burn et al. (2019),Held et al. (2024),negative,100.0,400.0,194.246,195.046,194.655;194.659;194.666,194.655,194.666,11.0,single_cluster,algorithm_parameter_sweep_not_age_model_uncertainty,moderate,84.2,9,1,1,1925.0,-15.7,-14.943,-16.451,1.507,1.507,review,minimum 1 raw observations in a flank,-8.37,coarse local sampling,gap-bounded 1 yr interpolation; Gaussian smoothing; expected-direction maximum gradient; local tuning sweep
